text	label	category
Sheriyaya views ano allengil youtube lalettan hang akkiyathano ennu samshyamullarkku like adikkanulla thumbu	2	unknown_state
Enthonnadei ithu pulimurugan tamil remake a🤣🤣🤣	1	Positive
10 million ayo ennu nokkan varunnavar like adi	2	unknown_state
Thalachorilla budhiyum illatha 11k aalkkar . Ninte okke thalakku ooolamanooo	0	Negative
Ella cinimakaludeyum trailer kanunathe habits aakkiyavarundo	2	unknown_state
Trilar kanditt padam. Valiya pratheeksha illaa	1	Positive
Wtng laletta...	1	Positive
Looks like netflix series oru film aayi coloring Mach aavunnilla	1	Positive
ooro secondum mmakkayude entrik vendi waiting aayirunnu	1	Positive
Mammookem Pillerum Ithil Polikkum Ennu Urapullavar Like Adich Pokko	2	unknown_state
tovinok pakaram unni mukundan mathiyarunnu....	2	unknown_state
Panieduthittu padikkan verunnavante kayyude thazhambumkondonnu kittiyal mathi ....Pinne joraa	1	Positive
Soundil  kurachukoodi  bass koodi  undayinnel kidilan	1	Positive
Lalettaa & Rajuettaa go ahead	4	not-malayalam/tamil
Love you mammoookhaa.... Mammookha fans hit like	4	not-malayalam/tamil
Lalettan faanan but ee trailer kidukki tto	1	Positive
Adipoli	1	Positive
Ipo 10 vattam kandu yennittum madhiyavunnilla romanjifikshan ikka	1	Positive
Padam polikunna thonnunne Soubin oru pradhibasam thanne Ambili kandit oru onnonnara fana ayi njn	1	Positive
Prathviraaj	1	Positive
Ravananaya avane NERKKUNER ILLATHAKKAN oru maha.....	2	unknown_state
Ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu	1	Positive
suraaj  looks like our kunjunni mash......	2	unknown_state
Padam kidilan ane oru rakshayumilla pakshe ithpole padam englishilum umd Robot And Frank enn pere athum pwoliyane	1	Positive
Veruthayayi kashu poyi pratheeshyode arum pokaruthe	0	Negative
Super mega hit aaayirikkum  mark	1	Positive
Aaaa mundum pookal shirtum vere arund ithra look	1	Positive
Trailer kidukki..film ith pole nannaya mathiyarnnu.	1	Positive
Njan maathramano comment nu like  kittiyo enn veendum veendum nokkunnath	2	unknown_state
Enta ponno ithu verae level Iove u ikka	1	Positive
Uff  ente ponoo wait chyan vayye ikka	1	Positive
Ajuvine kandale ariyam on negative role anenn pinne lift kanikkunond aval mikkavarum liftil kanum..	2	unknown_state
Korach adhikum award kude  undakendi verum enn toonna suraajettante acting kanumbo	1	Positive
Njan oru mohanlaal fana   Pakshe ith vallathore vishayam filim aaairikkkum	1	Positive
Wow..Maranamaas Trailer  Gopi Sundar bgm oru rakshemilla ttaa...Hit like if u watch FDFS	1	Positive
Pulimurugam team alle athinta oru chaaya evdokkeyo ondIKKA SUPERMAN PUNCH PWLIYEE	1	Positive
Super star rajini sir fans hit likes	4	not-malayalam/tamil
0:15 aa musicinu vendi wait cheyyuva	2	unknown_state
Makkale onnum nokkanda ninghal vanna bakkam enna 1:54	2	unknown_state
Nayika liftil kudungunnu... Ellaarum oodi nadannu anveshikunnu....	2	unknown_state
Ith kidukkan aakum...  Eagerly waiting... lub you ikkaa from eattan fan...	1	Positive
173k views and 173k likes bakki kore mammunni fans 18k	2	unknown_state
Mammookaye pole dailog eathu salgilum prasant cheyyan kazhiyillannu ippo eniku manasilaayi	1	Positive
Hit like if you are lalettan's fan	1	Positive
Trailer kand  romanjam  Vanna ettan  fans like adikn	1	Positive
ithu oru 5 million views aakkanam..	2	unknown_state
Mohanlal looks like as he was in jilla....	4	not-malayalam/tamil
Thrissur slang paliyenn thonnunnath enikk mathramano?	2	unknown_state
America atom bomb itittu thirnilaaa pinaa allee bengalikal!!!!!	2	unknown_state
Onnum parayanilla pratheshakalkkapuram nammakku asvathikkan pattiya trailer  ethra pravisham kandittum mathiyaunnilla	1	Positive
Kidu trailer.  iniyulla Kali ikkayude pilleru nokkikolam triple strongode	1	Positive
Enik. Albudham sidiqane aan 1kodi bajat aayalum. 100 kodi bajatayalum sidiq athil. Kanum. Legend.	1	Positive
Lucifer trailer erangiya day million views vannapo sudappi makkal endho paranjarunnallo.ikkede trailer onnu vannottu ennu alle?ennittu bhayangara views ahnallo🤣🤣🤣	2	unknown_state
Padam pottum... Charithram akanamenkil marakkar varanam	0	Negative
Prithviraj. Nighal oru marana mass sambavam	1	Positive
Kerala die hard mohanlal fans like here	4	not-malayalam/tamil
Da mwone madhurajaedatreum varilla ketto .nte vaka ellarkum chukavandanam	1	Positive
Odiyan iruttinda raja   Enda ethra Kali kandittulladhaan ne    Odiyan odi odi odiyan	2	unknown_state
Katta waiting madura raja mammokka kidu mass	1	Positive
Tamil Nadu Mohan lal fans hit like	4	not-malayalam/tamil
Ikkakk..valla  mass padavum cheythude....ithorumaathiri senti...cop	1	Positive
pora	1	Positive
Koora Trailer jattimaanii padam pottum 100percent lalappaaaaa	0	Negative
Ente ponnnuuuuuuu Lalettaaa... baaki oke kili vannit parayam	1	Positive
Cinema iragiyittum view cheyyunnavar like adi	2	unknown_state
then : kanji adukkatte manikya       now : Kill that bastard    sivane! :/	2	unknown_state
Prithiraje than ee pani nirthiko enthon kopile padamado	0	Negative
Chandhuvineyum pazhashiyekalum mukalil nilkan pokunna oru muthal.. chandrothe ee vellyamamma..	1	Positive
Maduraraja ikka okke trailer poora Pulimuraganil ninne kure cut eduthittiunde  Villan dadygirija same   Athe irutham	1	Positive
Cinema vizag kandu... Polichu ... Super duper hit	1	Positive
Onnpodaaa challenge inne undo 1 hour 50 k likes annn  madhara rajj kalikann venda	2	unknown_state
Poster kanditt feel good anenn karuthi kanathe vitu	1	Positive
Mammootty fans polum like adichu pokum adaru trailer	2	unknown_state
Lucifer onnil kooduthal thavana kandavar onnu like adikku ...	2	unknown_state
Havy havy super super kidu kidu 🤘🤘	1	Positive
Trailer oru rashilla kili poyi laletta poli anitta	1	Positive
Adhikarappeduthunna gadikaarame. Ithu gadikarangal nilakkunna nimisham. Indian cinemayude mugamudhra	1	Positive
Raja returnssss makkale....ithu marana mass padamaayirikkum	1	Positive
Oru poli polikum 21n ......pooram kanan chry abhinaya ......ang por	1	Positive
endhake paranjalu nammal malayalikalude chungukal lalettanu màmmukkayum thanneyanu laletta kkimamukka kki	1	Positive
Theriyumile	1	Positive
Oru BEST ACTOR feel enikk maatramaano adiche	1	Positive
Lalettante ittimanikk...njanga ikkayude piller vaka best of luck	1	Positive
Antony perumbavor undaya monemarayirikum dislike adikunath	2	unknown_state
Heavy trailer	1	Positive
Ente laletta onnum parayanilla ningal mass anu..  ningale pole ningale ullu	1	Positive
Police ne kuttam parayuna	1	Positive
kidu  katta waiting    mamamookkaaaa	1	Positive
Ittimani  mass ahnn manasuman	1	Positive
