like	492_unknown_state
side	003_unknown_state
sadharana	003_unknown_state
kai	003_unknown_state
antony	003_unknown_state
aaru	003_unknown_state
aale	003_unknown_state
24	003_unknown_state
22k	003_unknown_state
subscribers	003_unknown_state
kazhinju	003_unknown_state
thonniyathu	003_unknown_state
matramano	003_unknown_state
friendship	003_unknown_state
filmil	003_unknown_state
cake	003_unknown_state
want	003_not-malayalam
understand	003_not-malayalam
sub	003_not-malayalam
solluva	003_not-malayalam
rajinikanth	003_not-malayalam
nhi	003_not-malayalam
kanyakumari	003_not-malayalam
kaappaan	003_not-malayalam
iruku	003_not-malayalam
intha	003_not-malayalam
indha	003_not-malayalam
hyderabad	003_not-malayalam
hi	003_not-malayalam
bollywood	003_not-malayalam
anyone	003_not-malayalam
5k	003_not-malayalam
1hr	003_not-malayalam
its	003_not-malayalam
frm	003_not-malayalam
kunjali	003_not-malayalam
f	003_not-malayalam
date	003_not-malayalam
dubbing	003_not-malayalam
version	003_not-malayalam
mamookkaa	003_not-malayalam
madurai	003_not-malayalam
legend	003_not-malayalam
he	003_not-malayalam
duper	003_not-malayalam
dear	003_not-malayalam
thalapathy	003_not-malayalam
will	003_not-malayalam
hope	003_not-malayalam
not	003_not-malayalam
karo	003_not-malayalam
have	003_not-malayalam
gonna	003_not-malayalam
bhai	003_not-malayalam
ajith	003_not-malayalam
baap	003_not-malayalam
april	003_not-malayalam
g	003_not-malayalam
friends	003_not-malayalam
made	003_not-malayalam
thaan	003_not-malayalam
thaa	003_not-malayalam
swag	003_not-malayalam
srilanka	003_not-malayalam
salman	003_not-malayalam
rocking	003_not-malayalam
most	003_not-malayalam
ko	003_not-malayalam
india	003_not-malayalam
done	003_not-malayalam
seems	003_not-malayalam
sad	003_not-malayalam
media	003_not-malayalam
many	003_not-malayalam
evan	003_not-malayalam
yennu	003_Positive
waitin	003_Positive
vndum	003_Positive
verthe	003_Positive
verey	003_Positive
vedikkettu	003_Positive
vanu	003_Positive
vakkukal	003_Positive
undayal	003_Positive
ummaa	003_Positive
trailar	003_Positive
thannee	003_Positive
thanna	003_Positive
thani	003_Positive
tcr	003_Positive
stylish	003_Positive
sesham	003_Positive
rocks	003_Positive
reksha	003_Positive
ready	003_Positive
rakshyum	003_Positive
pwolichuu	003_Positive
pravashyam	003_Positive
pratheekshikunnu	003_Positive
powlii	003_Positive
powlich	003_Positive
poliyane	003_Positive
polikm	003_Positive
polee	003_Positive
pillarum	003_Positive
paranjekk	003_Positive
pakkaa	003_Positive
padathin	003_Positive
nn	003_Positive
njettichu	003_Positive
njangale	003_Positive
ndh	003_Positive
muthaan	003_Positive
matrame	003_Positive
massum	003_Positive
massaa	003_Positive
mammookkaye	003_Positive
makale	003_Positive
madi	003_Positive
maarakam	003_Positive
lvl	003_Positive
lallettaa	003_Positive
koodunna	003_Positive
kolli	003_Positive
kolla	003_Positive
koduthu	003_Positive
kodoora	003_Positive
kidukkii	003_Positive
kiduki	003_Positive
kidukaachi	003_Positive
kidiloski	003_Positive
kathu	003_Positive
kath	003_Positive
kanikkan	003_Positive
kandathil	003_Positive
kalaki	003_Positive
july	003_Positive
janapriya	003_Positive
ittichan	003_Positive
innevare	003_Positive
immathiri	003_Positive
ie	003_Positive
idhu	003_Positive
idayilum	003_Positive
havy	003_Positive
gambeeram	003_Positive
faninte	003_Positive
ethum	003_Positive
epo	003_Positive
entee	003_Positive
engilum	003_Positive
eenu	003_Positive
dhe	003_Positive
dec	003_Positive
chekkan	003_Positive
block	003_Positive
bb	003_Positive
akka	003_Positive
adukki	003_Positive
adipoly	003_Positive
abhinayichu	003_Positive
abhimanam	003_Positive
aanuu	003_Positive
aahh	003_Positive
pakaram	003_Positive
ariyam	003_Positive
maduraraja	003_Positive
kandal	003_Positive
kurach	003_Positive
kittum	003_Positive
kannu	003_Positive
entertainment	003_Positive
avasanam	003_Positive
biriyani	003_Positive
pratheekshikkunnu	003_Positive
odiyante	003_Positive
ikkaye	003_Positive
chechiye	003_Positive
mammookkayude	003_Positive
33	003_Positive
number	003_Positive
guys	003_Positive
very	003_Positive
off	003_Positive
varav	003_Positive
cinemaye	003_Positive
allathe	003_Positive
mr	003_Positive
minimum	003_Positive
mohanlalinte	003_Positive
cinemayum	003_Positive
