id	text	newtext	label	category
ml_sen_12	Mass mohanlal...i'm from Tamil nadu madurai	mass mohanlalim {XXX} mohanlalim from {XXX} from tamil {not-malayalam} tamil nadu {not-malayalam} 	4	not-malayalam/tamil
ml_sen_13	Hope to see a pakka mass entertainer	hope to {XXX} to see {not-malayalam} see a {XXX} a pakka {XXX} pakka mass {Positive} 	1	Positive
ml_sen_14	Nta ponnu muthu maniyeeee  lalataaaaaaaaaaa	nta ponnu {Positive} ponnu muthu {XXX} muthu maniyeeee {XXX} 	1	Positive
ml_sen_15	4 Millon ayee makkale eattante pazhi paragavar thalayil mundittu trailor kandukanum	4 millon {XXX} millon ayee {XXX} ayee makkale {XXX} makkale eattante {XXX} eattante pazhi {XXX} pazhi paragavar {XXX} paragavar thalayil {XXX} thalayil mundittu {XXX} mundittu trailor {XXX} 	1	Positive
ml_sen_16	Oru joshy film touch undo...???	oru joshy {XXX} joshy film {XXX} film touch {XXX} 	1	Positive
ml_sen_17	Cinema kandathinu shesham trailer kanunna arelum ondo	cinema kandathinu {XXX} kandathinu shesham {unknown_state} shesham trailer {unknown_state} trailer kanunna {unknown_state} kanunna arelum {XXX} 	2	unknown_state
ml_sen_18	Ente ponnu mammoooka mass item veendum..bgm aanegil onnum choikandaa porichu	ente ponnu {Positive} ponnu mammoooka {XXX} mammoooka mass {XXX} mass item {Positive} item veendumbgm {XXX} veendumbgm aanegil {XXX} aanegil onnum {XXX} onnum choikandaa {XXX} 	1	Positive
ml_sen_19	Ithu kanditu jayasuryayude idi ormavanthu enk mathramano?	ithu kanditu {XXX} kanditu jayasuryayude {XXX} jayasuryayude idi {XXX} idi ormavanthu {XXX} ormavanthu enk {XXX} 	2	unknown_state
ml_sen_20	Maoist alla avnte achn vare namml adich odikkum ikkaaa	maoist alla {Positive} alla avnte {XXX} avnte achn {XXX} achn vare {XXX} vare namml {XXX} namml adich {XXX} adich odikkum {XXX} 	1	Positive
ml_sen_21	Malayala cinema record thkarkan varunuu athiradi mass movie abrhaminte santhathikal	malayala cinema {Positive} cinema record {XXX} record thkarkan {XXX} thkarkan varunuu {XXX} varunuu athiradi {XXX} athiradi mass {Positive} mass movie {Positive} movie abrhaminte {XXX} 	1	Positive
ml_sen_22	191 k likes 118 aayallo.. ithenthu marimayaam ...lalapikkal ude kali aano	191 k {XXX} k likes {not-malayalam} likes 118 {XXX} 118 aayallo {XXX} aayallo ithenthu {XXX} ithenthu marimayaam {XXX} marimayaam lalapikkal {XXX} lalapikkal ude {XXX} ude kali {XXX} 	2	unknown_state
ml_sen_23	Lucifer pole oru nalla chitha maayi maaratte  . By  lalettan fan	lucifer pole {Positive} pole oru {Positive} oru nalla {Positive} nalla chitha {XXX} chitha maayi {XXX} maayi maaratte {XXX} maaratte by {XXX} by lalettan {Positive} 	1	Positive
ml_sen_24	Padam flop aakumbo ee comment like cheyyaneaa.....  ith ivide kidakattea..	padam flop {unknown_state} flop aakumbo {XXX} aakumbo ee {XXX} ee comment {XXX} comment like {XXX} like cheyyaneaa {XXX} cheyyaneaa ith {XXX} ith ivide {XXX} 	2	unknown_state
ml_sen_25	Ente prthvirajee kettipidich oru ummma thannaoteee chakkarereeee	ente prthvirajee {XXX} prthvirajee kettipidich {XXX} kettipidich oru {XXX} oru ummma {XXX} ummma thannaoteee {XXX} 	1	Positive
ml_sen_26	Adich keri va makkallee ika polikkmm	adich keri {XXX} keri va {XXX} va makkallee {XXX} makkallee ika {XXX} 	2	unknown_state
ml_sen_27	YouTube logic 66k likes + 6.3k dislikes = 16k views.. myr	youtube logic {XXX} logic 66k {XXX} 66k likes {unknown_state} likes 63k {XXX} 63k dislikes {XXX} dislikes 16k {XXX} 16k views {unknown_state} 	2	unknown_state
ml_sen_28	Views ennam nokan vannavar like adichee	views ennam {XXX} ennam nokan {XXX} nokan vannavar {XXX} vannavar like {unknown_state} 	2	unknown_state
ml_sen_29	Ella new gen nadan maarum ananju...eth saubin ugam 🥰	ella new {XXX} new gen {unknown_state} gen nadan {XXX} nadan maarum {XXX} maarum ananjueth {XXX} ananjueth saubin {XXX} 	2	unknown_state
ml_sen_30	Eattan fanzz koode ind...ninga polikk ikkkaaaa	eattan fanzz {XXX} fanzz koode {XXX} koode indninga {XXX} indninga polikk {XXX} 	2	unknown_state
ml_sen_31	Trailer superrrrr ikka pwolikkum padam oru action thriller blockbuster ayirikkum	trailer superrrrr {XXX} superrrrr ikka {XXX} ikka pwolikkum {Positive} pwolikkum padam {XXX} padam oru {Positive} oru action {Mixed_feelings} action thriller {XXX} thriller blockbuster {XXX} 	1	Positive
ml_sen_32	അടിപൊളി 120 k aayii...   Bot Bot	120 k {XXX} k aayii {XXX} aayii bot {XXX} 	2	unknown_state
ml_sen_33	Onne poyeda mugath puttiyum adich oronne iragiyekum mega star	onne poyeda {XXX} poyeda mugath {XXX} mugath puttiyum {XXX} puttiyum adich {XXX} adich oronne {XXX} oronne iragiyekum {XXX} iragiyekum mega {XXX} 	1	Positive
ml_sen_34	Ith oru onnonnara itemm anello ikaaa.......	ith oru {Positive} oru onnonnara {Positive} onnonnara itemm {XXX} itemm anello {XXX} 	1	Positive
ml_sen_35	Onnum parayanilla ennalum  oru rakshayam illa	onnum parayanilla {Positive} parayanilla ennalum {XXX} ennalum oru {XXX} oru rakshayam {XXX} 	1	Positive
ml_sen_36	Ufff vere level ikkaaa ingha pwoli aahn	ufff vere {XXX} vere level {Positive} level ikkaaa {XXX} ikkaaa ingha {XXX} ingha pwoli {XXX} 	1	Positive
ml_sen_37	Dislike addikkan matram entha ithinu koyappam ennu mansilavunnilla	dislike addikkan {XXX} addikkan matram {XXX} matram entha {XXX} entha ithinu {XXX} ithinu koyappam {XXX} koyappam ennu {XXX} 	2	unknown_state
ml_sen_38	Arjun reddy yude bgm inte thudakkam pole und	arjun reddy {unknown_state} reddy yude {XXX} yude bgm {Mixed_feelings} bgm inte {XXX} inte thudakkam {XXX} thudakkam pole {XXX} 	1	Positive
ml_sen_39	Lalettante stunt.... kandirunnupovum aarum... Entha oru style... Mammootty thapassirunnal polum ettante aduthu ethillaaa....	lalettante stunt {XXX} stunt kandirunnupovum {XXX} kandirunnupovum aarum {XXX} aarum entha {XXX} entha oru {Positive} oru style {Positive} style mammootty {XXX} mammootty thapassirunnal {XXX} thapassirunnal polum {XXX} polum ettante {XXX} ettante aduthu {XXX} 	1	Positive
ml_sen_40	Enteh laletta eth trailer aanu uff	enteh laletta {XXX} laletta eth {XXX} eth trailer {XXX} trailer aanu {Negative} 	1	Positive
ml_sen_41	woow mammopokka ! proud of you mollywoods king ikkaa...........!	woow mammopokka {XXX} mammopokka proud {XXX} proud of {not-malayalam} of you {not-malayalam} you mollywoods {XXX} mollywoods king {XXX} 	4	not-malayalam/tamil
ml_sen_42	17K views and 112k likes in 90 minutes?	17k views {unknown_state} views and {not-malayalam} and 112k {XXX} 112k likes {not-malayalam} likes in {not-malayalam} in 90 {XXX} 	4	not-malayalam/tamil
ml_sen_43	Ente ponnikka...ningalu Oru rekshayum illa.... polichadukki... idikkatta waiting...	ente ponnikkaningalu {XXX} ponnikkaningalu oru {XXX} oru rekshayum {Positive} rekshayum illa {Positive} illa polichadukki {XXX} polichadukki idikkatta {XXX} 	1	Positive
ml_sen_44	Sajeev pilla enna sadaranakarane aarum marakaruthu...chaverinte cinema cheyyumbol chaverayi poya oru manushyan.	sajeev pilla {XXX} pilla enna {XXX} enna sadaranakarane {XXX} sadaranakarane aarum {XXX} aarum marakaruthuchaverinte {XXX} marakaruthuchaverinte cinema {XXX} cinema cheyyumbol {XXX} cheyyumbol chaverayi {XXX} chaverayi poya {XXX} poya oru {XXX} 	1	Positive
ml_sen_45	Movie ok aanu.    Entertaining movie	movie ok {XXX} ok aanu {XXX} aanu entertaining {XXX} 	1	Positive
ml_sen_46	Numma or nummade or nammande palakkad le Katha aanu	numma or {XXX} or nummade {XXX} nummade or {XXX} or nammande {XXX} nammande palakkad {XXX} palakkad le {XXX} le katha {XXX} 	1	Positive
ml_sen_47	Eth pulimuragan pole undalo..trailerinte last sredhiku	eth pulimuragan {XXX} pulimuragan pole {XXX} pole undalotrailerinte {XXX} undalotrailerinte last {XXX} 	1	Positive
ml_sen_48	Padam Hit aakum ennu urapullavar Adi	padam hit {Positive} hit aakum {Positive} aakum ennu {unknown_state} ennu urapullavar {unknown_state} 	1	Positive
ml_sen_49	Ichaayn masss alaaa marana masss anuuuu polwiii	ichaayn masss {XXX} masss alaaa {XXX} alaaa marana {XXX} marana masss {XXX} masss anuuuu {XXX} 	1	Positive
ml_sen_50	Mamangam film’il Mammootty’de character name enthannu ariyamo makkale ???  It’s Kunjali Marakar.	mamangam filmil {XXX} filmil mammoottyde {XXX} mammoottyde character {XXX} character name {XXX} name enthannu {XXX} enthannu ariyamo {XXX} ariyamo makkale {XXX} makkale its {XXX} its kunjali {XXX} 	1	Positive
ml_sen_51	Dileep + siddiq + anu sitara..	dileep siddiq {XXX} siddiq anu {XXX} 	1	Positive
ml_sen_52	padam engane ennariyilla..pakshe mammookakk guest role anenn sure aaayi	padam engane {XXX} engane ennariyillapakshe {XXX} ennariyillapakshe mammookakk {XXX} mammookakk guest {XXX} guest role {unknown_state} role anenn {unknown_state} anenn sure {XXX} 	2	unknown_state
ml_sen_53	Adipwoli comedy trailer aane ettaaa  ittichaayan	adipwoli comedy {XXX} comedy trailer {XXX} trailer aane {XXX} aane ettaaa {XXX} 	1	Positive
ml_sen_54	Film kandittum trailer kandukondirikkunnavar like adi	film kandittum {XXX} kandittum trailer {XXX} trailer kandukondirikkunnavar {XXX} kandukondirikkunnavar like {XXX} 	1	Positive
ml_sen_55	Idakk  എവിടെയോ sonam kapoor nte chaya	idakk sonam {XXX} sonam kapoor {XXX} kapoor nte {XXX} 	1	Positive
ml_sen_56	Super film adipoli next joshy director enu paryam	super film {Positive} film adipoli {Positive} adipoli next {XXX} next joshy {XXX} joshy director {XXX} director enu {XXX} 	1	Positive
ml_sen_57	Dislike adicha makkale.... nighakkula vadem chaye pinne tharaatta	dislike adicha {Negative} adicha makkale {Negative} makkale nighakkula {XXX} nighakkula vadem {XXX} vadem chaye {XXX} chaye pinne {XXX} 	0	Negative
ml_sen_58	Oru doubt 11k views like 110k ?	oru doubt {Mixed_feelings} doubt 11k {XXX} 11k views {not-malayalam} views like {unknown_state} 	2	unknown_state
ml_sen_59	Oo ikkkaa polichu enikk uraappaa 100cr ethavum maasssyaaa trailer oru raksyumillaaa ikkaa	oo ikkkaa {XXX} ikkkaa polichu {XXX} polichu enikk {XXX} enikk uraappaa {XXX} uraappaa 100cr {XXX} 100cr ethavum {XXX} ethavum maasssyaaa {XXX} maasssyaaa trailer {XXX} trailer oru {Positive} oru raksyumillaaa {XXX} 	1	Positive
ml_sen_60	Next 100 crr sure pakka full entertainment movie aanenu trailer kanddaal ariyaam	next 100 {XXX} 100 crr {XXX} crr sure {XXX} sure pakka {XXX} pakka full {XXX} full entertainment {Positive} entertainment movie {unknown_state} movie aanenu {unknown_state} aanenu trailer {XXX} trailer kanddaal {XXX} 	1	Positive
ml_sen_61	confident ayi dialogue adicha palarudeyum comments athinte present replies kandu  chirikan vannatha	confident ayi {XXX} ayi dialogue {XXX} dialogue adicha {XXX} adicha palarudeyum {XXX} palarudeyum comments {XXX} comments athinte {XXX} athinte present {XXX} present replies {XXX} replies kandu {XXX} kandu chirikan {XXX} 	1	Positive
ml_sen_62	What a BGM ...stunning ...mammookka	what a {not-malayalam} a bgm {XXX} bgm stunning {Positive} 	1	Positive
ml_sen_63	10 million views ithinu undakumenu urappulavar like cheyu	10 million {unknown_state} million views {unknown_state} views ithinu {XXX} ithinu undakumenu {XXX} undakumenu urappulavar {XXX} urappulavar like {XXX} 	2	unknown_state
ml_sen_64	Ikka Arya prithi surajettan Puthiya payyanmaru Ahana Ellarum pwolichutta	ikka arya {XXX} arya prithi {XXX} prithi surajettan {XXX} surajettan puthiya {XXX} puthiya payyanmaru {XXX} payyanmaru ahana {XXX} ahana ellarum {XXX} 	1	Positive
ml_sen_65	Disastrous Movie .. Waste Of Money	disastrous movie {XXX} movie waste {XXX} waste of {XXX} 	1	Positive
ml_sen_66	Trailer ethu pola kanikana ayirunnu eni 28march vara weight cheyan avilla ....heavy mass	trailer ethu {XXX} ethu pola {XXX} pola kanikana {XXX} kanikana ayirunnu {XXX} ayirunnu eni {XXX} eni 28march {XXX} 28march vara {XXX} vara weight {XXX} weight cheyan {XXX} cheyan avilla {XXX} avilla heavy {XXX} 	1	Positive
ml_sen_67	Ikkaa vere levelaaaa.. Masss ka baap	ikkaa vere {Positive} vere levelaaaa {XXX} levelaaaa masss {XXX} masss ka {XXX} 	1	Positive
ml_sen_68	Oru rakshayumilla nalukalkku ippol kandathivechu ettavum bst film	oru rakshayumilla {Positive} rakshayumilla nalukalkku {XXX} nalukalkku ippol {XXX} ippol kandathivechu {XXX} kandathivechu ettavum {XXX} ettavum bst {XXX} 	1	Positive
ml_sen_69	5 minute kond youtube hang avum	5 minute {XXX} minute kond {XXX} kond youtube {XXX} youtube hang {unknown_state} 	2	unknown_state
ml_sen_70	Aiyee.. Trailer satyam paranjal Valya rasamonun illa and I'm a lal fan	aiyee trailer {XXX} trailer satyam {XXX} satyam paranjal {XXX} paranjal valya {XXX} valya rasamonun {XXX} rasamonun illa {XXX} illa and {XXX} and im {XXX} im a {Positive} a lal {XXX} 	1	Positive
ml_sen_71	Ithu pokkiri raja 2 aano atho pulimurugan 2 aanoenthayalum massAll the Best Ikka and team	ithu pokkiri {XXX} pokkiri raja {unknown_state} raja 2 {Positive} 2 aano {XXX} aano atho {Positive} atho pulimurugan {XXX} pulimurugan 2 {not-malayalam} 2 aanoenthayalum {XXX} aanoenthayalum massall {XXX} massall the {XXX} the best {Positive} best ikka {not-malayalam} ikka and {Positive} 	1	Positive
ml_sen_72	mind blowing ikkaaaa....	mind blowing {not-malayalam} 	4	not-malayalam/tamil
ml_sen_73	Bahut hi acha trailer hai dil jeet liya	bahut hi {XXX} hi acha {XXX} acha trailer {XXX} trailer hai {not-malayalam} hai dil {XXX} dil jeet {XXX} 	1	Positive
ml_sen_74	All india lalettan fans  Hit like	all india {not-malayalam} india lalettan {XXX} lalettan fans {Positive} fans hit {not-malayalam} 	4	not-malayalam/tamil
ml_sen_75	Ikkaas best actorile pole feel cheyyunnu	ikkaas best {XXX} best actorile {XXX} actorile pole {XXX} pole feel {XXX} 	1	Positive
ml_sen_76	HISTORY OF PAIN    HISTORY OF HOPE    HISTORY OF AN ERA    HISTORY OF THE BRAVE	history of {not-malayalam} of pain {not-malayalam} pain history {not-malayalam} history of {not-malayalam} of hope {not-malayalam} hope history {not-malayalam} history of {not-malayalam} of an {not-malayalam} an era {not-malayalam} era history {not-malayalam} history of {not-malayalam} of the {not-malayalam} 	4	not-malayalam/tamil
ml_sen_77	Mammookka....mass n style kanikan...ningale kazhinjeyullu malayalathil vere nadanmar.. #style #mass #bgm #dop #mammookka vere level... Fdfs locked	mammookkamass n {XXX} n style {XXX} style kanikanningale {XXX} kanikanningale kazhinjeyullu {XXX} kazhinjeyullu malayalathil {XXX} malayalathil vere {XXX} vere nadanmar {XXX} nadanmar style {XXX} style mass {XXX} mass bgm {Positive} bgm dop {XXX} dop mammookka {XXX} mammookka vere {XXX} vere level {Positive} level fdfs {XXX} 	1	Positive
ml_sen_78	Lallettante masss kannannelll decemberil odiyan irangumbol teaterukalileekku vaaa odiyanthe odi vidhyakal	lallettante masss {XXX} masss kannannelll {XXX} kannannelll decemberil {XXX} decemberil odiyan {XXX} odiyan irangumbol {XXX} irangumbol teaterukalileekku {XXX} teaterukalileekku vaaa {XXX} vaaa odiyanthe {XXX} odiyanthe odi {XXX} 	2	unknown_state
ml_sen_79	Ente  ponnu annaa oru rekshayum ellaaa....katta waiting...	ente ponnu {Positive} ponnu annaa {XXX} annaa oru {XXX} oru rekshayum {Positive} rekshayum ellaaakatta {XXX} 	1	Positive
ml_sen_80	Title kanichappo chunk:ayye ikka illadaa enn .ikkane kanichappo avante vayaa adanju	title kanichappo {XXX} kanichappo chunkayye {XXX} chunkayye ikka {XXX} ikka illadaa {XXX} illadaa enn {XXX} enn ikkane {XXX} ikkane kanichappo {XXX} kanichappo avante {XXX} avante vayaa {XXX} 	1	Positive
ml_sen_81	Raaja lucifer oru day irangiyirunnel lucifer moonjiyene......	raaja lucifer {XXX} lucifer oru {Positive} oru day {XXX} day irangiyirunnel {XXX} irangiyirunnel lucifer {XXX} 	1	Positive
ml_sen_82	Raksha illa alliya... Ipo njn chatha ente shavathinu chiricha mugamairkum	raksha illa {Positive} illa alliya {XXX} alliya ipo {XXX} ipo njn {XXX} njn chatha {XXX} chatha ente {XXX} ente shavathinu {XXX} shavathinu chiricha {XXX} 	1	Positive
ml_sen_83	Mammukkaa  aa shabdam Kelkan matram njan ee trailer 10+ times kandu.	mammukkaa aa {Positive} aa shabdam {XXX} shabdam kelkan {XXX} kelkan matram {XXX} matram njan {Positive} njan ee {unknown_state} ee trailer {unknown_state} trailer 10 {XXX} 10 times {XXX} 	1	Positive
ml_sen_84	Odiyan trailer nakalum katta waiting Lucifer	odiyan trailer {not-malayalam} trailer nakalum {XXX} nakalum katta {XXX} katta waiting {Positive} 	1	Positive
ml_sen_85	Don't compare stars... Because everyone is unique	dont compare {XXX} compare stars {XXX} stars because {XXX} because everyone {XXX} everyone is {XXX} 	2	unknown_state
ml_sen_86	Mass trailer		1	Positive
ml_sen_87	16 k..  mammooty fans thayolikal dislike pooranmar	16 k {unknown_state} k mammooty {XXX} mammooty fans {unknown_state} fans thayolikal {XXX} thayolikal dislike {XXX} 	2	unknown_state
ml_sen_88	KINNAN ORU RAKSHAYUM ILLA BGM KIDU	kinnan oru {XXX} oru rakshayum {Positive} rakshayum illa {Positive} illa bgm {XXX} 	1	Positive
ml_sen_89	Ikka ingalee kanan Vendi mathram ethra samayam kathirunne	ikka ingalee {XXX} ingalee kanan {XXX} kanan vendi {unknown_state} vendi mathram {Negative} mathram ethra {XXX} ethra samayam {XXX} 	2	unknown_state
ml_sen_90	ഇത് വേറെ level annallo machanmare...	level annallo {XXX} 	1	Positive
ml_sen_91	Nte. Ammmmoooooo ..Heavy ....dislike chathavarkku sthuthiyayirikkatte......ethrayum dislike.......one name mohanlal......	nte ammmmoooooo {XXX} ammmmoooooo heavy {XXX} heavy dislike {XXX} dislike chathavarkku {XXX} chathavarkku sthuthiyayirikkatteethrayum {XXX} sthuthiyayirikkatteethrayum dislikeone {XXX} dislikeone name {XXX} 	1	Positive
ml_sen_92	Ippo ettanfan ikkafan parayunilaa   Malayalam industry verea level aakanm so fdfs parayunilaa fd parayunu	ippo ettanfan {XXX} ettanfan ikkafan {XXX} ikkafan parayunilaa {XXX} parayunilaa malayalam {XXX} malayalam industry {not-malayalam} industry verea {XXX} verea level {XXX} level aakanm {XXX} aakanm so {XXX} so fdfs {XXX} fdfs parayunilaa {XXX} parayunilaa fd {XXX} 	1	Positive
ml_sen_93	Adicholu etra dislike veenelum kuru pottichittu oru kaariyavum illa	adicholu etra {XXX} etra dislike {XXX} dislike veenelum {XXX} veenelum kuru {XXX} kuru pottichittu {XXX} pottichittu oru {XXX} oru kaariyavum {XXX} 	1	Positive
ml_sen_94	Adipoli... Kidu kidu kidu... First day first show... #mammookka	adipoli kidu {XXX} kidu kidu {Positive} kidu kidu {Positive} kidu first {XXX} first day {Positive} day first {Positive} first show {Positive} 	1	Positive
ml_sen_95	Pokiriraja dialouge sema mass Malaya super star mamooty	pokiriraja dialouge {XXX} dialouge sema {XXX} sema mass {XXX} mass malaya {XXX} malaya super {XXX} super star {Positive} 	1	Positive
ml_sen_96	Trailer eranghunnathinu munne thanne rajaye pedicha lalettane paripikkanayitt kure fans	trailer eranghunnathinu {XXX} eranghunnathinu munne {XXX} munne thanne {Negative} thanne rajaye {XXX} rajaye pedicha {XXX} pedicha lalettane {XXX} lalettane paripikkanayitt {XXX} paripikkanayitt kure {XXX} 	2	unknown_state
ml_sen_97	dislike just because its not in hindi ;p	dislike just {XXX} just because {XXX} because its {Positive} its not {not-malayalam} not in {XXX} in hindi {not-malayalam} 	4	not-malayalam/tamil
ml_sen_98	Action film kaddittu kurrachu kallam ayyi	action film {XXX} film kaddittu {XXX} kaddittu kurrachu {XXX} kurrachu kallam {XXX} 	1	Positive
ml_sen_99	EDA naayikale face of indian cinema alla face of malayalam cinema enna parayada koppanmaare	eda naayikale {XXX} naayikale face {XXX} face of {not-malayalam} of indian {not-malayalam} indian cinema {not-malayalam} cinema alla {XXX} alla face {XXX} face of {not-malayalam} of malayalam {not-malayalam} malayalam cinema {not-malayalam} cinema enna {XXX} enna parayada {XXX} 	4	not-malayalam/tamil
ml_sen_100	Pwoli mass marana mass iam waiting	pwoli mass {XXX} mass marana {Positive} marana mass {Positive} mass iam {XXX} 	1	Positive
ml_sen_101	Inniyum likeum viewsum kayarumennu urappullavar like adichech poookkooo	inniyum likeum {XXX} likeum viewsum {XXX} viewsum kayarumennu {XXX} kayarumennu urappullavar {XXX} urappullavar like {Positive} like adichech {XXX} 	2	unknown_state
ml_sen_102	Vere level ikka polikum. RAJA vere level aakum. Ikkaaaa	vere level {Positive} level ikka {Positive} ikka polikum {XXX} polikum raja {XXX} raja vere {Positive} vere level {Positive} level aakum {Positive} 	1	Positive
ml_sen_103	Ikka vere level	ikka vere {Positive} 	1	Positive
ml_sen_104	Mammootty fieldoutaayi ennu rodhikkunna fans ee trailor kandittu vaayil viralitottirikkayaaanu	mammootty fieldoutaayi {XXX} fieldoutaayi ennu {XXX} ennu rodhikkunna {XXX} rodhikkunna fans {XXX} fans ee {unknown_state} ee trailor {XXX} trailor kandittu {XXX} kandittu vaayil {XXX} 	2	unknown_state
ml_sen_105	Vera oru nadaneyum mosham parayan njanilla ennalum ijjathi items ee prayathilum nalkan ee megastarinu mathrame kazhiyukayollu	vera oru {XXX} oru nadaneyum {XXX} nadaneyum mosham {XXX} mosham parayan {XXX} parayan njanilla {XXX} njanilla ennalum {XXX} ennalum ijjathi {XXX} ijjathi items {XXX} items ee {XXX} ee prayathilum {Positive} prayathilum nalkan {XXX} nalkan ee {XXX} ee megastarinu {XXX} megastarinu mathrame {XXX} 	1	Positive
ml_sen_106	THE NAME IS THE DEVIL LALETTAN LUCIFER	the name {Positive} name is {not-malayalam} is the {not-malayalam} the devil {Positive} devil lalettan {XXX} 	4	not-malayalam/tamil
ml_sen_107	Trailer kandappo pulimurugan evdeyokkayo ulla pole orupadu sammyam undu.	trailer kandappo {unknown_state} kandappo pulimurugan {unknown_state} pulimurugan evdeyokkayo {XXX} evdeyokkayo ulla {XXX} ulla pole {Mixed_feelings} pole orupadu {XXX} orupadu sammyam {XXX} 	2	unknown_state
ml_sen_108	Prithvi  Lalettan  Bgm ?? any idea guyzz ?	prithvi lalettan {Positive} lalettan bgm {XXX} bgm any {XXX} any idea {XXX} 	1	Positive
ml_sen_109	Age is just an number Enn manassilaki thanna trailer	age is {not-malayalam} is just {not-malayalam} just an {XXX} an number {XXX} number enn {XXX} enn manassilaki {XXX} manassilaki thanna {XXX} 	4	not-malayalam/tamil
ml_sen_110	Ithoru triller and suspense movie aairikkum	ithoru triller {XXX} triller and {XXX} and suspense {XXX} suspense movie {XXX} 	1	Positive
ml_sen_111	Trailer nannayutu untu valthukkal mokanlol Sir and fans	trailer nannayutu {XXX} nannayutu untu {XXX} untu valthukkal {XXX} valthukkal mokanlol {XXX} mokanlol sir {XXX} sir and {XXX} 	2	unknown_state
ml_sen_112	Pokkirirajayile maniyannante makan chinnanaan jai enn manassilaayi oof	pokkirirajayile maniyannante {XXX} maniyannante makan {XXX} makan chinnanaan {XXX} chinnanaan jai {XXX} jai enn {XXX} enn manassilaayi {XXX} 	1	Positive
ml_sen_113	Peter hein touch kaananund fightil	peter hein {Negative} hein touch {XXX} touch kaananund {XXX} 	0	Negative
ml_sen_114	Nairsab last ikka and piller kettipidikkunna scene orma vannu enik...	nairsab last {XXX} last ikka {XXX} ikka and {Positive} and piller {XXX} piller kettipidikkunna {XXX} kettipidikkunna scene {XXX} scene orma {XXX} orma vannu {Positive} 	1	Positive
ml_sen_115	Anu sitharayude dialogue oru dheerha vanithayudethanu.. Athu parayendathu sangadapettalla	anu sitharayude {XXX} sitharayude dialogue {XXX} dialogue oru {Positive} oru dheerha {XXX} dheerha vanithayudethanu {XXX} vanithayudethanu athu {XXX} athu parayendathu {XXX} 	1	Positive
ml_sen_116	Mammuni fans dislike adich maduth kanumallo	mammuni fans {XXX} fans dislike {XXX} dislike adich {Negative} adich maduth {XXX} 	0	Negative
ml_sen_117	50 cr manakkunnu....kerum urapp ullavar like adi....	50 cr {XXX} cr manakkunnukerum {XXX} manakkunnukerum urapp {XXX} urapp ullavar {Positive} ullavar like {unknown_state} 	2	unknown_state
ml_sen_118	Ethakayo pundakal e myre eragiyal Lucifer trailer  kadathum enokke paraniju enitte enthayi obiyille latettane thopikan avilla mammu	ethakayo pundakal {XXX} pundakal e {XXX} e myre {XXX} myre eragiyal {XXX} eragiyal lucifer {XXX} lucifer trailer {unknown_state} trailer kadathum {XXX} kadathum enokke {XXX} enokke paraniju {XXX} paraniju enitte {XXX} enitte enthayi {XXX} enthayi obiyille {XXX} obiyille latettane {XXX} latettane thopikan {XXX} thopikan avilla {XXX} 	2	unknown_state
