id	text	label	category
ml_sen_50	Mamangam filmil Mammoottyde character name enthannu ariyamo makkale   Its Kunjali Marakar	4	not-malayalam/tamil
ml_sen_51	Dileep  siddiq  anu sitara	3	Mixed_feelings
ml_sen_52	padam engane ennariyillapakshe mammookakk guest role anenn sure aaayi	0	Negative
ml_sen_53	Adipwoli comedy trailer aane ettaaa  ittichaayan	1	Positive
ml_sen_54	Film kandittum trailer kandukondirikkunnavar like adi	1	Positive
ml_sen_55	Idakk   sonam kapoor nte chaya	3	Mixed_feelings
ml_sen_56	Super film adipoli next joshy director enu paryam	1	Positive
ml_sen_57	Dislike adicha makkale nighakkula vadem chaye pinne tharaatta	0	Negative
ml_sen_58	Oru doubt k views like k 	2	unknown_state
ml_sen_59	Oo ikkkaa polichu enikk uraappaa cr ethavum maasssyaaa trailer oru raksyumillaaa ikkaa	1	Positive
ml_sen_60	Next  crr sure pakka full entertainment movie aanenu trailer kanddaal ariyaam	1	Positive
ml_sen_61	confident ayi dialogue adicha palarudeyum comments athinte present replies kandu  chirikan vannatha	0	Negative
ml_sen_62	What a BGM stunning mammookka	1	Positive
ml_sen_63	 million views ithinu undakumenu urappulavar like cheyu	2	unknown_state
ml_sen_64	Ikka Arya prithi surajettan Puthiya payyanmaru Ahana Ellarum pwolichutta	1	Positive
ml_sen_65	Disastrous Movie  Waste Of Money	4	not-malayalam/tamil
ml_sen_66	Trailer ethu pola kanikana ayirunnu eni march vara weight cheyan avilla heavy mass	1	Positive
ml_sen_67	Ikkaa vere levelaaaa Masss ka baap	1	Positive
ml_sen_68	Oru rakshayumilla nalukalkku ippol kandathivechu ettavum bst film	1	Positive
ml_sen_69	 minute kond youtube hang avum	1	Positive
ml_sen_70	Aiyee Trailer satyam paranjal Valya rasamonun illa and Im a lal fan	1	Positive
ml_sen_71	Ithu pokkiri raja  aano atho pulimurugan  aanoenthayalum massAll the Best Ikka and team	1	Positive
ml_sen_72	mind blowing ikkaaaa	4	not-malayalam/tamil
ml_sen_73	Bahut hi acha trailer hai dil jeet liya	4	not-malayalam/tamil
ml_sen_74	All india lalettan fans  Hit like	4	not-malayalam/tamil
ml_sen_75	Ikkaas best actorile pole feel cheyyunnu	3	Mixed_feelings
ml_sen_76	HISTORY OF PAIN    HISTORY OF HOPE    HISTORY OF AN ERA    HISTORY OF THE BRAVE	4	not-malayalam/tamil
ml_sen_77	Mammookkamass n style kanikanningale kazhinjeyullu malayalathil vere nadanmar style mass bgm dop mammookka vere level Fdfs locked	1	Positive
ml_sen_78	Lallettante masss kannannelll decemberil odiyan irangumbol teaterukalileekku vaaa odiyanthe odi vidhyakal	2	unknown_state
ml_sen_79	Ente  ponnu annaa oru rekshayum ellaaakatta waiting	1	Positive
ml_sen_80	Title kanichappo chunkayye ikka illadaa enn ikkane kanichappo avante vayaa adanju	1	Positive
ml_sen_81	Raaja lucifer oru day irangiyirunnel lucifer moonjiyene	1	Positive
ml_sen_82	Raksha illa alliya Ipo njn chatha ente shavathinu chiricha mugamairkum	1	Positive
ml_sen_83	Mammukkaa  aa shabdam Kelkan matram njan ee trailer  times kandu	1	Positive
ml_sen_84	Odiyan trailer nakalum katta waiting Lucifer	1	Positive
ml_sen_85	Dont compare stars Because everyone is unique	4	not-malayalam/tamil
ml_sen_86	Mass trailer	1	Positive
ml_sen_87	 k  mammooty fans thayolikal dislike pooranmar	0	Negative
ml_sen_88	KINNAN ORU RAKSHAYUM ILLA BGM KIDU	1	Positive
ml_sen_89	Ikka ingalee kanan Vendi mathram ethra samayam kathirunne	2	unknown_state
ml_sen_90	  level annallo machanmare	1	Positive
ml_sen_91	Nte Ammmmoooooo Heavy dislike chathavarkku sthuthiyayirikkatteethrayum dislikeone name mohanlal	0	Negative
ml_sen_92	Ippo ettanfan ikkafan parayunilaa   Malayalam industry verea level aakanm so fdfs parayunilaa fd parayunu	1	Positive
ml_sen_93	Adicholu etra dislike veenelum kuru pottichittu oru kaariyavum illa	0	Negative
ml_sen_94	Adipoli Kidu kidu kidu First day first show mammookka	1	Positive
ml_sen_95	Pokiriraja dialouge sema mass Malaya super star mamooty	1	Positive
ml_sen_96	Trailer eranghunnathinu munne thanne rajaye pedicha lalettane paripikkanayitt kure fans	0	Negative
ml_sen_97	dislike just because its not in hindi p	4	not-malayalam/tamil
ml_sen_98	Action film kaddittu kurrachu kallam ayyi	3	Mixed_feelings
ml_sen_99	EDA naayikale face of indian cinema alla face of malayalam cinema enna parayada koppanmaare	1	Positive
ml_sen_100	Pwoli mass marana mass iam waiting	1	Positive
ml_sen_101	Inniyum likeum viewsum kayarumennu urappullavar like adichech poookkooo	2	unknown_state
ml_sen_102	Vere level ikka polikum RAJA vere level aakum Ikkaaaa	1	Positive
ml_sen_103	Ikka vere level	1	Positive
ml_sen_104	Mammootty fieldoutaayi ennu rodhikkunna fans ee trailor kandittu vaayil viralitottirikkayaaanu	2	unknown_state
ml_sen_105	Vera oru nadaneyum mosham parayan njanilla ennalum ijjathi items ee prayathilum nalkan ee megastarinu mathrame kazhiyukayollu	1	Positive
ml_sen_106	THE NAME IS THE DEVIL LALETTAN LUCIFER	4	not-malayalam/tamil
ml_sen_107	Trailer kandappo pulimurugan evdeyokkayo ulla pole orupadu sammyam undu	3	Mixed_feelings
ml_sen_108	Prithvi  Lalettan  Bgm  any idea guyzz 	1	Positive
ml_sen_109	Age is just an number Enn manassilaki thanna trailer	1	Positive
ml_sen_110	Ithoru triller and suspense movie aairikkum	1	Positive
ml_sen_111	Trailer nannayutu untu valthukkal mokanlol Sir and fans	4	not-malayalam/tamil
ml_sen_112	Pokkirirajayile maniyannante makan chinnanaan jai enn manassilaayi oof	3	Mixed_feelings
ml_sen_113	Peter hein touch kaananund fightil	3	Mixed_feelings
ml_sen_114	Nairsab last ikka and piller kettipidikkunna scene orma vannu enik	1	Positive
ml_sen_115	Anu sitharayude dialogue oru dheerha vanithayudethanu Athu parayendathu sangadapettalla	3	Mixed_feelings
ml_sen_116	Mammuni fans dislike adich maduth kanumallo	0	Negative
ml_sen_117	 cr manakkunnukerum urapp ullavar like adi	2	unknown_state
ml_sen_118	Ethakayo pundakal e myre eragiyal Lucifer trailer  kadathum enokke paraniju enitte enthayi obiyille latettane thopikan avilla mammu	3	Mixed_feelings
ml_sen_119	Mammukka superbbut e trailer cut pulimurukan second pole undallo	3	Mixed_feelings
ml_sen_120	Voice onnitaum movie vere onnitaum	1	Positive
ml_sen_121	Lucifer trailer pottikan ayo nammude mamangm	1	Positive
ml_sen_122	masss  ikkaa	1	Positive
ml_sen_123	 trending   urapullavar like adikki	4	not-malayalam/tamil
ml_sen_124	Iruttinte aayussu sooriyan udhikkunathu vare mathram	1	Positive
ml_sen_125	Awesomeness starts at  Vaada 	1	Positive
ml_sen_126	Polichhh kiduuu trailerrr ikkkaaa ennummm ikkaa thaneeeeee oru rekshayillathaawa traileerrrr waitingggg for thee moviee	1	Positive
ml_sen_127	trailerinaayi kaathirunnavar like button adich pottikkk	2	unknown_state
ml_sen_128	 sanny chechiye kaanaaaulla aakrantha entry	1	Positive
ml_sen_129	Ippo kaannuvr like adicho veendum veendum kandittum kothitheeratha oru muthal ufff	1	Positive
ml_sen_130	 mnt I laks views Polichu Laletan massssssssssssss	1	Positive
ml_sen_131	Ikkante dialoge alla ethu ambilada sounda	1	Positive
ml_sen_132	Katta waiting cheyunna alukal onn like adichee	1	Positive
ml_sen_133	Lalettan kidu Raju Etta super trailer	1	Positive
ml_sen_134	Like a tamil and Telugu movie	4	not-malayalam/tamil
ml_sen_135	Jayettaaaa ente chunkkeee Sabu Chettan 	1	Positive
ml_sen_136	Evideo oru Hollywood story varunnilleee Oru DBT	1	Positive
ml_sen_137	        	1	Positive
ml_sen_138	Uff oru rekshem illa ikka	1	Positive
ml_sen_139	Lalettan nu pakaram vekkaanaarumillaaa	1	Positive
ml_sen_140	Oru Rakshayumilla Laletta Aarokke und katta supportinu	1	Positive
ml_sen_141	Ambooo pwoli oru rekshem illa lalettaaa poliiii	1	Positive
ml_sen_142	Oru idi idikkumbozhekkum Aalkaar adutha Jilla ethi kaanum	3	Mixed_feelings
ml_sen_143	Padam polikum	1	Positive
ml_sen_144	  kandu kozhitharichavar Adi like	2	unknown_state
ml_sen_145	From a A fan  Trailer masmarikam	4	not-malayalam/tamil
ml_sen_146	All the best ikka Oru ettan fan	1	Positive
ml_sen_147	We are RAVANAN FAMILY Kollan Padilla	4	not-malayalam/tamil
ml_sen_148	Sir release date kiya  june	4	not-malayalam/tamil
ml_sen_149	k views um k likes um ikka daaa	2	unknown_state
ml_sen_150	nyzzzz work	3	Mixed_feelings
ml_sen_151	Edak edak vannu views nokunavar evide like adik  Lalettan Prithiviraj	2	unknown_state
ml_sen_152	 trainer  Saajan Saji Cyriac	1	Positive
ml_sen_153	Athirappilliyude saundharyam illathaya nimisham  love uuuu mammookkkkaaaaaaa	1	Positive
ml_sen_154	Ee Vishnu  Stephan nedumpally kondupokum athinu oru samashavum Venda	0	Negative
ml_sen_155	 frames  trailer Rajuvetta brilliant direction	1	Positive
ml_sen_156	Awesome moviebest movie so far in 	4	not-malayalam/tamil
ml_sen_157	Film oru raksha illa  adipwoli	1	Positive
ml_sen_158	M VIEWS K LIKES  TRIPLE STRONGG	4	not-malayalam/tamil
ml_sen_159	L kandatt iniyum inyum kaananm enne thonnunnavar undo ividea	2	unknown_state
ml_sen_160	Next hit loading  ikka anguu edukuvaaa	4	not-malayalam/tamil
ml_sen_161	Ningalkk arkum arinjudatha oru karyam ee movie pulimurakan movieyuk connection onde	3	Mixed_feelings
ml_sen_162	Madhuraraja pottum ennu orappula ettan fans ivide like adikee	2	unknown_state
ml_sen_163	MODEL SCHOOL IL PADICHAVAR LIKE ADIKUU	2	unknown_state
ml_sen_164	 kya mazak hai Hans hans k lotpot ho jaoge BC Aise movie kon dekta hai	4	not-malayalam/tamil
ml_sen_165	Trailer bore aayi  eni movie Kandu nokkam	1	Positive
ml_sen_166	Aganee youtubeinte karyathil oruu tirumanam ayyi	3	Mixed_feelings
ml_sen_167	Mamangam malayalam industriyude oru gem aay marum urapp	1	Positive
ml_sen_168	Looks like a visual treat 	4	not-malayalam/tamil
ml_sen_169	 waiting ah  raja  mammookka	1	Positive
ml_sen_170	Gopi annan  Namichu   Kidukkachi bgm  Kidukki	1	Positive
ml_sen_171	Poliiii super luv it  	4	not-malayalam/tamil
ml_sen_172	TRAILER KAANAN VANNA IKKA FANS LIKE	2	unknown_state
ml_sen_173	Onnathinu pottikan padakam Alla nalla assalu bomb thanne	0	Negative
ml_sen_174	Reckodukal ini pazhankatha puthiya charithramezhuthan varunnu mammooka	1	Positive
ml_sen_175	Super polich vere level  kidukki wating	1	Positive
ml_sen_176	Dei ithu english web series da  Title da lucifer	0	Negative
ml_sen_177	 secondil purakil nilkunnath rajuvettan ano	3	Mixed_feelings
ml_sen_178	Comments engilum  k ethikkanamath oru record akkam	1	Positive
ml_sen_179	 ikkade shareeram allanu pettennu manasilakum Orumathiri piller edith cheitha pole	3	Mixed_feelings
ml_sen_180	Entemmachi enna oru trailer shanker ramakrishanan  ellamkondum kidilanwow	1	Positive
ml_sen_181	Hang ayo youtube Views no updating	2	unknown_state
ml_sen_182	Oru kolamaass dialogue um athine vellunna look um	3	Mixed_feelings
ml_sen_183	Fans show ticket kittiyar like adik 	2	unknown_state
ml_sen_184	Eth kandit nere poi pulimurugante trailerum onn kandek  ilum enthelum vethyasom undo	2	unknown_state
ml_sen_185	Case kazhinjittu vannuchytha cinema Ellam mass kudumba pachathalam niranjathukodathisamaksham	3	Mixed_feelings
ml_sen_186	Kasaba idi siruthai    	3	Mixed_feelings
ml_sen_187	Avan charddichu saare maala kittiyilla eni edikkano venda kutta URUTTAM	1	Positive
ml_sen_188	Telugu model film allu arjun model  actor	4	not-malayalam/tamil
ml_sen_189	Kumbalangi nights kazhinj oru vivaravum illayrnappo vishamam thonni ippo ashwasamayi baby molee	3	Mixed_feelings
ml_sen_190	Katta waiting  a lalettan fan 	1	Positive
ml_sen_191	Anu sitara voice poraezhuti vachatu atupole vaayikkyunnataayi tonnibut kaanaan sundaribakki elllavarum kalakkisuper	1	Positive
ml_sen_192	Triller Kandal ariyam  Padam sooperhit aanu enn	3	Mixed_feelings
ml_sen_193	Super Cinema Really a thriller movie Kanditt sahikyilla Sangalpikyaan koodi Vayya anganoru avastha  Kidilan movie	1	Positive
ml_sen_194	Entammopolli kl kdavukalkku like adikaanulla nool	2	unknown_state
ml_sen_195	Ijjathiente ponnenamichu ikka nigalemamangam maha yudham	1	Positive
ml_sen_196	Edo thallu menone direction padikanonkil rajuvetante aduthu chenna enganeyanennu padipichu tharum 	0	Negative
ml_sen_197	Big b ikka annum innum top lookillum abhinayathilum	1	Positive
ml_sen_198	Mammoka masss super Entae videoum kudae kaanu	1	Positive
ml_sen_199	Ith pokkiri rajayude appanayitt varum enn thonnunnavar ivide like adi	2	unknown_state
ml_sen_200	Etten fan anenu njan veendum teliyichirikunu	1	Positive
ml_sen_201	Ijjathi Mammookka  unni achuthan Maamangam	1	Positive
ml_sen_202	  AbrahamQureshi unnum alla enn paranj mamukka lalettan fans sahikumo athano ini dislike adichath	0	Negative
ml_sen_203	Padam polikkum Ikka marana mass	1	Positive
ml_sen_204	Madhu raaja comments nokeepam Andhra pradeshikal Ivda tamil natukar	3	Mixed_feelings
ml_sen_205	Super But why so many dislikes  surprising	4	not-malayalam/tamil
ml_sen_206	Ithoru kidilol kidilan item ayirikumkatta waiting ikkaaa	1	Positive
ml_sen_207	Manju chechiiiiii n lalettan back again	4	not-malayalam/tamil
ml_sen_208	Ow nta bapaaaa kaaakki shert  sleeve madakkiyulla varavuallanurrrrromam yeneet ninnu	1	Positive
ml_sen_209	Uff romanjam kond irinaduth ninn njan enit ninn poyi	1	Positive
ml_sen_210	Mamooka realistic padam cheyan thirumanicha sthithikk lalettan koodi onnu realistic padangal cheyyanamennu agrahikunnavar undel like adiku	2	unknown_state
ml_sen_211	cinema kandu adipwli aayrnnuuuu njn oru ettan fan aanu pakshe enik ishtapettu jai super	1	Positive
ml_sen_212	Poli poli poli chende bgm wooow	1	Positive
ml_sen_213	Dislike adikan vanna haters ithe ningak patiya area alla ninteyoke rayaye kandam vazhi oodicha trailer aaan uciferloading	0	Negative
ml_sen_214	Romanjam  uff ikkaaaaa polich 	1	Positive
ml_sen_215	entammoonnum parayaaanillavaakukalku appuramromanjaaam at its peak	4	not-malayalam/tamil
ml_sen_216	Nammal aaytt arudeyum nenjath kerarilla siree	1	Positive
ml_sen_217	Ithokka Malayalam cinemayk maathram avakashapedan pattunna cinemakal aan	1	Positive
ml_sen_218	Im from tamilnadu Im big fan of Mohanlal sir	4	not-malayalam/tamil
ml_sen_219	kattaa waiting by a lalettan fanikkaa vere level	1	Positive
ml_sen_220	 Prithviraj Guy in the dark	4	not-malayalam/tamil
ml_sen_221	When you relies movie in Telugu	4	not-malayalam/tamil
ml_sen_222	Ithum koodi kooty  ente  aam view	1	Positive
ml_sen_223	Is it Aadai tamil film remake	4	not-malayalam/tamil
ml_sen_224	Alla pa mammoka k ethra age	1	Positive
ml_sen_225	Telugu mamoothy fan ikada o veskondi	4	not-malayalam/tamil
ml_sen_226	Oru rakshayum illa ikka ningal pwolichu  ith kidukkum	1	Positive
ml_sen_227	Etta Sherikm superntha parayuka  Oru rekshem illa Adipoli Katta wyting	1	Positive
ml_sen_228	Ingalu itra nal aayitt inganatha padamgal irakkanjath enthan bhaii	1	Positive
ml_sen_229	cr nokathe film nokunnavark vendii oru filmmm ayirikyum eth	1	Positive
ml_sen_230	Lucifer nne polle Raja  vum vijayikkktte	1	Positive
ml_sen_231	sunny chechiye oru minnayam pole Kanan pattiyollu	1	Positive
ml_sen_232	Wow mammukka  lob from tn Maamangam means	4	not-malayalam/tamil
ml_sen_233	Lusifer  hours  k views Madhura raja  hours  k views	4	not-malayalam/tamil
ml_sen_234	Late aayi vannalum latest aayi varananu A nu istam latest aayi tanne varum  Lalettan	1	Positive
ml_sen_235	Maha avatharan aaya avane ellathakkan oru maha avatharam thanna vendy varum waiting ikkaaa	1	Positive
ml_sen_236	ithil last ikkayude back side kanichappol DQ anonn tonniyath yenikk matramano	1	Positive
ml_sen_237	Unlike adichavarkku naduviral namaskaram  Support like	0	Negative
ml_sen_238	ikka kalakki super kidiloski trailer raja theatre poora parambu aakum	1	Positive
ml_sen_239	Odiyan super hit akum ennurappullavar adi LIKE	2	unknown_state
ml_sen_240	Ithokkey kandittaanu iparthey pillaru schoolilum collegilum adiyum pidiyum vazhakkum ondakunnadhu	1	Positive
ml_sen_241	In  days  million views Adi makkale like Mammmootty Prayam koodunthorum Cheruppamagunna Logathile ore oru humannn	2	unknown_state
ml_sen_242	kidilam cinema ethinte second part aragiyirunegil	1	Positive
ml_sen_243	Raju ettan eghane okke direction Cheyodie hard fan lalettaaa	1	Positive
ml_sen_244	Suraj anna entha parayya annan nte acting  vallathe range aayi anna onnum parayan illa othiri ishtama	1	Positive
ml_sen_245	Entammmooo Ejjathi trailer kandalum kandalum Mathi varatha trailer	1	Positive
ml_sen_246	Ithada mass  Enta laletta ummmmaaaa 	1	Positive
ml_sen_247	Do you know ikka  unbelievable	1	Positive
ml_sen_248	Oru rakshayumilla lalettan and rajuvetta polichu	1	Positive
ml_sen_249	Njn idaan vijaarch vanna comment ivde niranj kalikkunnalloookilichundan maanga	2	unknown_state
ml_sen_250	Cmmnt bx full like veendavar aanallo	3	Mixed_feelings
ml_sen_251	Ithil avante name Mummy girija ennaakum	0	Negative
ml_sen_252	Onnum parayanilla  pidiyum kittunnilla waiting for pathinettam  Rockkk Mammookka 	1	Positive
ml_sen_253	Kazhinja varshathinidayil lalettante nalloru trailer	1	Positive
ml_sen_254	Padam irangi Innum trailer kandu Most trusted trailer Biggest block buster  CRORE RAAJA	1	Positive
ml_sen_255	ellum shamikkum sunny chechiye villichu veruthi apamanichu vittathu orikkalum shamikkilla film kandavark manasilavum mosham  dialogs	0	Negative
ml_sen_256	 scene ill chankala kallil tovino mental anno	2	unknown_state
ml_sen_257	Ha Ha  Ha  Anghane adhum hudaaa huva	0	Negative
ml_sen_258	Pisharadi pattichu ee chitharathil postar il mommuty ikka yude  look agane ya koduthirikkune ee tealir il agane erikku	3	Mixed_feelings
ml_sen_259	Vineeth sreenivasane enikke vishwasa ithu pwolikkum	1	Positive
ml_sen_260	Ahlinya ahli	1	Positive
ml_sen_261	Sunny Chachi kananan vanndi trailer  thavana kanda njanx	1	Positive
ml_sen_262	Fanshowku pokum munp kanunnavar aroke 	2	unknown_state
ml_sen_263	Big big big hope on soubin	4	not-malayalam/tamil
ml_sen_264	Andra pradesh mammootty fans like	4	not-malayalam/tamil
ml_sen_265	Pulimuranganee edakk okaa arekilimm ormaa vanoo	2	unknown_state
ml_sen_266	Ee traler kanditu heavy mass feeling kitiyenkil full credit goes to Rajuvettan	1	Positive
ml_sen_267	Adhikam show kaanikkanda odiyan oruma undallo alle	3	Mixed_feelings
ml_sen_268	Idhile aa kochu midukkane  aarum kaanadhe poovarudh	1	Positive
ml_sen_269	Singana suryaye vellan oru poo monum Ella	1	Positive
ml_sen_270	Kidilan trailer vere level	1	Positive
ml_sen_271	Teaser kand kili poyavarkm trailer kand poya kili vannavarum	1	Positive
ml_sen_272	Padam polikkum nnu manasilakiyavar like adi	1	Positive
ml_sen_273	Family entertainer From janapriya naayakan	1	Positive
ml_sen_274	 k views	4	not-malayalam/tamil
ml_sen_275	Omg  Million sure anu	1	Positive
ml_sen_276	 muthal ee channelin mumbil irikkuvarnnu	1	Positive
ml_sen_277	Best Actor Film FeelingI love mammokka	1	Positive
ml_sen_278	Kerala super star last scene makes goosebumps	4	not-malayalam/tamil
ml_sen_279	  trailer first  like	2	unknown_state
ml_sen_280	Urutty koll nallavanaaya unniyaya saiju kurup engane chaagum ennariyan katta waiting	1	Positive
ml_sen_281	Evideyekeyo oru pulimurugan background thonniyavar like adi	2	unknown_state
ml_sen_282	Dislike button adich kalikunaa tmzod pucham matram	0	Negative
ml_sen_283	 peranbil thudangi maamankathil ethi nikkunnu veshapakarchayude thamburaan MAMMOOTTY	0	Negative
ml_sen_284	nammal  triple strong alla    athukkum mele  lalettan da   	1	Positive
ml_sen_285	M VIEW  AKKAN TRY CHEYYUNNAVAR LIKE ADI	2	unknown_state
ml_sen_286	Tharikida sabu pora oru kazhchakilla 	3	Mixed_feelings
ml_sen_287	day no  still Trending on 	4	not-malayalam/tamil
ml_sen_288	 week kayinjal edenkilum channelil kanam	3	Mixed_feelings
ml_sen_289	Trailer search cheythitt varunnilla Channel il keriyanu kandathu Trending lum varunnillallo	2	unknown_state
ml_sen_290	Verified channel IL eddadde	2	unknown_state
ml_sen_291	k dislike adicha guhanzzz stand vitt pokendatanu	0	Negative
ml_sen_292	Kalki kalakki best wishes from Nivinfans Palakkad unit	4	not-malayalam/tamil
ml_sen_293	Mammookkaye jeevanayi kanunnavar like adich pwolikk ikka	2	unknown_state
ml_sen_294	Mamukka ottiri ishttamm ethe polikkumm	1	Positive
ml_sen_295	 K LIKES BUT  K VIEWS 	4	not-malayalam/tamil
ml_sen_296	Sunny leone kaanan veendi vannavar like adikkuu	2	unknown_state
ml_sen_297	 	1	Positive
ml_sen_298	D companyile  jayasurya  ariyuo  ningalk  athaan  vera  level	1	Positive
ml_sen_299	Mamootiku lalettan fansinte vaka Vijaya asamaskal neridunnu	1	Positive
ml_sen_300	All best from all kerala asif ali fans	4	not-malayalam/tamil
ml_sen_301	E x mas Driving license kazjinjal next pooram	1	Positive
ml_sen_302	trending ennu kaanumbol Katta dileepeatan fanaya aalukalk indavunna Oru santhosham  athu paranju ariyikan patulaeatan  ishtam	1	Positive
ml_sen_303	iragiya padagal  yenam aavereginum thaye ith super hitagum	1	Positive
ml_sen_304	trailer superpadam kandipa  days tha wish you all the best debut director Prithviraj Sukumaran	4	not-malayalam/tamil
ml_sen_305	Sunny chechiye malayalathil kanan vendi ea padathinu ticket edukkan pokunnavar adi like	2	unknown_state
ml_sen_306	Idu entina trailer il padam motham kanikune	3	Mixed_feelings
ml_sen_307	Padam kandu kaxhinju kanunvr like adi	2	unknown_state
ml_sen_308	aadyam Lucifer eni raja box officinta kaaryatil teerumanamayi	1	Positive
ml_sen_309	Romam chaadi eneettu panchayathu ground vazhi  round oodiiii	3	Mixed_feelings
ml_sen_310	Luv frm Tntamilians give a like	4	not-malayalam/tamil
ml_sen_311	Oru comedy entertainer aarikkum	1	Positive
ml_sen_312	Trailernte ponnooru rakshem illa katta pwliikka pne parayandaallomegastar mammootty in mamangamkatta watng  hatersjst move bck	1	Positive
ml_sen_313	Ettan fans like button pottich kaanich kodkk	2	unknown_state
ml_sen_314	Mammukka oru rakshayilla     NEXT  CRORES IN MOLLYWOOD CINEMA	1	Positive
ml_sen_315	M views aayo ennu nokkan vannavarundo	2	unknown_state
ml_sen_316	Katta waiting jayetta oru onnu onnara trissur poorathinu Mass alla marana mass anne  Jayettan polich adukki Padam	1	Positive
ml_sen_317	Time  Yesuvinte Kazhuvettiya Cross Ithu ozhivakamayirunnu 	1	Positive
ml_sen_318	Kidu trailer  Ikka fans like Adi	1	Positive
ml_sen_319	Karikunnam sixersile surajettane pole ayirikkum aju varghees ennu thonniyavar like adi	2	unknown_state
ml_sen_320	Semma trailer  Lalettan mass frm TN	1	Positive
ml_sen_321	Yaar is taraha ki films pura India ma realese honi chiya	4	not-malayalam/tamil
ml_sen_322	Ayyo dharidhryamavideyum undada lallettan prescencequreshiqureshi abrahamlucifer	1	Positive
