text	category
again again rajuvettan theertha ee vismayam kanaan vanne nokkunavarundoo	Positive
costumes irshad khan cherukunnuijj poli muthee	Positive
ithenkilum oru hit enkilum aayaal mathi padachone adutha padakkam aavalle	Mixed_feelings
aa last bhakam marana mass mammookka	Positive
happy birthday mammookka	not-malayalam
mammokka thug life mashup	unknown_state
big b 2 pole und	Mixed_feelings
lalettaa muthee polichu	Positive
ee pennu evide poyaalum ithaanallo avastha	unknown_state
edhu kondu prethiraj neruthiyal kollam	Positive
ithipo kadha muzhuvan undalo ithilu	unknown_state
mammotiyude look divasam kudunthorum kodi varikayannallo	Positive
last black dress sredhichavar ivide like	unknown_state
natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha	Negative
padam pottum ennu urapulavarku evide like adikam	unknown_state
malayala sinimakkoru puthiya charithram pirakkatte	Positive
koora padam	Negative
superb trailer i have ever seen	not-malayalam
3 millon views 208 k likes	not-malayalam
ennalum ente idivettu suguna ninne ithilu kandillalo	Negative
which trailer you like more 1 mamangam 2 panipat	not-malayalam
1 33 1 40 mammuka rock s	not-malayalam
oru mikacha thriling movie aavum	Positive
undakku shesham mammookayude adutha natural movie	Positive
jayasurya chyuna a ella characters um pwoliya shaji pappen	Positive
mammukka ningal bharikkanam malayalam cinema iniyulla kalavum	Positive
apol ithu payyanmare padam aano rajuettan ikka onnum main ayittu ille	unknown_state
ende ammo aa mundu madakki vechulla aa chavitt laletta	Positive
youtube struck ayoo views 172 k like 162k unlike 15k laletaa	unknown_state
k g f duble	not-malayalam
trailer i ll tannaayy full story uondu	Positive
oru bigb feel aiivaa pwolichuu	Positive
pinneyum pinneyum kaanunnavar like adi lalatten ishtam	Positive
rajayude andhya kurbana chollan avan varunuu lucifer	unknown_state
positive kittiyal pinne parayandallo ettan fan aaya njan thanme kannu thalli poi bookings kandu	Positive
annum ennum ennum ikka mass	Positive
vere level trailer and bgm gopi sunder musical	Positive
padam irangiyittu parayam mass ano class ano ennu odiyan anubhavam kondu paranjatha	Mixed_feelings
passing of the crown trailer 1 kgf malayalam ft mohanlal nivin pauly	not-malayalam
e masathew 28 enna date nalathekakan pattuvoo pattillah allew wait chaiyanmm	Positive
jelli kettinte trailer bgm pole ind	Positive
50 pathu pravasham kandavar adi like	unknown_state
e traileril ntha chekutan undo	Positive
any one from nov 2 2k19	not-malayalam
adh suraj aanenn sound kett maathram kandpidichavar adi like	unknown_state
17 k view 119 k like 12 k dislike	not-malayalam
mallu students canada arelum like here	unknown_state
kalakki kalakki onnum parayan illa	Positive
oru saada nalla naatin purathe kada athre ullu aenike ishtta pettu	Positive
l u c i f e r	unknown_state
lucifer kaanan povunnathinu munpu trailer kaanan vannavar aarokke	unknown_state
vere level of making nd lalettan was awesome	Positive
raja solathu tha saiva saivathu mattumtha dolla ikka fans	not-malayalam
m a m a n g a m	unknown_state
looks like 2017 malyalam movie y and english movie buried	not-malayalam
next week china povan irikkana njan ithu kandeche njan povathullu	Positive
dislike adichavarodu pucham maathram lal fansine uddeshichu maathramanennu thettidarikallu ketto	unknown_state
peter hein nte stunt ella cinema il um ore pattern aanallo	Mixed_feelings
thuvanathumbikalile jayakrishnane orma vannavar like adi	unknown_state
tovino ishtam tovino fans like adi me	unknown_state
ohoo mamooka powlikum ee jati tralier making kiduwee	Positive
kalabahavan shajon laleetane chathikkum athe urappa trailer kandappo manasilayii	unknown_state
chicking ile freezer il poyi nokkiya mathi aale kittum	unknown_state
onnum parayanilla vere leval movie ayirikkum	Positive
cinema kand kazhinjitt trailer kanan vannavarkk ivde like adichittu pokam	unknown_state
lufier trailer kandu odiyan kandavar undo	unknown_state
raju ettaa ningal vera level	Positive
ithoru onnonnara item avumenn urappullavar like adi	Positive
late aayi vannalum latest aayi varuvenne	Positive
woow woww wow	not-malayalam
lokal poyi madhura raja teaser kanada	Negative
oru marana mass chitramaavatte laleeta lucifer	Positive
kuru potti olikknna 1k poojappura fans	Negative
adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema	Positive
17 k views 102 k like 10k dislike	not-malayalam
mohanlal prithvi fans like adik lucifer bamber hit akum	Positive
jayasurya mass after long time podi pooram	Positive
mammukka ningalau muthhaa oru rakshayilaa kikiduu	Positive
ettante lucifer 100 cr club kadakumm enn parayunnavar like adichee	unknown_state
laalettan fans only hit likes here	unknown_state
kure per dislike adich kuru pottikkunnund	Negative
dislike adechath alla punnara makkalum anta veral	Negative
jagapathi babu a telugu fan here	not-malayalam
2n part or kuch related kahani nxt hota acha lagta fans ko	not-malayalam
fight dialoge bgm oru rakshayum illa	Positive
3 million ettanum pillerum	unknown_state
ithu rajayude 3 strong alla ettande lucifer	Mixed_feelings
e padathinte making ushar aanenu thonunu trailer kanditt padam kandathokem thallipoli aayirnu but trailer pwolichu	Positive
samyuktha vendayirunnu aishu pwoli ann	Negative
trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal	Negative
dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu	Negative
jai lucifer jai lalettan jai prithwi	Positive
nalla punch ulla trailer mamooka jai anusree shamna ellarkum bst of luck	Positive
mammokkente big b2 bilal veranam ennu agraham ullavar undoo	unknown_state
bro support koduthilenkilum dislike adikkathirunoode	Negative
aaa kochu edhaa real fighter kannukalile theepori kidu	unknown_state
you use bots for likes and views	not-malayalam
swandam recordukal thanne thiruthunaa nadan pulimuruganekal odane daivame	unknown_state
suraj ettan fans fans like ivide	Positive
eid usharakkanam ithiri late ayalum nammal polikkum mammukka sa	Positive
3 2 strong rajuvettaa u nailed it	not-malayalam
e padam hit akum enn urapullavar like adikan ulla sthalam	Positive
ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya	Negative
ee trailer kandapo kgf ormavanavar adikk	unknown_state
ith oru onnonnara item aayrikkum	Positive
njan mammoty fan ann pakshe enikk ishtapettu	Positive
pirates of carbien aarum kanditilananu mone ninte vicharam	Negative
ravananaya avane nerkkuner illathakkan oru maha avatharam thanne vendi varum	unknown_state
aa thodakathile august cinemas eenu title card varumbol olla bgm pwoli	Positive
ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale	Positive
japan ne kali aakan maathram nammal aayitilla suraj ettaa	unknown_state
im a katta lalettan fan but ithu hit aakanam heavy	Positive
katta vishayam oru rekshem illa etta fdfs	Positive
dislike cheyunavanoke ethu naarikal aanenavo chathude kidukachi trailer vanetum dislike 1 1k kashtam preshakare	Negative
oru dubbing padathinte trailer pole kidu	Positive
myarakam ikka hollywood direction and visuals	Positive
mommookka mass entry by a lalettan bhakthan	not-malayalam
ini kando adiude ideude vedi pooram	Positive
innu trailer um	unknown_state
aa kannukal mathram mathi a character depth mansilkan laletta	Positive
trailer oru rakshyum illa adi poli jayettan takarkkum	Positive
dislike adichavarokke ith okke kanditt engane dislike adikkaan saadhikunnu uvve	unknown_state
waiting from die hard rajuvetan fan	not-malayalam
ee padam kolamavukayaanengil it will be because of peter hein	Negative
movide peru kandu dislike adikaan vannatha	Positive
avalude name veykkunille avar lead cheyyunna film alle	Negative
600 suscribe ulladhil itt 22k suscribe414kview 91k like aakiyya ikka mass	unknown_state
kidu bgm for ikka kidu movie super	Positive
mammookkaa nighal muthaanu nighal kola maassalla kolaveri maasaanu	Positive
ittimani film kandathinu shesham evide vannavar like adikku pinne replyum theru	unknown_state
deleep atta padam orappu maga hit	Positive
ee padam 8 nilayil podannamennju prarthikunnju	Negative
ikka i lv uu big screen kandolan waitingg	Positive
ee padam hit aakum ennu orappullavar enik oru 100 like taa	unknown_state
trailer valare cheruthayipoyi mammoottyude mukham enkilum onnu kanikkamayirunnu	Mixed_feelings
ayye poraa lalettan nu role ille	Negative
vineethangil adu supero super chodikanundo allea vineetheaa	Positive
fdfs vare wait cheyyan pattilla ijjathi ittam mamookka	Positive
owf poli angane oru paad naal kazhinj oru nalla cinima kanaan povnu	Positive
enta ponno ikka kalakum van trailer	Positive
entammo ikka powli powli heavy item	Positive
ee trailer vachaanoo luciferinodu muttaan varunnath	Negative
odiyan 2d animated trailer	not-malayalam
16 k views 55 k likes	unknown_state
11million aayo enn nokaan varunnavarundo	unknown_state
ini aarkkum onnum parayaanillalloo remember the name laleettan	Positive
inn ni8 full repeat adich kanan ponavar ivide like adicholu	Positive
adipolii movie suraj nta acting super ayiittodee anike othiri ishtapatuu super movie	Positive
edakku oru hollywood movie scene keri vanna pole ennikk mathramano thonniyath	unknown_state
just 1min etra per page il und	unknown_state
mudi valarthi lalettan pazhya rajashilpi look thannee 0 51 il super	Positive
mood poyi mood poyi aa sabune kandappol mood poyi	Negative
dislike adicha pullanmarude mugathulla adiyavatte oro likum	Negative
ekka madhura raja and lalettan lucifer 2 padam iragan pokuvane oru tight competition prethishikkunnu	unknown_state
02 19 ee scene theatril polikkum laletta 3	Positive
njaghalu katta waiting aanu nov 21 aavunnillallo ennoru pbm	Positive
vivek oberoi best villan powli	Positive
e trailer 5 il kooduthal kandavar like	unknown_state
kalathu ezhunnettu ee trailer kanumbol oru unmesham kittunnudu	Positive
trailer oru rakshayum illa 3 vattam kandu not the point aarudeyum fan alla	Positive
amboo roman ezunettu epic loading	Positive
powlii powlii last dialogue comedy anenkilu kidlm tyming	Positive
oru rakshayum illa ikka ingal yendhon manusyanaa itihasam	Positive
trailernu katta wait cheythirikkunna ethra aalundu ivide	Positive
kashttamund paavam chinnane enthina konne rakshapeduthi koodarunno minister rajayil chinnane pratheekshikkunnu chinnaraja fans adi like	unknown_state
happy birthday day my mammookka	not-malayalam
oru rakshayum illa orappicho muruga ninte mukalilekk oru asuravithinte idivettu entry kathninnoo 100 crore club adichaach	Positive
priya kuttoos nte teaser aayinankilu eppaze million views aavateenum	unknown_state
aa last nadatham kanditt best actor orma vanna arelum undo	unknown_state
ente ichayoo athre parayunnulluu ennu manasil karuthiyavar hit like here	unknown_state
police ill minimum hight elle aju oke police	Negative
500k enn paranjitt 410k ullollo real time views	unknown_state
lalettane prathheeshich ithuvazhi vannavar like	unknown_state
orika kanda veendum veendum kanan thonnum	Positive
stars nu pakaram nalla cinema ye support cheyyunavar adi like	unknown_state
haavu samadaanamaayi editor mahesh narayanan	unknown_state
dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn	Negative
eyyalu nthu manushana oru rakshayum ella kidu	Positive
ee nanchakottayill arudeyuum kanneeroppaan vannathalla njan pakshe karayikunnavante okeyuum thala njan adichu polikuum	unknown_state
ikkante mugham illathe thanne super mugham koode kanichenkil enthavum avastha	Positive
rajuvetta ningal mass annu ammoo enna oru feel laletta	Positive
uff mwonr kinnam kaachya item	Positive
appo nayakan mammukka alley e piller aana	unknown_state
madhura rajayum usharavatte from a lalettan fan	Positive
chandu vine orma vannavar ivde common	unknown_state
sambavam kollam but	Mixed_feelings
mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku ella industrikaleyum vettichu nammade malayalam industriye unnatangalil ethikanam	Positive
njan oru a10 fan aanu but ithu kollaam nammade ikka poliyaanuu all the best	Positive
please upload moha mundiri video song	unknown_state
ee padam kand chirich pandaram adangi	Positive
trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla	Negative
trailer kandapol bahubali orthavar like adi	unknown_state
hvy iteam	Positive
212k views	unknown_state
njan aashupatriyiloottu pookuvaa ulla roomamellam roomanjichu parinju pooyi baakki ullathu pongithanna nikkuva ettan maatana maaraka maass	Positive
fight vere level teateril paper kure keerendi varum ichayoo	Positive
trailer vere level anu makkale mammookka uyir mamangam_november 21	Positive
ethilum valiya masss eni ella padam 100 crore loading	Positive
cinima 2 aam vattam kanan paisa illanitt trailer veendum kanunnadh njn maathramano	unknown_state
e padathil ellavarum und but pottiyal ellam pogum appurath yama dan kadha verunnund madhura raajayum ethayalum all the best	Mixed_feelings
mammookkayude scenes pause cheytu kandavar arokke undu	unknown_state
mammootty kazhinju vere oru nadan malayalathil illa karanam etavum last mammootty anu	unknown_state
pokiri raja nte athra odulaa ee chithram eniku thonunnu	Negative
gopi sunderinte teaser bgm kaliyakkiyavarkkulla marupadi koodi	Positive
eee oru movie mohanlal fan aakumennu katta waiting	Positive
69 years old megastar nammude mammookkaa oree poli mammookkaa	Positive
releasinte aan thanne pokum ennu urappullavar adi like	unknown_state
lalettan marana mass intha movie bayangara hit adikkum love from tamilnadu	not-malayalam
oru mass political family blockbuster hit aakatteyenn aashamsikkunnu	Positive
trailor kand 8 nilayil pottum enn thonunnu mumbathe pole tholvigal vaari kootan thudangunnu	Negative
vineeth sreenivasan presents	Positive
unni mukundan fans like here	not-malayalam
ikkaye kanan vendi mathram fdfs urapichavar like	Positive
ente ikkaa kola mass youtube hang aanu makkale	Positive
gopi sundar and ikka fan from malappuram	not-malayalam
dislike myrolikalk ulla kandam madhurayil orukkiyittund enn parayan paranju	Negative
yeshu das saarinte oru song ithil pratheekshikkaavo	unknown_state
1 st day kazinju theatre bakki undayal mathiyayirunnu lalettan	Positive
happy birthday sulthan of malayalam cinema mammookka	not-malayalam
8hr 2 million viewers one name laletan n prithvy	not-malayalam
lucifer pola nalla oru padam avatte	Positive
10m adikkum ennullavar aadhyam like onn adiche	unknown_state
negative aayi onmilla eattn polikm	Positive
njan mathram ano padam kand veendum trailer edth noki veendum padam kanan poyathangane like	unknown_state
2013 drishyam 75 cr 2016 pulimurugan 150 cr 2019 lucifer any guess	unknown_state
lastilathe punch kaanan mathram veendum vannavarundel chummathonnu njekkiyechum poike	Positive
nice	not-malayalam
pwlichu ikka pwlichu hollywood cut	Positive
trailer erghunathinn munbb kanathe dislike adichavanmaar verum verum feeling pucham to u all	Negative
amboo ettan kidu acting raju ettan poli making	Positive
onnum parayan ila mammokka polichu thakarthuu	Positive
suraj ettan soubin ikka enn kelkkumbo thanne oru nalla cinema yude smell adikkunnund waiting for releasing	Positive
ejjati item ettan pwolikkum all the best raju etta	Positive
ohh my god endhokke looks aanu onnum parayaanillaa katta waiting lalettaa	Positive
madhuraraja teaser ethaanenkil trailer enthaayirikkum april kazhinjaal theater ok kaanumo aavo	unknown_state
after 1m views 150k likes	not-malayalam
sheriyaya views ano allengil youtube lalettan hang akkiyathano ennu samshyamullarkku like adikkanulla thumbu	unknown_state
enthonnadei ithu pulimurugan tamil remake a	Mixed_feelings
10 million ayo ennu nokkan varunnavar like adi	unknown_state
thalachorilla budhiyum illatha 11k aalkkar ninte okke thalakku oolamanoo	Negative
ella cinimakaludeyum trailer kanunathe habits aakkiyavarundo	unknown_state
trilar kanditt padam valiya pratheeksha illaa	Mixed_feelings
wtng laletta	Mixed_feelings
looks like netflix series oru film aayi coloring mach aavunnilla	Negative
ooro secondum mmakkayude entrik vendi waiting aayirunnu	Positive
mammookem pillerum ithil polikkum ennu urapullavar like adich pokko	unknown_state
tovinok pakaram unni mukundan mathiyarunnu	Mixed_feelings
panieduthittu padikkan verunnavante kayyude thazhambumkondonnu kittiyal mathi pinne joraa	unknown_state
soundil kurachukoodi bass koodi undayinnel kidilan	Mixed_feelings
lalettaa rajuettaa go ahead	not-malayalam
love you mammookhaa mammookha fans hit like	not-malayalam
lalettan faanan but ee trailer kidukki tto	Positive
adipoli	Positive
ipo 10 vattam kandu yennittum madhiyavunnilla romanjifikshan ikka	Positive
padam polikunna thonnunne soubin oru pradhibasam thanne ambili kandit oru onnonnara fana ayi njn	Positive
prathviraaj	Positive
ravananaya avane nerkkuner illathakkan oru maha	unknown_state
ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu	Positive
suraaj looks like our kunjunni mash	not-malayalam
padam kidilan ane oru rakshayumilla pakshe ithpole padam englishilum umd robot and frank enn pere athum pwoliyane	Positive
veruthayayi kashu poyi pratheeshyode arum pokaruthe	Negative
super mega hit aayirikkum mark	Positive
aaa mundum pookal shirtum vere arund ithra look	Positive
trailer kidukki film ith pole nannaya mathiyarnnu	Positive
njan maathramano comment nu like kittiyo enn veendum veendum nokkunnath	unknown_state
enta ponno ithu verae level iove u ikka	Positive
uff ente ponoo wait chyan vayye ikka	unknown_state
ajuvine kandale ariyam on negative role anenn pinne lift kanikkunond aval mikkavarum liftil kanum	unknown_state
korach adhikum award kude undakendi verum enn toonna suraajettante acting kanumbo	Positive
njan oru mohanlaal fana pakshe ith vallathore vishayam filim aairikkum	unknown_state
wow maranamaas trailer gopi sundar bgm oru rakshemilla ttaa hit like if u watch fdfs	Positive
pulimurugam team alle athinta oru chaaya evdokkeyo ondikka superman punch pwliyee	Mixed_feelings
super star rajini sir fans hit likes	not-malayalam
0 15 aa musicinu vendi wait cheyyuva	not-malayalam
makkale onnum nokkanda ninghal vanna bakkam enna 1 54	unknown_state
nayika liftil kudungunnu ellaarum oodi nadannu anveshikunnu	unknown_state
ith kidukkan aakum eagerly waiting lub you ikkaa from eattan fan	Positive
173k views and 173k likes bakki kore mammunni fans 18k	Negative
mammookaye pole dailog eathu salgilum prasant cheyyan kazhiyillannu ippo eniku manasilaayi	Negative
hit like if you are lalettan s fan	not-malayalam
trailer kand romanjam vanna ettan fans like adikn	Positive
ithu oru 5 million views aakkanam	unknown_state
mohanlal looks like as he was in jilla	not-malayalam
thrissur slang paliyenn thonnunnath enikk mathramano	Negative
america atom bomb itittu thirnilaa pinaa allee bengalikal	unknown_state
onnum parayanilla pratheshakalkkapuram nammakku asvathikkan pattiya trailer ethra pravisham kandittum mathiyaunnilla	Positive
kidu trailer iniyulla kali ikkayude pilleru nokkikolam triple strongode	Positive
enik albudham sidiqane aan 1kodi bajat aayalum 100 kodi bajatayalum sidiq athil kanum legend	Positive
lucifer trailer erangiya day million views vannapo sudappi makkal endho paranjarunnallo ikkede trailer onnu vannottu ennu alle ennittu bhayangara views ahnallo	Negative
padam pottum charithram akanamenkil marakkar varanam	Negative
prithviraj nighal oru marana mass sambavam	Positive
kerala die hard mohanlal fans like here	not-malayalam
da mwone madhurajaedatreum varilla ketto nte vaka ellarkum chukavandanam	Negative
odiyan iruttinda raja enda ethra kali kandittulladhaan ne odiyan odi odi odiyan	unknown_state
katta waiting madura raja mammokka kidu mass	Positive
tamil nadu mohan lal fans hit like	not-malayalam
ikkakk valla mass padavum cheythude ithorumaathiri senti cop	Negative
pora	Negative
koora trailer jattimaanii padam pottum 100percent lalappaa	Negative
ente ponnuu lalettaa baaki oke kili vannit parayam	Positive
cinema iragiyittum view cheyyunnavar like adi	unknown_state
then kanji adukkatte manikya now kill that bastard sivane	unknown_state
prithiraje than ee pani nirthiko enthon kopile padamado	Negative
chandhuvineyum pazhashiyekalum mukalil nilkan pokunna oru muthal chandrothe ee vellyamamma	Positive
maduraraja ikka okke trailer poora pulimuraganil ninne kure cut eduthittiunde villan dadygirija same athe irutham	Mixed_feelings
cinema vizag kandu polichu super duper hit	Positive
onnpodaa challenge inne undo 1 hour 50 k likes ann madhara rajj kalikann venda	Negative
poster kanditt feel good anenn karuthi kanathe vitu	Positive
mammootty fans polum like adichu pokum adaru trailer	Positive
lucifer onnil kooduthal thavana kandavar onnu like adikku	unknown_state
havy havy super super kidu kidu	Positive
trailer oru rashilla kili poyi laletta poli anitta	Positive
adhikarappeduthunna gadikaarame ithu gadikarangal nilakkunna nimisham indian cinemayude mugamudhra	Positive
raja returnss makkale ithu marana mass padamaayirikkum	Positive
oru poli polikum 21n pooram kanan chry abhinaya ang por	Positive
endhake paranjalu nammal malayalikalude chungukal lalettanu m mmukkayum thanneyanu laletta kkimamukka kki	Positive
theriyumile	unknown_state
oru best actor feel enikk maatramaano adiche	unknown_state
lalettante ittimanikk njanga ikkayude piller vaka best of luck	Positive
antony perumbavor undaya monemarayirikum dislike adikunath	unknown_state
heavy trailer	Positive
ente laletta onnum parayanilla ningal mass anu ningale pole ningale ullu	Positive
police ne kuttam parayuna	Negative
kidu katta waiting mamamookkaa	Positive
ittimani mass ahnn manasuman	unknown_state
pls pls pls dub in hindi	not-malayalam
raavanaaya avane illamdakkan oru mahaa avatharam thanne vendi varum	unknown_state
enter ettaa ohh onnum parayaan ellaa	Positive
trailer powli aayi cinemayum angane thanne aavum enn pratheekshikkunnu	Positive
nanmayum nanmayum thammilalla yudhamthinmayum thinmayum thammilaa yudham	unknown_state
7m subcribesundayittum 3 9m views 5m yethikku plz kandavar onnum kudi kaanuga	unknown_state
aathirapilli pls step back plz mammookkaa	not-malayalam
enna bodyaa mamooty iniyum oru 10 ankathinulla balyam undu	Positive
njan mathram aano sunny chechiyee kaanan vannath sunny chechi uyir	Positive
super trailer avasanathe idi super but bgm pulimurugan copy	Mixed_feelings
ikkaa nigalu mass aanu pinnem pinnem irunna kanan thonnuvaa	Positive
neerali	Positive
mammookka nte look vere level	Positive
etha sherikum puli murugan polla udaa	Mixed_feelings
dis like idunna mammuny fansukrude pratheka sradhkku raajaye kaathu padakkathinte mahaniya shekram staginte baakil inddu sookshicha dukkiknda	Negative
muslingalk idayilum xristhanikalk idayilum hindukalk idayilum ivanu ore oru pereyyllu raja	Positive
we are waiting for deric abraham	not-malayalam
ikka dlg delivery oru rakshayumilla love uuhh ikkaa	Positive
nice ikka mass all th bst lalettan fan	Positive
kerala puthya keralam ayrkum but bilal pazya bilal tahnee ikka	unknown_state
yudham nanmayum thinmayum thammilalla thinmayum thinmayum thammilanu	unknown_state
dislike pottikkunnavarkk kurupottalaathi kodukkapedum	Negative
views 25k aayitolu but like 77k youtubine vattayo	unknown_state
i am waiting for	Positive
vishukk entha special enn aarelum chodichaal ad madhuraraaja aanenn paranjeer	Positive
mohanlal sir mass i am tamilnadu fan	not-malayalam
mammookka fans inu like adikkan ulla comment	unknown_state
titles look like hobbs s and shaw s fast and furious	not-malayalam
etu lucifere polichu adukum raja return daa	Positive
ikka muthanu prayam koodunthorum kooduthal monjan	Positive
trailer kandu thudangyalo 7 9m views aarunu kandu kazinjapo 8m aayi	unknown_state
chekuthanmarude rajavu lucifer lalettan rajuvettan romanchification	unknown_state
oru 100cr koody njnga ing aduthu eidmubarak	Positive
age is just a number for ikka	not-malayalam
ethu powlikkum maduraraja yum puliyum myrumonnumalla nammukke vendate immatiri items aane	Negative
100 o 200 crore club il keeriyillelum padam super aayal mathi naangalkk love you ikka love you laletta	Positive
angane murukante karyathil oru teerumanam ayii	unknown_state
malayalathinte swandham lalettanu all kerala dulquar salman fansinte vijayasamshagal	Positive
endo aa dilouge delivery endo pole	Mixed_feelings
odiyanil poya pratheeksha luciferin thannekkua etta minnichekkane	Positive
trailer 20 ill kooduthal kandavar like here	unknown_state
lalletan fans ellarum like adich power kanikke	unknown_state
ini aanu kali trailer kalakki above expectations	Positive
2019 november i ll ith kanan vannavar undo	unknown_state
tamil nadu fans vera level machi trailer	not-malayalam
tovi mwthinte mass kannan vannavar undo	unknown_state
cinema kanditum idakku idakku keri trailer kanund	unknown_state
superbly done vyshak sir	not-malayalam
lucifer madhurarajayekkal ishtamayavar like madhuraraja luciferineikal ishtamayavar comment nammukku nokkam aaru jayikumennu	unknown_state
cinema kandit vannu trailer kanunna ethraperund evde	unknown_state
marana maass feel trailer padathinum ad kittiyal polikum	Positive
trailer erengunenu mumb 5 2k dislike adichavanmark ente naduviral namaskaram	Negative
peru orkunnilla oru english film orma vannu	unknown_state
pulimurugan pole thane und set onnu matti pidikarnnu	Mixed_feelings
poojapura mohanan fans moonchi	Negative
over hype koduth ee oola padatinu vendi talliya ella oombanmaraya lalappan fansinte karanakuttik noki onn pottikan tonunnavar like eduka	Negative
enna njan oru kaaryam parayatte ee padam pottum odiyan avashtha aavum mark my words	Negative
kandittum kandittum madhiyaavunnillallo deyvame ente laletta ningal star alla oru galaxy aanu	Positive
one only mammangam loading	not-malayalam
njan poye kanan mammookkaye al wahdha mall njan kandu	Positive
ee like button oru thavanaye adikkaan pattu allee	Positive
2 7k unlike adicha pengalepanni makkalkku ente naduviral namaskaram	Negative
happy birthday mammookkaa	not-malayalam
veendum veendum kanunnavar like adii makkalae	unknown_state
waiting cr film from mammukka	not-malayalam
trailer oru spark aakunnilla but still waiting	Mixed_feelings
ethinokke dislike adikkunnavar aan malayala cinimayuday shapam	Negative
aha aha nalla kidilan thalavettu	unknown_state
vijaricha pola allallo kidu analla	Positive
