vera	909_Positive
more	029_Positive
fdfs	029_Positive
we	029_Positive
panunga	029_Positive
happy	029_Positive
namba	029_Positive
class	029_Positive
semmaa	029_Positive
raja	029_Positive
varuma	029_Positive
luv	029_Positive
irundha	028_Positive
voice	028_Positive
fight	028_Positive
varuthu	028_Positive
vj	028_Positive
pathu	028_Positive
comments	028_Positive
ippadi	028_Positive
vantha	028_Positive
ur	028_Positive
entha	027_Positive
ha	027_Positive
padathula	027_Positive
song	027_Positive
vanthu	027_Positive
kollama	027_Positive
iruken	027_Positive
pera	027_Positive
adichu	027_Positive
ayyo	027_Positive
see	027_Positive
kku	027_Positive
ki	026_not-Tamil
poi	026_Positive
dislikes	026_Positive
iruka	026_Positive
yaaru	026_Positive
patha	026_Positive
yar	026_Positive
ma	026_Positive
naan	026_Positive
many	026_Positive
ji	026_Positive
looking	026_Positive
semaya	026_Positive
venum	026_Positive
bloods	026_Positive
irunthu	026_Positive
evlo	025_Positive
dance	025_Positive
that	025_Positive
yoda	025_Positive
ahh	025_Positive
annan	025_Positive
munnadi	025_Positive
subburaj	025_Positive
sirappana	025_Positive
sapda	025_Positive
prakash	025_Positive
maas	025_Positive
haters	024_Positive
jai	024_Positive
vfx	024_Positive
eruku	024_Positive
who	024_Positive
surya	024_Positive
block	024_Positive
guys	024_Positive
much	024_Positive
manju	024_Positive
ethana	024_Positive
padippa	024_Positive
copy	023_Positive
feel	023_Positive
be	023_Positive
pls	023_Positive
eh	023_Positive
buster	023_Positive
day	023_Positive
uh	023_Positive
20	023_Positive
katta	023_Positive
naal	023_Positive
soldravanga	023_Positive
support	023_Positive
maran	023_Positive
parunga	023_Positive
11	023_Positive
up	023_Positive
boss	023_Positive
kondan	023_Positive
kulla	022_Positive
ok	022_Positive
dhaan	022_Positive
kandippa	022_Positive
yenna	022_Positive
sonna	022_Positive
inoruthara	022_Positive
batman	022_Positive
wishes	022_Positive
unna	022_Positive
thaliva	022_Positive
kadaram	022_Positive
young	022_Positive
hard	022_Positive
getup	022_Positive
thalaya	022_Positive
soon	022_Positive
eppavume	022_Positive
avan	022_Negative
flop	022_Negative
padipa	021_Positive
sanda	021_Positive
irruku	021_Positive
athu	021_Positive
kandipa	021_Positive
come	021_Positive
itha	021_Positive
niraiya	021_Positive
eduthu	021_Positive
still	021_Positive
if	021_Positive
6	021_Positive
role	021_Positive
god	021_Positive
dialog	021_Positive
poringa	021_Positive
thalapathi	021_Positive
sivakarthikeyan	021_Positive
sirapana	021_Positive
d	021_Positive
mudiyadhu	021_Positive
1st	021_Positive
ready	021_Positive
teejay	021_Positive
ak	021_Positive
ko	020_not-Tamil
not	020_Positive
64	020_Positive
peru	020_Positive
youtube	020_Positive
yarellam	020_Positive
inum	020_Positive
ipo	020_Positive
at	020_Positive
irukanum	020_Positive
pana	020_Positive
55	020_Positive
18	020_Positive
delivery	020_Positive
with	020_Positive
old	020_Positive
yaa	020_Positive
die	020_Positive
per	020_Positive
thalivaa	020_Positive
rocking	020_Positive
ta	020_Positive
as	020_Positive
amazing	020_Positive
ke	019_not-Tamil
ivlo	019_Positive
ethu	019_Positive
chinna	019_Positive
kaala	019_Positive
vanthavanga	019_Positive
can	019_Positive
eppadi	019_Positive
semmaya	019_Positive
ra	019_Positive
sri	019_Positive
irukaru	019_Positive
solla	019_Positive
varaikum	019_Positive
kudathu	019_Positive
end	019_Positive
massu	019_Positive
podunge	019_Positive
nama	019_Positive
00	019_Positive
thalaivara	019_Positive
sari	019_Positive
nariya	019_Positive
say	019_Positive
thalaiver	019_Positive
rajnikanth	019_Positive
line	019_Positive
daily	019_Positive
bhai	018_not-Tamil
nahi	018_not-Tamil
kuch	018_not-Tamil
rajinified	018_Positive
maathiri	018_Positive
story	018_Positive
pothu	018_Positive
vanga	018_Positive
padama	018_Positive
he	018_Positive
button	018_Positive
kita	018_Positive
night	018_Positive
deepavali	018_Positive
real	018_Positive
eppa	018_Positive
pathavanga	018_Positive
paatha	018_Positive
pongaluku	018_Positive
miss	018_Positive
pongalukku	018_Positive
kids	018_Positive
reach	018_Positive
woww	018_Positive
anil	018_Negative
kya	017_not-Tamil
kon	017_not-Tamil
irukka	017_Positive
power	017_Positive
sarkar	017_Positive
any	017_Positive
odi	017_Positive
name	017_Positive
krish	017_Positive
erukku	017_Positive
ungala	017_Positive
fire	017_Positive
nerya	017_Positive
2019	017_Positive
team	017_Positive
channel	017_Positive
our	017_Positive
view	017_Positive
g	017_Positive
ungaluku	017_Positive
mudiyala	017_Positive
theatre	017_Positive
50	017_Positive
thalai	017_Positive
konda	017_Positive
inda	017_Positive
vinoth	017_Positive
90	017_Positive
tharamaana	017_Positive
irukken	017_Positive
dialogues	017_Positive
true	017_Positive
stylish	017_Positive
cute	017_Positive
vainga	017_Positive
aaya	016_not-Tamil
nhi	016_not-Tamil
bhi	016_not-Tamil
vetrimaaran	016_Positive
varala	016_Positive
ada	016_Positive
sam	016_Positive
malaysia	016_Positive
bollywood	016_Positive
agree	016_Positive
ketta	016_Positive
record	016_Positive
veraa	016_Positive
poduga	016_Positive
onnum	016_Positive
trailor	016_Positive
pani	016_Positive
kondu	016_Positive
parvai	016_Positive
elam	016_Positive
rocks	016_Positive
words	016_Positive
10m	016_Positive
apdi	016_Positive
nanga	016_Positive
apram	016_Positive
thalivar	016_Positive
an	016_Positive
nadakathu	016_Positive
aiyoo	016_Positive
vittu	016_Positive
mode	016_Positive
lanka	016_Positive
treat	016_Positive
thanks	016_Positive
reached	016_Positive
august	016_Positive
money	016_Positive
danush	016_Positive
valimai	016_Positive
pottu	015_Positive
nala	015_Positive
nan	015_Positive
mavane	015_Positive
therikka	015_Positive
yaar	015_Positive
plz	015_Positive
pasanga	015_Positive
le	015_Positive
confirm	015_Positive
suriya	015_Positive
naanga	015_Positive
naraiya	015_Positive
ni	015_Positive
vandha	015_Positive
valthukal	015_Positive
90s	015_Positive
semaa	015_Positive
thana	015_Positive
share	015_Positive
performance	015_Positive
namaku	015_Positive
nenga	015_Positive
yow	015_Positive
800k	015_Positive
gvp	015_Positive
proud	015_Positive
kab	014_not-Tamil
nerkondapaarvaitrailer	014_Positive
set	014_Positive
lokesh	014_Positive
poguthu	014_Positive
please	014_Positive
ithula	014_Positive
movies	014_Positive
mr	014_Positive
how	014_Positive
massa	014_Positive
eppo	014_Positive
chitti	014_Positive
better	014_Positive
30	014_Positive
thank	014_Positive
poram	014_Positive
koodathu	014_Positive
verithanama	014_Positive
sama	014_Positive
ever	014_Positive
parka	014_Positive
12	014_Positive
karthick	014_Positive
his	014_Positive
idha	014_Positive
also	014_Positive
rasigan	014_Positive
theater	014_Positive
maaran	014_Positive
l	014_Positive
sec	014_Positive
uu	014_Positive
sambavangala	014_Positive
superr	014_Positive
nadakka	014_Positive
comedy	014_Negative
punda	014_Negative
enaku	013_Positive
potu	013_Positive
pathi	013_Positive
poda	013_Positive
periya	013_Positive
part	013_Positive
director	013_Positive
actor	013_Positive
sollunga	013_Positive
apdiye	013_Positive
p	013_Positive
thalaivan	013_Positive
india	013_Positive
nadaka	013_Positive
appo	013_Positive
iruke	013_Positive
new	013_Positive
climax	013_Positive
its	013_Positive
katrathukaga	013_Positive
mugamoodi	013_Positive
yov	013_Positive
simran	013_Positive
scenes	013_Positive
thambi	013_Positive
ner	013_Positive
endha	013_Positive
late	013_Positive
oh	013_Positive
kollywood	013_Positive
8	013_Positive
repeat	013_Positive
link	013_Positive
thadava	013_Positive
aah	013_Positive
yarum	013_Positive
handsome	013_Positive
control	013_Positive
seyal	013_Negative
main	012_not-Tamil
se	012_not-Tamil
thagida	012_Positive
lying	012_Positive
ellaam	012_Positive
unlike	012_Positive
or	012_Positive
age	012_Positive
ore	012_Positive
andhra	012_Positive
your	012_Positive
now	012_Positive
want	012_Positive
7	012_Positive
adhu	012_Positive
ungalukku	012_Positive
laye	012_Positive
appa	012_Positive
sure	012_Positive
did	012_Positive
watching	012_Positive
thirumba	012_Positive
avar	012_Positive
subscribe	012_Positive
nadu	012_Positive
kandu	012_Positive
energy	012_Positive
agala	012_Positive
irundhu	012_Positive
aatatha	012_Positive
life	012_Positive
ethir	012_Positive
eppavum	012_Positive
semmaiya	012_Positive
seeing	012_Positive
morning	012_Positive
tala	012_Positive
kaadu	012_Positive
aairuku	012_Positive
15	012_Positive
vanthalum	012_Positive
inime	012_Positive
dear	012_Positive
theme	012_Negative
madhiri	012_Negative
potta	012_Negative
darbar	011_unknown_state
ho	011_not-Tamil
vegama	011_Positive
vanganum	011_Positive
entry	011_Positive
aasaa	011_Positive
will	011_Positive
vela	011_Positive
waste	011_Positive
varathu	011_Positive
kanagaraj	011_Positive
anyone	011_Positive
neega	011_Positive
panravanga	011_Positive
alavuku	011_Positive
enakku	011_Positive
laa	011_Positive
enada	011_Positive
kolla	011_Positive
cs	011_Positive
athuku	011_Positive
malay	011_Positive
hey	011_Positive
ipadi	011_Positive
3d	011_Positive
kamal	011_Positive
no1	011_Positive
veriyans	011_Positive
panuga	011_Positive
pannu	011_Positive
start	011_Positive
37	011_Positive
pathuttu	011_Positive
evalo	011_Positive
irukanga	011_Positive
feeling	011_Positive
coming	011_Positive
well	011_Positive
ga	011_Positive
today	011_Positive
edhu	011_Positive
aiyo	011_Positive
vayasanalum	011_Positive
pangaaligala	011_Positive
idhuku	011_Positive
epo	011_Positive
rasigargal	011_Positive
pangaali	011_Positive
never	011_Positive
chance	011_Positive
angaali	011_Positive
cartoon	011_Negative
karo	010_not-Tamil
dekh	010_not-Tamil
tau	010_not-Tamil
aur	010_not-Tamil
vettai	010_Positive
sapada	010_Positive
title	010_Positive
padathuku	010_Positive
phone	010_Positive
apo	010_Positive
over	010_Positive
irukan	010_Positive
tv	010_Positive
graphics	010_Positive
sethu	010_Positive
vandhu	010_Positive
think	010_Positive
ranjith	010_Positive
same	010_Positive
paathu	010_Positive
irukinga	010_Positive
evan	010_Positive
gandula	010_Positive
kaidhi	010_Positive
pangalingala	010_Positive
adi	010_Positive
ini	010_Positive
thalaivaru	010_Positive
sila	010_Positive
kabali	010_Positive
papom	010_Positive
epadi	010_Positive
valthukkal	010_Positive
thookalamaa	010_Positive
poga	010_Positive
seen	010_Positive
sathiyama	010_Positive
different	010_Positive
padathukku	010_Positive
yenga	010_Positive
vijaysethupathi	010_Positive
maten	010_Positive
keta	010_Positive
mathavangala	010_Positive
vachu	010_Positive
hours	010_Positive
pakalam	010_Positive
show	010_Positive
partha	010_Positive
keep	010_Positive
fast	010_Positive
court	010_Positive
illaya	010_Positive
going	010_Positive
ar	010_Positive
ayyoo	010_Positive
pradesh	010_Positive
kanth	010_Positive
fanz	010_Positive
paakka	010_Positive
manushan	010_Positive
nanum	010_Positive
ellarukum	010_Positive
doi	010_Positive
paah	010_Positive
forever	010_Positive
compare	010_Positive
maker	010_Positive
friends	010_Positive
frame	010_Positive
vada	010_Negative
pasangala	010_Negative
lo	009_not-Tamil
warrier	009_Positive
vidunga	009_Positive
varumnu	009_Positive
thaaru	009_Positive
parkura	009_Positive
padippu	009_Positive
manusan	009_Positive
maaru	009_Positive
eduthuka	009_Positive
dailogue	009_Positive
aug	009_Positive
chennai	009_Positive
pannitu	009_Positive
illama	009_Positive
rajnikant	009_Positive
mind	009_Positive
watch	009_Positive
paathutu	009_Positive
panringa	009_Positive
irukke	009_Positive
kaaga	009_Positive
c	009_Positive
kk	009_Positive
appuram	009_Positive
go	009_Positive
solra	009_Positive
kali	009_Positive
virgin	009_Positive
character	009_Positive
final	009_Positive
beat	009_Positive
e	009_Positive
im	009_Positive
avlo	009_Positive
y	009_Positive
aaga	009_Positive
36	009_Positive
ending	009_Positive
trisha	009_Positive
work	009_Positive
poranthu	009_Positive
yellam	009_Positive
mega	009_Positive
kutty	009_Positive
thara	009_Positive
telangana	009_Positive
rajinism	009_Positive
powerful	009_Positive
iru	009_Positive
avara	009_Positive
anirudh	009_Positive
paaru	009_Positive
gaandu	009_Positive
really	009_Positive
ppaa	009_Positive
irukura	009_Positive
avaru	009_Positive
2m	009_Positive
suyama	009_Positive
rock	009_Positive
pannavanga	009_Positive
pandravanga	009_Positive
pudikum	009_Positive
nalaiku	009_Positive
dialouge	009_Positive
ajit	009_Positive
target	009_Positive
sasikumar	009_Positive
overloaded	009_Positive
ajithkumar	009_Positive
vayasula	009_Positive
paduthiringa	009_Positive
moment	009_Positive
maranaa	009_Positive
38	009_Positive
madurai	009_Positive
amma	009_Negative
ivan	009_Negative
iron	009_Negative
utk	008_not-Tamil
hi	008_not-Tamil
lag	008_not-Tamil
pe	008_not-Tamil
laga	008_not-Tamil
vidunka	008_Positive
padipu	008_Positive
nammakitta	008_Positive
nale	008_Positive
milion	008_Positive
marubadiyum	008_Positive
kaatu	008_Positive
ennaya	008_Positive
chechi	008_Positive
ayaz	008_Positive
attatha	008_Positive
20m	008_Positive
zero	008_Positive
enda	008_Positive
kannada	008_Positive
yenda	008_Positive
aprm	008_Positive
don	008_Positive
sethupathy	008_Positive
viswasatha	008_Positive
hope	008_Positive
varudhu	008_Positive
seems	008_Positive
suit	008_Positive
pandringa	008_Positive
sollu	008_Positive
paarunga	008_Positive
bad	008_Positive
therila	008_Positive
nadakadhu	008_Positive
60	008_Positive
use	008_Positive
bangam	008_Positive
nadikka	008_Positive
innoru	008_Positive
29	008_Positive
dislikers	008_Positive
thalaiku	008_Positive
aagala	008_Positive
world	008_Positive
trailera	008_Positive
munadi	008_Positive
vena	008_Positive
po	008_Positive
villain	008_Positive
rahman	008_Positive
ethuku	008_Positive
athukku	008_Positive
aagum	008_Positive
lol	008_Positive
tough	008_Positive
9	008_Positive
1million	008_Positive
picture	008_Positive
yella	008_Positive
vendum	008_Positive
vadachennai	008_Positive
swag	008_Positive
suburaj	008_Positive
pesama	008_Positive
podhum	008_Positive
pakanum	008_Positive
01	008_Positive
pannanum	008_Positive
long	008_Positive
kaasu	008_Positive
cmt	008_Positive
thalaivare	008_Positive
pathalum	008_Positive
paduthureenga	008_Positive
potutu	008_Positive
parthu	008_Positive
pure	008_Positive
bt	008_Positive
ala	008_Positive
chumma	008_Positive
ulla	008_Positive
annaa	008_Positive
poro	008_Positive
was	008_Positive
varadhu	008_Positive
thirumbi	008_Positive
therikuthu	008_Positive
kaata	008_Positive
arr	008_Positive
supper	008_Positive
pogala	008_Positive
nal	008_Positive
maasu	008_Positive
leavel	008_Positive
katradhukaga	008_Positive
correct	008_Positive
thalaiya	008_Positive
soo	008_Positive
songs	008_Positive
pothum	008_Positive
pannum	008_Positive
pakkum	008_Positive
ooda	008_Positive
nadakum	008_Positive
minutes	008_Positive
lv	008_Positive
innu	008_Positive
ellaarum	008_Positive
thevidiya	008_Negative
44k	007_unknown_state
mai	007_not-Tamil
hogi	007_not-Tamil
koi	007_not-Tamil
kiya	007_not-Tamil
yaralayum	007_Positive
wat	007_Positive
umma	007_Positive
thirunelveli	007_Positive
supar	007_Positive
shivaji	007_Positive
rathangale	007_Positive
panday	007_Positive
original	007_Positive
minja	007_Positive
kajal	007_Positive
ipa	007_Positive
getha	007_Positive
excellent	007_Positive
aarambam	007_Positive
adha	007_Positive
why	007_Positive
sun	007_Positive
do	007_Positive
thanda	007_Positive
ithuku	007_Positive
podhu	007_Positive
let	007_Positive
act	007_Positive
oo	007_Positive
adei	007_Positive
avanga	007_Positive
mask	007_Positive
atha	007_Positive
pakkam	007_Positive
evanum	007_Positive
tamilnadu	007_Positive
athigama	007_Positive
enpt	007_Positive
naala	007_Positive
jan	007_Positive
paiyan	007_Positive
mudila	007_Positive
way	007_Positive
note	007_Positive
eduka	007_Positive
moonji	007_Positive
kandula	007_Positive
yaarum	007_Positive
ean	007_Positive
dan	007_Positive
polaye	007_Positive
aachu	007_Positive
vidu	007_Positive
namakku	007_Positive
paathavanga	007_Positive
40	007_Positive
fulla	007_Positive
andra	007_Positive
nawazuddin	007_Positive
48	007_Positive
number	007_Positive
word	007_Positive
means	007_Positive
punch	007_Positive
sa	007_Positive
nawaz	007_Positive
stop	007_Positive
break	007_Positive
yo	007_Positive
rendu	007_Positive
second	007_Positive
varusam	007_Positive
panra	007_Positive
erukum	007_Positive
woow	007_Positive
sambavatha	007_Positive
vaati	007_Positive
too	007_Positive
pride	007_Positive
pala	007_Positive
nadakavum	007_Positive
enn	007_Positive
bang	007_Positive
update	007_Positive
srilanka	007_Positive
aparam	007_Positive
review	007_Positive
hrs	007_Positive
him	007_Positive
pakkanum	007_Positive
oscar	007_Positive
ithukku	007_Positive
vintage	007_Positive
2nd	007_Positive
irku	007_Positive
give	007_Positive
cross	007_Positive
saapda	007_Positive
ela	007_Positive
subbaraj	007_Positive
05	007_Positive
some	007_Positive
nailed	007_Positive
latest	007_Positive
thatti	007_Positive
ohh	007_Positive
luck	007_Positive
yana	007_Positive
udane	007_Positive
tralier	007_Positive
talaivar	007_Positive
parthavanga	007_Positive
nadippu	007_Positive
marupadiyum	007_Positive
kasu	007_Positive
irumugan	007_Positive
irukkaru	007_Positive
epudi	007_Positive
biggest	007_Positive
poran	007_Positive
making	007_Positive
kala	007_Positive
engalukku	007_Positive
blood	007_Positive
45	007_Positive
yeppa	007_Positive
yena	007_Positive
vishwasam	007_Positive
veara	007_Positive
uyir	007_Positive
speed	007_Positive
sollava	007_Positive
padutha	007_Positive
padayappa	007_Positive
laval	007_Positive
katurathukaga	007_Positive
enrum	007_Positive
dark	007_Positive
adchi	007_Positive
vachi	007_Negative
mairu	007_Negative
slow	007_Negative
rekka	007_Mixed_feelings
mein	006_not-Tamil
gya	006_not-Tamil
language	006_not-Tamil
yr	006_not-Tamil
kis	006_not-Tamil
kar	006_not-Tamil
aayegi	006_not-Tamil
kene	006_not-Tamil
yash	006_Positive
yaarlam	006_Positive
vegam	006_Positive
varavanga	006_Positive
vaanganum	006_Positive
tik	006_Positive
theri	006_Positive
thanush	006_Positive
suthum	006_Positive
solrathukune	006_Positive
sollum	006_Positive
slang	006_Positive
simple	006_Positive
samma	006_Positive
said	006_Positive
poraru	006_Positive
pepper	006_Positive
parrak	006_Positive
pahh	006_Positive
niriya	006_Positive
nerkondapaarvai	006_Positive
naturally	006_Positive
must	006_Positive
musical	006_Positive
lyk	006_Positive
lot	006_Positive
kidaiyathu	006_Positive
kadu	006_Positive
job	006_Positive
irukkanum	006_Positive
guy	006_Positive
gang	006_Positive
finally	006_Positive
erukkum	006_Positive
ennanu	006_Positive
club	006_Positive
angali	006_Positive
aattatha	006_Positive
467k	006_Positive
daw	006_Positive
otha	006_Positive
trailar	006_Positive
unaku	006_Positive
anga	006_Positive
bayama	006_Positive
agum	006_Positive
doubt	006_Positive
500	006_Positive
year	006_Positive
irukkan	006_Positive
sentiment	006_Positive
poidu	006_Positive
laam	006_Positive
visuvasam	006_Positive
tan	006_Positive
koodadhu	006_Positive
kum	006_Positive
ve	006_Positive
nega	006_Positive
19	006_Positive
shot	006_Positive
book	006_Positive
akki	006_Positive
vitu	006_Positive
solren	006_Positive
inimae	006_Positive
etha	006_Positive
ticket	006_Positive
nanba	006_Positive
oodi	006_Positive
nadika	006_Positive
engaluku	006_Positive
payan	006_Positive
mokkaya	006_Positive
rangers	006_Positive
vechi	006_Positive
paravala	006_Positive
irukuu	006_Positive
avengers	006_Positive
range	006_Positive
16	006_Positive
saavanum	006_Positive
amitabh	006_Positive
vayase	006_Positive
paathuttu	006_Positive
nera	006_Positive
56	006_Positive
keka	006_Positive
2k	006_Positive
irukom	006_Positive
apa	006_Positive
south	006_Positive
bat	006_Positive
damn	006_Positive
solli	006_Positive
pudicha	006_Positive
parakk	006_Positive
favorite	006_Positive
alluthu	006_Positive
veera	006_Positive
underwear	006_Positive
tamilan	006_Positive
mersal	006_Positive
irunthalum	006_Positive
theriyum	006_Positive
pathinga	006_Positive
kai	006_Positive
background	006_Positive
saaho	006_Positive
perfect	006_Positive
made	006_Positive
therium	006_Positive
suma	006_Positive
right	006_Positive
pakura	006_Positive
out	006_Positive
apparam	006_Positive
aniruth	006_Positive
singapore	006_Positive
people	006_Positive
semme	006_Positive
thooku	006_Positive
sollitu	006_Positive
rompa	006_Positive
kadaisi	006_Positive
unmaiyana	006_Positive
sirappaana	006_Positive
sarbaga	006_Positive
pudichavanga	006_Positive
mudiyum	006_Positive
47	006_Positive
speech	006_Positive
frm	006_Positive
manasu	006_Positive
adutha	006_Positive
achu	006_Positive
aaguthu	006_Positive
sooper	006_Positive
possible	006_Positive
oruthavanga	006_Positive
ninga	006_Positive
move	006_Positive
mattu	006_Positive
epa	006_Positive
congrats	006_Positive
23	006_Positive
welcome	006_Positive
hour	006_Positive
attitude	006_Positive
gandu	006_Positive
already	006_Positive
yum	006_Positive
veralevel	006_Positive
summava	006_Positive
stylum	006_Positive
sahoo	006_Positive
pogudhu	006_Positive
pawan	006_Positive
pande	006_Positive
paarka	006_Positive
nereya	006_Positive
nandri	006_Positive
ennum	006_Positive
ennaa	006_Positive
apdilam	006_Positive
abirami	006_Positive
aagudhu	006_Positive
aadukalam	006_Positive
vaanga	006_Positive
pathuten	006_Positive
palaya	006_Positive
orutharu	006_Positive
off	006_Positive
munnadiye	006_Positive
kammi	006_Positive
gonna	006_Positive
done	006_Positive
63	006_Positive
vanthathu	006_Positive
thonuthu	006_Positive
tharu	006_Positive
smart	006_Positive
kudadhu	006_Positive
innorthara	006_Positive
eruka	006_Positive
33	006_Positive
malayalam	006_Negative
paru	006_Negative
ratham	006_Negative
dubbing	006_Negative
anils	006_Negative
ennangada	006_Negative
kakki	006_Negative
madhri	006_Negative
game	006_Negative
kevalama	006_Negative
mavan	006_Negative
sotta	006_Negative
marvel	006_Mixed_feelings
motion	005_unknown_state
audience	005_unknown_state
poster	005_unknown_state
double	005_unknown_state
acha	005_not-Tamil
plzz	005_not-Tamil
diya	005_not-Tamil
liye	005_not-Tamil
yeh	005_not-Tamil
