katta waiting	105_Positive
rekshem illa	004_Positive
pwoli trailer	004_Positive
pullu giri	004_Positive
ponno oru	004_Positive
oru rekshem	004_Positive
onnum parayanillaa	004_Positive
nte ponno	004_Positive
nalla movie	004_Positive
mass katta	004_Positive
mass bgm	004_Positive
marana maass	004_Positive
love uu	004_Positive
level mass	004_Positive
level aanu	004_Positive
lalettan polichu	004_Positive
kidu look	004_Positive
katta katta	004_Positive
june 16	004_Positive
ithu pwolikkum	004_Positive
ithu polikkum	004_Positive
hit aavatte	004_Positive
heavy mass	004_Positive
from an	004_Positive
fansinte vaka	004_Positive
enna oru	004_Positive
ejjathi item	004_Positive
ee prayathilum	004_Positive
adaar trailer	004_Positive
katta ikka	004_Positive
come on	004_Positive
trailer il	004_Positive
padam kanan	004_Positive
fans show	004_Positive
100 kodi	004_Positive
katta ettan	004_Positive
my god	004_Positive
good movie	004_Positive
mass ka	004_Positive
oru film	004_Positive
super trailer	004_Positive
vaka oru	004_Positive
trailer polichu	004_Positive
ith pwolikkum	004_Positive
ikka vere	004_Positive
fan but	004_Positive
enn urappullavar	004_Positive
100 crore	004_Positive
trailer kidu	004_Positive
e trailer	004_Positive
so much	004_Positive
mode on	004_Positive
full support	004_Positive
for odiyan	004_Positive
but trailer	004_Positive
mass ennu	004_Positive
trailer mass	004_Positive
trailer kalakki	004_Positive
pole oru	004_Positive
oru cinema	004_Positive
padam 8	004_Negative
mood poyi	004_Negative
dislike adiche	004_Negative
dislike adichavar	004_Negative
dislike adich	004_Negative
3k dislike	004_Negative
murali gopi	004_Mixed_feelings
pole undallo	004_Mixed_feelings
you tube	003_unknown_state
wait cheyyunnavar	003_unknown_state
villain tovino	003_unknown_state
video song	003_unknown_state
vannavar arokke	003_unknown_state
vannavar aarokke	003_unknown_state
undel like	003_unknown_state
ullu ninte	003_unknown_state
trailer kandathinu	003_unknown_state
tovino fans	003_unknown_state
time views	003_unknown_state
thonunnavar like	003_unknown_state
thonnunnavar like	003_unknown_state
thonnunavar like	003_unknown_state
stuck aayi	003_unknown_state
prithviraj alle	003_unknown_state
orma vannavar	003_unknown_state
orma vannath	003_unknown_state
ninte japan	003_unknown_state
negative role	003_unknown_state
million cross	003_unknown_state
mathram ano	003_unknown_state
like chey	003_unknown_state
like adikkanulla	003_unknown_state
like adichee	003_unknown_state
lalletan fans	003_unknown_state
ivide vannavar	003_unknown_state
il prithviraj	003_unknown_state
hang aayi	003_unknown_state
freezer il	003_unknown_state
fans undo	003_unknown_state
fans undel	003_unknown_state
fan show	003_unknown_state
evide vannavar	003_unknown_state
cinema kandit	003_unknown_state
character poster	003_unknown_state
bilal john	003_unknown_state
avan varum	003_unknown_state
aayi ennu	003_unknown_state
a m	003_unknown_state
300 cr	003_unknown_state
10 m	003_unknown_state
m a	003_unknown_state
17k views	003_unknown_state
m views	003_unknown_state
padam kand	003_unknown_state
oru maha	003_unknown_state
onnil kooduthal	003_unknown_state
16 k	003_unknown_state
kandavar ivide	003_unknown_state
arokke und	003_unknown_state
10 million	003_unknown_state
mammokka fans	003_unknown_state
veera raja	003_unknown_state
madhura veera	003_unknown_state
fans comment	003_unknown_state
channel subscribe	003_unknown_state
4 million	003_unknown_state
vannavar ethra	003_unknown_state
urapullavar like	003_unknown_state
thanne vendi	003_unknown_state
nu vendi	003_unknown_state
like adikkam	003_unknown_state
kannan vannavar	003_unknown_state
kandavar adi	003_unknown_state
fans come	003_unknown_state
enne pole	003_unknown_state
cinema kand	003_unknown_state
avatharam thanne	003_unknown_state
adi oru	003_unknown_state
aakum ennu	003_unknown_state
guest role	003_unknown_state
fight scene	003_unknown_state
oru dialogue	003_unknown_state
subscribers ulla	003_unknown_state
oru cake	003_unknown_state
matram ano	003_unknown_state
madhuraraja trailer	003_unknown_state
film orma	003_unknown_state
arjun reddy	003_unknown_state
you mammookka	003_not-malayalam
y y	003_not-malayalam
we are	003_not-malayalam
views lalettan	003_not-malayalam
tamil fans	003_not-malayalam
suriya fans	003_not-malayalam
superb movie	003_not-malayalam
sir fan	003_not-malayalam
pls pls	003_not-malayalam
one name	003_not-malayalam
of malayalam	003_not-malayalam
next blockbuster	003_not-malayalam
nadu fans	003_not-malayalam
mammooty sir	003_not-malayalam
lal fan	003_not-malayalam
king always	003_not-malayalam
iam from	003_not-malayalam
hard mohanlal	003_not-malayalam
happy happy	003_not-malayalam
from telangana	003_not-malayalam
from hyderabad	003_not-malayalam
for kaappaan	003_not-malayalam
fans karnataka	003_not-malayalam
ever seen	003_not-malayalam
d boss	003_not-malayalam
d best	003_not-malayalam
birthday to	003_not-malayalam
any tamil	003_not-malayalam
and again	003_not-malayalam
again and	003_not-malayalam
200k likes	003_not-malayalam
100k likes	003_not-malayalam
1 on	003_not-malayalam
trending no	003_not-malayalam
mega star	003_not-malayalam
to be	003_not-malayalam
prithviraj fans	003_not-malayalam
face of	003_not-malayalam
age is	003_not-malayalam
is back	003_not-malayalam
192k views	003_not-malayalam
it s	003_not-malayalam
look like	003_not-malayalam
fans and	003_not-malayalam
always a	003_not-malayalam
2 million	003_not-malayalam
wishes from	003_not-malayalam
to see	003_not-malayalam
the king	003_not-malayalam
super duper	003_not-malayalam
one and	003_not-malayalam
lalettan is	003_not-malayalam
from tamil	003_not-malayalam
birthday mammookka	003_not-malayalam
be an	003_not-malayalam
and only	003_not-malayalam
always king	003_not-malayalam
all d	003_not-malayalam
for the	003_not-malayalam
you ikkaa	003_Positive
you ikka	003_Positive
yente ponnu	003_Positive
waiting aanu	003_Positive
verey level	003_Positive
vendi katta	003_Positive
uff vere	003_Positive
uff oru	003_Positive
uff ejjathi	003_Positive
u so	003_Positive
trailer pwolichu	003_Positive
trailer lalettan	003_Positive
trailer laletta	003_Positive
trailer ikka	003_Positive
trailer by	003_Positive
tovinoo tovinoo	003_Positive
tovino mass	003_Positive
thavana kandu	003_Positive
soubin ikka	003_Positive
rekshayum illaa	003_Positive
powli trailer	003_Positive
polichu ikka	003_Positive
polich ikkaa	003_Positive
pinnem pinnem	003_Positive
padam kidu	003_Positive
otta peru	003_Positive
oru rakshyum	003_Positive
oru kgf	003_Positive
oru family	003_Positive
onnum parayaanilla	003_Positive
onnum parayaan	003_Positive
ningal mass	003_Positive
nigal vere	003_Positive
nammude lalettan	003_Positive
nalla trailer	003_Positive
movie super	003_Positive
mikacha trailer	003_Positive
mass marana	003_Positive
mass kola	003_Positive
mass entertainer	003_Positive
mass class	003_Positive
mass anu	003_Positive
mass alle	003_Positive
mass aanu	003_Positive
mammukka ishttam	003_Positive
mammookka uff	003_Positive
look and	003_Positive
long live	003_Positive
level trailer	003_Positive
level aah	003_Positive
lalettan prithvi	003_Positive
lalettan mass	003_Positive
laletta ningal	003_Positive
laletta ingal	003_Positive
kolli item	003_Positive
kolla mass	003_Positive
kola kolli	003_Positive
kidu padam	003_Positive
kidu item	003_Positive
kattaa waiting	003_Positive
jayasurya mass	003_Positive
ithu kidukkum	003_Positive
item lalettan	003_Positive
item ikka	003_Positive
ippo oru	003_Positive
ingalu muthaanu	003_Positive
ingal vere	003_Positive
indian cinimayil	003_Positive
indian cinima	003_Positive
illa marana	003_Positive
illa katta	003_Positive
illa ikka	003_Positive
il kaanan	003_Positive
ikka pwolikkum	003_Positive
ikka ethu	003_Positive
heavy item	003_Positive
film industry	003_Positive
fansinte ella	003_Positive
fana but	003_Positive
fan ann	003_Positive
ettan mass	003_Positive
etta ningal	003_Positive
ethra thavana	003_Positive
ente laletta	003_Positive
ella supportum	003_Positive
cinema yude	003_Positive
by katta	003_Positive
but ithu	003_Positive
bgm uff	003_Positive
athukum mele	003_Positive
anu makkale	003_Positive
annum ennum	003_Positive
angu eduthu	003_Positive
alla kola	003_Positive
adi poli	003_Positive
aanu makkale	003_Positive
aanu ikka	003_Positive
aa oru	003_Positive
trailer kand	003_Positive
ikka ishtam	003_Positive
hit akum	003_Positive
ee film	003_Positive
nalla cinema	003_Positive
first day	003_Positive
this movie	003_Positive
super super	003_Positive
king of	003_Positive
for lucifer	003_Positive
nov 21	003_Positive
padam polikkum	003_Positive
vineeth sreenivasan	003_Positive
u laletta	003_Positive
trailer bgm	003_Positive
no raksha	003_Positive
njan lalettan	003_Positive
njan kandu	003_Positive
maathram aano	003_Positive
lalettan ishtam	003_Positive
katta wait	003_Positive
ikka katta	003_Positive
hit aakum	003_Positive
aa last	003_Positive
lalettan rajuettan	003_Positive
tripple strong	003_Positive
sunny chechiye	003_Positive
fans nte	003_Positive
trailer pole	003_Positive
lalettan oru	003_Positive
akum enn	003_Positive
we r	003_Positive
u r	003_Positive
repeat mode	003_Positive
proud to	003_Positive
oh my	003_Positive
marana maas	003_Positive
malayalam film	003_Positive
ikka and	003_Positive
all best	003_Positive
abrahaminte santhathikal	003_Positive
a10 fan	003_Positive
oru tamil	003_Positive
kidu mass	003_Positive
hollywood level	003_Positive
dislike adikaan	003_Positive
oru nalla	003_Positive
ithu vere	003_Positive
heavy trailer	003_Positive
background music	003_Positive
aanu but	003_Positive
oombiya padam	003_Negative
oola trailer	003_Negative
oola padam	003_Negative
naduviral namaskaaram	003_Negative
nadu viral	003_Negative
kuru potti	003_Negative
ee oola	003_Negative
dislike adikkunnavar	003_Negative
dislike adichavarkk	003_Negative
aa dislike	003_Negative
dislike adichu	003_Negative
padam pottum	003_Negative
kandam vazhi	003_Negative
vendi mathram	003_Negative
ente vaka	003_Negative
kollam pakshe	003_Mixed_feelings
oru pulimurugan	003_Mixed_feelings
onnum alla	003_Mixed_feelings
telugu padam	003_Mixed_feelings
pakshe padam	003_Mixed_feelings
yudham nanmayum	002_unknown_state
youtube veendum	002_unknown_state
youtube nde	002_unknown_state
watch orevidhi	002_unknown_state
wait cheyunnavar	002_unknown_state
vivarom illa	002_unknown_state
vineeth aano	002_unknown_state
views likes	002_unknown_state
views but	002_unknown_state
views 462k	002_unknown_state
viewers aayi	002_unknown_state
venaayirunnu enna	002_unknown_state
veendum kanunnavar	002_unknown_state
veendum kaanunnavar	002_unknown_state
vannu trailer	002_unknown_state
vannavar undoo	002_unknown_state
vannath enikk	002_unknown_state
vandi wait	002_unknown_state
vanavar like	002_unknown_state
v s	002_unknown_state
us the	002_unknown_state
undengil adi	002_unknown_state
undel ivide	002_unknown_state
undayum illa	002_unknown_state
unda kaanan	002_unknown_state
ullu lucifer	002_unknown_state
ulla comment	002_unknown_state
u agree	002_unknown_state
tube hang	002_unknown_state
trill adichu	002_unknown_state
trailor kandit	002_unknown_state
trailer slow	002_unknown_state
trailer like	002_unknown_state
trailer kaanaan	002_unknown_state
trailer 5	002_unknown_state
trailer 2	002_unknown_state
thug life	002_unknown_state
thavana kandavar	002_unknown_state
that bastard	002_unknown_state
teser irangitt	002_unknown_state
telugu padathinte	002_unknown_state
suresh krishna	002_unknown_state
subscribe cheyyuka	002_unknown_state
subscribe cheyyu	002_unknown_state
su gu	002_unknown_state
strong kkaar	002_unknown_state
shesham ivide	002_unknown_state
shanente fans	002_unknown_state
shane nigam	002_unknown_state
second part	002_unknown_state
saadhikunnu uvve	002_unknown_state
real time	002_unknown_state
ramdas enna	002_unknown_state
raja yil	002_unknown_state
pwollichu pwollichu	002_unknown_state
promo kand	002_unknown_state
prithviraj undennu	002_unknown_state
prithviraj ne	002_unknown_state
power kanichu	002_unknown_state
poli ikka	002_unknown_state
perumbavor undaya	002_unknown_state
pere ullu	002_unknown_state
parayunavar like	002_unknown_state
padicha school	002_unknown_state
padam release	002_unknown_state
oru vivarom	002_unknown_state
oru pere	002_unknown_state
oru koottam	002_unknown_state
oru english	002_unknown_state
oru andiyum	002_unknown_state
ormavannavar like	002_unknown_state
orevidhi malayalam	002_unknown_state
oppam shane	002_unknown_state
onnu subscribe	002_unknown_state
only for	002_unknown_state
okke kanditt	002_unknown_state
okke evideyanavo	002_unknown_state
of caribian	002_unknown_state
odiyan odi	002_unknown_state
odi odiyan	002_unknown_state
odi odi	002_unknown_state
oberoi kku	002_unknown_state
nu like	002_unknown_state
njan matramanoo	002_unknown_state
nikkunnath prithviraj	002_unknown_state
nigam venaayirunnu	002_unknown_state
nganatha ora	002_unknown_state
nerkkuner illathakkan	002_unknown_state
nanmayum nanmayum	002_unknown_state
naalu bengalikal	002_unknown_state
muvattupuzha kaar	002_unknown_state
munpu trailer	002_unknown_state
mone paranj	002_unknown_state
model schoolil	002_unknown_state
million ayo	002_unknown_state
manasilayavar like	002_unknown_state
manasil karuthiyavar	002_unknown_state
mammukka fans	002_unknown_state
malayalam shortfilm	002_unknown_state
mahesh narayanan	002_unknown_state
macha like	002_unknown_state
lucifer trailor	002_unknown_state
lucifer fans	002_unknown_state
lucifer 100	002_unknown_state
look 100	002_unknown_state
likes here	002_unknown_state
like adikkeda	002_unknown_state
like adikam	002_unknown_state
lift il	002_unknown_state
laletan fans	002_unknown_state
laalettan fan	002_unknown_state
kuduthal kandavar	002_unknown_state
kku sound	002_unknown_state
kkaar okke	002_unknown_state
kill that	002_unknown_state
kanunnavar like	002_unknown_state
kanunavar like	002_unknown_state
kanichu kodukk	002_unknown_state
kandu nokku	002_unknown_state
kanditt ivida	002_unknown_state
kanditt engane	002_unknown_state
kandit trailer	002_unknown_state
kandavarkku like	002_unknown_state
kandavarkk like	002_unknown_state
kanda orma	002_unknown_state
kand nokku	002_unknown_state
kand kazhinjitt	002_unknown_state
kand ivide	002_unknown_state
kanan wait	002_unknown_state
kanan vannavarundoo	002_unknown_state
kaanan wait	002_unknown_state
kaanan vendi	002_unknown_state
kaanaan vannavar	002_unknown_state
ivida vannavar	002_unknown_state
ithu kandappol	002_unknown_state
ithipo kadha	002_unknown_state
ithinakaal adipoliyaayirikum	002_unknown_state
ith okke	002_unknown_state
ishtamayavar like	002_unknown_state
ishtam ikka	002_unknown_state
irikkunavar like	002_unknown_state
ini idikkano	002_unknown_state
ille ee	002_unknown_state
illathakkan oru	002_unknown_state
il release	002_unknown_state
ikka like	002_unknown_state
idi movie	002_unknown_state
ibilis ennu	002_unknown_state
friendship day	002_unknown_state
first look	002_unknown_state
fdfs arokke	002_unknown_state
fansinte power	002_unknown_state
fans ivide	002_unknown_state
fans ellarum	002_unknown_state
f e	002_unknown_state
evideyanavo entho	002_unknown_state
ethra viewers	002_unknown_state
ethra peru	002_unknown_state
ennu thonnunavar	002_unknown_state
ennu thonniyavar	002_unknown_state
ennariyilla pakshe	002_unknown_state
enna ithinakaal	002_unknown_state
enna friendship	002_unknown_state
enn parayunnavar	002_unknown_state
enn nokan	002_unknown_state
enn nokaan	002_unknown_state
ellarum like	002_unknown_state
ekka madhura	002_unknown_state
dislike adikkaan	002_unknown_state
dislike adichavarokke	002_unknown_state
cross cheyyum	002_unknown_state
cr adikkum	002_unknown_state
christ nagar	002_unknown_state
cheyyu like	002_unknown_state
cheyunnavar like	002_unknown_state
cheriya pulli	002_unknown_state
chechi fans	002_unknown_state
channel aanu	002_unknown_state
button adich	002_unknown_state
babynet oppam	002_unknown_state
ayo views	002_unknown_state
ayo ennu	002_unknown_state
avane nerkkuner	002_unknown_state
antony perumbavor	002_unknown_state
annan fans	002_unknown_state
andiyum illa	002_unknown_state
and comment	002_unknown_state
agrahikkunnavar like	002_unknown_state
adipoliyaayirikum shanente	002_unknown_state
adikkanulla sthalam	002_unknown_state
adikkaan saadhikunnu	002_unknown_state
adikk makkale	002_unknown_state
adichavarokke ith	002_unknown_state
abraham qureshi	002_unknown_state
aarelum undo	002_unknown_state
aa like	002_unknown_state
aa filmil	002_unknown_state
a10 nte	002_unknown_state
a10 a10	002_unknown_state
a raja	002_unknown_state
9m views	002_unknown_state
5 m	002_unknown_state
5 il	002_unknown_state
4million views	002_unknown_state
4 m	002_unknown_state
35 il	002_unknown_state
34 il	002_unknown_state
30 varshathe	002_unknown_state
22k views	002_unknown_state
21 nu	002_unknown_state
200 kodi	002_unknown_state
2 05	002_unknown_state
1st day	002_unknown_state
17k view	002_unknown_state
172 k	002_unknown_state
150 cr	002_unknown_state
15 minutes	002_unknown_state
100 100	002_unknown_state
1 year	002_unknown_state
1 day	002_unknown_state
0 21	002_unknown_state
megastar fans	002_unknown_state
and ikka	002_unknown_state
am a	002_unknown_state
release date	002_unknown_state
trailer veendum	002_unknown_state
trailer kandittu	002_unknown_state
njan mathramano	002_unknown_state
kanan vendi	002_unknown_state
illa oru	002_unknown_state
december 12	002_unknown_state
8 mani	002_unknown_state
trailer kandappo	002_unknown_state
pirates of	002_unknown_state
like adichavar	002_unknown_state
ennoru doubt	002_unknown_state
zayed masood	002_unknown_state
vyshak sir	002_unknown_state
views 300k	002_unknown_state
views 17k	002_unknown_state
like madhura	002_unknown_state
k view	002_unknown_state
e r	002_unknown_state
300k likes	002_unknown_state
3 million	002_unknown_state
16k views	002_unknown_state
u c	002_unknown_state
if u	002_unknown_state
i f	002_unknown_state
a n	002_unknown_state
oo odiyan	002_unknown_state
mammooka fans	002_unknown_state
lucifer mass	002_unknown_state
youtube adichu	002_unknown_state
veendum trailer	002_unknown_state
urappullavar adi	002_unknown_state
trailer last	002_unknown_state
trailer kande	002_unknown_state
tovino thomas	002_unknown_state
thrissur pooram	002_unknown_state
thanne aano	002_unknown_state
status video	002_unknown_state
raja pokkiri	002_unknown_state
prachi tehlan	002_unknown_state
parayendi varum	002_unknown_state
orapullavar like	002_unknown_state
onnil kuduthal	002_unknown_state
maha avatharam	002_unknown_state
like hear	002_unknown_state
like adikanulla	002_unknown_state
like adichittu	002_unknown_state
l u	002_unknown_state
kanunnavar undo	002_unknown_state
kanditt trailer	002_unknown_state
kand trailer	002_unknown_state
kaanaan vendi	002_unknown_state
fans oru	002_unknown_state
fan aya	002_unknown_state
ethra perund	002_unknown_state
ethra per	002_unknown_state
ente channel	002_unknown_state
ee video	002_unknown_state
ee traileril	002_unknown_state
ee item	002_unknown_state
double role	002_unknown_state
dileep ettan	002_unknown_state
cinema kandittu	002_unknown_state
c i	002_unknown_state
adutha 100	002_unknown_state
200 cr	002_unknown_state
10 30	002_unknown_state
trailer kanda	002_unknown_state
ethra kali	002_unknown_state
trailer kandapol	002_unknown_state
unda alla	002_unknown_state
trailer kanunna	002_unknown_state
oru nadan	002_unknown_state
mathram trailer	002_unknown_state
mammooty fans	002_unknown_state
kerala police	002_unknown_state
enik oru	002_unknown_state
engane dislike	002_unknown_state
cheyyum ennu	002_unknown_state
173k views	002_unknown_state
vere oru	002_unknown_state
trailer kandapo	002_unknown_state
theeravunnathe ullu	002_unknown_state
ittal theeravunnathe	002_unknown_state
hit aavum	002_unknown_state
yash fans	002_not-malayalam
yash boss	002_not-malayalam
watch this	002_not-malayalam
understand malayalam	002_not-malayalam
trending trending	002_not-malayalam
trending 2m	002_not-malayalam
tollywood bahubali	002_not-malayalam
to go	002_not-malayalam
the brave	002_not-malayalam
tha solluva	002_not-malayalam
telugu bahubali	002_not-malayalam
tamilnadu megastar	002_not-malayalam
tamilnadu i	002_not-malayalam
tamilnadu fan	002_not-malayalam
tamil pesuraru	002_not-malayalam
tamil la	002_not-malayalam
tamil fan	002_not-malayalam
tamil but	002_not-malayalam
tamil 2	002_not-malayalam
t understand	002_not-malayalam
t e	002_not-malayalam
superb love	002_not-malayalam
sudeep fans	002_not-malayalam
sub like	002_not-malayalam
still trending	002_not-malayalam
star yash	002_not-malayalam
sri lanka	002_not-malayalam
so sad	002_not-malayalam
sir getup	002_not-malayalam
sir fans	002_not-malayalam
sandalwood kgf	002_not-malayalam
s like	002_not-malayalam
s gonna	002_not-malayalam
rocking star	002_not-malayalam
pls dub	002_not-malayalam
people from	002_not-malayalam
pain history	002_not-malayalam
or lucifer	002_not-malayalam
open for	002_not-malayalam
online job	002_not-malayalam
once king	002_not-malayalam
of you	002_not-malayalam
of pain	002_not-malayalam
of mohanlal	002_not-malayalam
of hope	002_not-malayalam
of an	002_not-malayalam
odiyan is	002_not-malayalam
o sandalwood	002_not-malayalam
o m	002_not-malayalam
nailed it	002_not-malayalam
movie in	002_not-malayalam
movie h	002_not-malayalam
mollywood mamangam	002_not-malayalam
megastar mammooka	002_not-malayalam
mattum than	002_not-malayalam
mattum thaa	002_not-malayalam
mass i	002_not-malayalam
manoj k	002_not-malayalam
mamooty sir	002_not-malayalam
