vera level	623_Positive
karthik subburaj	014_Positive
to see	014_Positive
mass waiting	014_Positive
sir i	013_Positive
kaali oda	013_Positive
acting vera	013_Positive
neenga viswasam	013_Positive
la iruku	013_Positive
ku wait	013_Positive
niraiya niraiya	013_Positive
fan s	013_Positive
vj sethupathi	013_Positive
semma trailer	013_Positive
ippa enna	013_Positive
indha padam	013_Positive
hit likes	013_Positive
level movie	013_Positive
if you	013_Positive
sirappana tharamana	013_Positive
pathavanga like	013_Positive
padam hit	013_Positive
level thalaivaa	013_Positive
but thala	013_Positive
to be	013_Positive
mass marana	013_Positive
arjun sir	013_Positive
thalaivar padam	013_Positive
thala marana	013_Positive
ellam avan	013_Negative
ye movie	012_not-Tamil
vetri maaran	012_Positive
ner konda	012_Positive
money money	012_Positive
g v	012_Positive
dialogue vera	012_Positive
dhanush fans	012_Positive
avan seyal	012_Positive
innoruthara yen	012_Positive
karthi anna	012_Positive
padam vera	012_Positive
but i	012_Positive
nerya nerya	012_Positive
bigil trailer	012_Positive
anna vera	012_Positive
hindi movie	012_Positive
like if	012_Positive
ku oru	012_Positive
vetri maran	012_Positive
mass thalaivaa	012_Positive
va va	012_Positive
super trailer	012_Positive
this is	012_Positive
screen la	012_Positive
thalaivar mass	012_Positive
my god	012_Positive
trailer semma	012_Positive
style ah	012_Positive
mass na	012_Positive
likes reached	012_Positive
level nu	012_Positive
ena da	012_Negative
waiting thala	011_Positive
vikram anna	011_Positive
thala trailer	011_Positive
thala eppavume	011_Positive
thala acting	011_Positive
padipa mattum	011_Positive
nariya nariya	011_Positive
level sir	011_Positive
eppavume mass	011_Positive
dhanush sir	011_Positive
super hit	011_Positive
trailer ku	011_Positive
vijay anna	011_Positive
trailer nalla	011_Positive
sam cs	011_Positive
rajani sir	011_Positive
this movie	011_Positive
rajini fans	011_Positive
thalaivaa vera	011_Positive
sethupathi anna	011_Positive
u thalaivaa	011_Positive
mass than	011_Positive
star rajinikanth	011_Positive
anna fan	011_Positive
sk fans	011_Positive
dialogue semma	011_Positive
indian cinema	011_Positive
wishes from	011_Positive
sir super	011_Positive
super thalaiva	011_Positive
reached aairuku	011_Positive
mattum oru	011_Positive
yuvan music	011_Positive
thala va	011_Positive
thala sema	011_Positive
thala look	011_Positive
repeat mode	011_Positive
angaali pangaali	011_Positive
sethupathi fans	010_unknown_state
tau saya	010_not-Tamil
yuvan vera	010_Positive
very very	010_Positive
vere vere	010_Positive
varuma thala	010_Positive
varum nu	010_Positive
thalaivar marana	010_Positive
thalaiva marana	010_Positive
t h	010_Positive
sweet sapada	010_Positive
pora intha	010_Positive
nerkondapaarvaitrailer nerkondapaarvaitrailer	010_Positive
nee vera	010_Positive
marana maass	010_Positive
likes varanum	010_Positive
level dhanush	010_Positive
innum neraya	010_Positive
fans oru	010_Positive
ah therika	010_Positive
aasaa aasaa	010_Positive
selvan vijay	010_Positive
get rajinified	010_Positive
intha movie	010_Positive
movie pink	010_Positive
petta trailer	010_Positive
vanthavanga like	010_Positive
times ku	010_Positive
adichi thookalamaa	010_Positive
movie remake	010_Positive
naraiya naraiya	010_Positive
m views	010_Positive
only one	010_Positive
akshay sir	010_Positive
waiting la	010_Positive
movie ya	010_Positive
la vara	010_Positive
nalla irukku	010_Positive
you so	010_Positive
rajini is	010_Positive
mass super	010_Positive
you thalaivaa	010_Positive
veraa level	010_Positive
thala than	010_Positive
level ah	010_Positive
trending in	010_Positive
to 1	010_Positive
a l	010_Positive
10m views	010_Positive
mass thalaivar	010_Positive
in tamil	010_Positive
hollywood movie	010_Positive
no words	010_Positive
back to	010_Positive
ah irukkum	010_Positive
vaa thalaiva	010_Positive
thalaiva nee	010_Positive
mass bgm	010_Positive
to say	010_Positive
thala super	010_Positive
semma vera	010_Positive
semma thala	010_Positive
vera 11	009_Positive
star ajith	009_Positive
sema dialogue	009_Positive
pannunga thala	009_Positive
night kulla	009_Positive
mattum namma	009_Positive
manju warrier	009_Positive
level thalaivar	009_Positive
l a	009_Positive
king maker	009_Positive
big screen	009_Positive
arjun fans	009_Positive
ak ak	009_Positive
again again	009_Positive
800k likes	009_Positive
10 million	009_Positive
ah vida	009_Positive
m waiting	009_Positive
like this	009_Positive
can t	009_Positive
nerkonda parvai	009_Positive
nalla irukum	009_Positive
full ah	009_Positive
from andhra	009_Positive
telugu fans	009_Positive
like panuga	009_Positive
tamil nadu	009_Positive
movie trailer	009_Positive
irukum pola	009_Positive
soldravanga like	009_Positive
mavane kollama	009_Positive
level bgm	009_Positive
trailer super	009_Positive
mass love	009_Positive
inoruthara yen	009_Positive
is it	009_Positive
trailer marana	009_Positive
ah irukku	009_Positive
h a	009_Positive
katta waiting	009_Positive
trailer pathu	009_Positive
king arjun	009_Positive
thala is	009_Positive
likes ah	009_Positive
one and	009_Positive
best from	009_Positive
vikram fans	009_Positive
tharamana sambavangala	009_Positive
iam waiting	009_Positive
all time	009_Positive
asinga paduthiringa	009_Positive
thala semma	009_Positive
thala kola	009_Positive
semma thalaiva	009_Positive
massu maranam	009_Positive
iruku trailer	009_Positive
intha pongal	009_Positive
bgm mass	009_Positive
iron man	009_Negative
waiting thalaivaa	008_Positive
vikram fan	008_Positive
views varanum	008_Positive
vanthu trailer	008_Positive
thalaivar style	008_Positive
thalaivar pongal	008_Positive
thalaiva vera	008_Positive
thala thaan	008_Positive
thala pakka	008_Positive
thala movie	008_Positive
thagida thagida	008_Positive
thaaru maaru	008_Positive
star na	008_Positive
pangaali ellaam	008_Positive
paarvai trailer	008_Positive
milion views	008_Positive
m a	008_Positive
likes varum	008_Positive
level vera	008_Positive
level love	008_Positive
last line	008_Positive
ku marana	008_Positive
konda paarvai	008_Positive
intha kaali	008_Positive
innum vegama	008_Positive
indha kaali	008_Positive
for thala	008_Positive
fans and	008_Positive
ellaam oru	008_Positive
dialogue super	008_Positive
chiyaan anna	008_Positive
bgm king	008_Positive
ajith anna	008_Positive
part 2	008_Positive
maari iruku	008_Positive
lokesh kanagaraj	008_Positive
i think	008_Positive
nalla iruku	008_Positive
oru padam	008_Positive
10 times	008_Positive
viswasam katrathukaga	008_Positive
movie release	008_Positive
movie ka	008_Positive
on fire	008_Positive
thala ku	008_Positive
next level	008_Positive
level marana	008_Positive
poranthu varanum	008_Positive
to 2	008_Positive
likes in	008_Positive
than da	008_Positive
3 days	008_Positive
and akshay	008_Positive
thalaivaa marana	008_Positive
t wait	008_Positive
rajini padam	008_Positive
thala thalapathy	008_Positive
no 2	008_Positive
thank you	008_Positive
pongal petta	008_Positive
mass uh	008_Positive
maranam mass	008_Positive
1 m	008_Positive
level dialogue	008_Positive
ah podunga	008_Positive
sir u	008_Positive
and only	008_Positive
going to	008_Positive
sir mass	008_Positive
romba naal	008_Positive
panravanga like	008_Positive
la vera	008_Positive
irukku thala	008_Positive
hard fan	008_Positive
surya fan	008_Positive
last dialog	008_Positive
fans ku	008_Positive
views in	008_Positive
vetrimaran sir	008_Positive
u thalaa	008_Positive
trending 1	008_Positive
thalaiva love	008_Positive
thala tha	008_Positive
super ah	008_Positive
na mass	008_Positive
mela visvasam	008_Positive
lv u	008_Positive
like remake	008_Positive
anna semma	008_Positive
vada chennai	008_Negative
viswasam bgm	008_Negative
la varala	008_Mixed_feelings
innum trending	008_Mixed_feelings
thalaivar fans	007_unknown_state
lagi utk	007_not-Tamil
untuk tau	007_not-Tamil
kon kon	007_not-Tamil
you sir	007_Positive
what did	007_Positive
vera leavel	007_Positive
vaa vaa	007_Positive
u1 thala	007_Positive
trailer thala	007_Positive
therika vidunka	007_Positive
theater la	007_Positive
thalapathy vijay	007_Positive
thalaivar is	007_Positive
thala veriyans	007_Positive
thala rathangale	007_Positive
semma gethu	007_Positive
semma dialogue	007_Positive
rajini mass	007_Positive
pink trailer	007_Positive
parkura angaali	007_Positive
pakka vanthavanga	007_Positive
neraya thala	007_Positive
na summa	007_Positive
na ipdi	007_Positive
mass pongal	007_Positive
mass dhanush	007_Positive
manju chechi	007_Positive
likes for	007_Positive
la trending	007_Positive
kajal fans	007_Positive
is awesome	007_Positive
iruku thala	007_Positive
intha mari	007_Positive
innoruthara en	007_Positive
for nerkonda	007_Positive
fans subscribe	007_Positive
eduthu vainga	007_Positive
award ah	007_Positive
aug 10	007_Positive
20m views	007_Positive
diwali ku	007_Positive
mari iruku	007_Positive
don t	007_Positive
kola gandula	007_Positive
mathiri iruku	007_Positive
release pannunga	007_Positive
pangalingala adichi	007_Positive
hero va	007_Positive
last la	007_Positive
karthick subburaj	007_Positive
va thalaiva	007_Positive
trailer pathuttu	007_Positive
ka remake	007_Positive
theatre la	007_Positive
who is	007_Positive
2 million	007_Positive
vida maten	007_Positive
pakka pora	007_Positive
like thala	007_Positive
yar yar	007_Positive
rajini fan	007_Positive
mela pathavanga	007_Positive
is a	007_Positive
enna pa	007_Positive
wait panravanga	007_Positive
padam release	007_Positive
oru nalla	007_Positive
2 18	007_Positive
style king	007_Positive
for you	007_Positive
for petta	007_Positive
enna style	007_Positive
by thala	007_Positive
asinga paduthureenga	007_Positive
2m likes	007_Positive
nalla padam	007_Positive
enga da	007_Positive
wait panna	007_Positive
looking like	007_Positive
from thalapathy	007_Positive
thalapathi fan	007_Positive
andhra pradesh	007_Positive
and vijay	007_Positive
na like	007_Positive
sweet saapda	007_Positive
like and	007_Positive
ippo enna	007_Positive
am thalapathy	007_Positive
mass maranam	007_Positive
am vijay	007_Positive
best of	007_Positive
super i	007_Positive
semma super	007_Positive
thalaivaa semma	007_Positive
pakka porom	007_Positive
last scene	007_Positive
h vinoth	007_Positive
d best	007_Positive
august 8	007_Positive
all d	007_Positive
thalaivar vera	007_Positive
thalaivaa i	007_Positive
mass tha	007_Positive
dislike panna	007_Positive
we are	007_Positive
vainga da	007_Positive
u anna	007_Positive
thala dhan	007_Positive
thala and	007_Positive
sollava venum	007_Positive
podunga pa	007_Positive
my dear	007_Positive
mass gethu	007_Positive
maranam massu	007_Positive
m likes	007_Positive
look sema	007_Positive
likes to	007_Positive
late ah	007_Positive
in sri	007_Positive
from telugu	007_Positive
da vera	007_Positive
are waiting	007_Positive
anna super	007_Positive
ajith ku	007_Positive
1 37	007_Positive
video song	006_unknown_state
movie hindi	006_not-Tamil
me kab	006_not-Tamil
kene tunggu	006_not-Tamil
v prakash	006_Positive
u u	006_Positive
thalaivar super	006_Positive
thalaivaa nee	006_Positive
thalaiva i	006_Positive
thalaa mass	006_Positive
thala voice	006_Positive
thala un	006_Positive
thala rasigan	006_Positive
suthum parunga	006_Positive
superb thala	006_Positive
still trending	006_Positive
star thala	006_Positive
solrathukune oru	006_Positive
sari illa	006_Positive
s kids	006_Positive
r waiting	006_Positive
r great	006_Positive
petta parrak	006_Positive
pera valthukal	006_Positive
pangaaligala intha	006_Positive
pakka marana	006_Positive
padipa matum	006_Positive
paaka porom	006_Positive
oru gang	006_Positive
nu solrathukune	006_Positive
namma thala	006_Positive
nadaka kudathu	006_Positive
naa mass	006_Positive
movie i	006_Positive
marana kaatu	006_Positive
ku waiting	006_Positive
kadu iruntha	006_Positive
kaadu iruntha	006_Positive
ipdi neraya	006_Positive
in big	006_Positive
graphics sari	006_Positive
gang suthum	006_Positive
for kadaram	006_Positive
fans support	006_Positive
end dialogue	006_Positive
ellaarum oru	006_Positive
dialogue thala	006_Positive
dhanush vetrimaran	006_Positive
august 10	006_Positive
asuran movie	006_Positive
and yuvan	006_Positive
always thala	006_Positive
a hollywood	006_Positive
15 million	006_Positive
1 38	006_Positive
mattum than	006_Positive
but trailer	006_Positive
padam nalla	006_Positive
trailer eh	006_Positive
podu podu	006_Positive
from malaysia	006_Positive
sanda pottu	006_Positive
a like	006_Positive
power rangers	006_Positive
waiting to	006_Positive
fight scene	006_Positive
thalapathy veriyan	006_Positive
thala vaa	006_Positive
panna poram	006_Positive
ellam like	006_Positive
la oru	006_Positive
vijay sethupathy	006_Positive
fan da	006_Positive
cinema la	006_Positive
are you	006_Positive
100 times	006_Positive
1 36	006_Positive
ah illa	006_Positive
thalaivar petta	006_Positive
kumar fans	006_Positive
semaya iruku	006_Positive
kali oda	006_Positive
u thalaiva	006_Positive
movie vera	006_Positive
mass movie	006_Positive
level padam	006_Positive
get up	006_Positive
ar rahman	006_Positive
la thala	006_Positive
sir ku	006_Positive
ku like	006_Positive
iruku but	006_Positive
indha maari	006_Positive
views ah	006_Positive
thana pora	006_Positive
sir from	006_Positive
r a	006_Positive
panna mudiyala	006_Positive
mass sa	006_Positive
likes and	006_Positive
la like	006_Positive
kola gaandu	006_Positive
rajni fans	006_Positive
rajini kanth	006_Positive
wait pandravanga	006_Positive
of you	006_Positive
mass a	006_Positive
m from	006_Positive
la irukku	006_Positive
if u	006_Positive
bgm is	006_Positive
surya anna	006_Positive
first day	006_Positive
1 56	006_Positive
in hindi	006_Positive
ah podu	006_Positive
nailed it	006_Positive
rajinikanth sir	006_Positive
the like	006_Positive
thalaivar thalaivar	006_Positive
star dhanush	006_Positive
soldravanga mattum	006_Positive
sir is	006_Positive
shankar fans	006_Positive
sema super	006_Positive
romba nal	006_Positive
oru mass	006_Positive
mass petta	006_Positive
lam like	006_Positive
intha mathiri	006_Positive
illa nu	006_Positive
ethana per	006_Positive
dialog sema	006_Positive
dhan da	006_Positive
awesome trailer	006_Positive
and rajni	006_Positive
all thala	006_Positive
aairuku pangalingala	006_Positive
50 times	006_Positive
viswasam katradhukaga	006_Positive
star is	006_Positive
panna mudiyathu	006_Positive
no one	006_Positive
long time	006_Positive
la pakka	006_Positive
he is	006_Positive
hard fans	006_Positive
by thalapathy	006_Positive
2 00	006_Positive
you thalaiva	006_Positive
wow super	006_Positive
trailer mass	006_Positive
thank u	006_Positive
thalaiva neenga	006_Positive
thala ne	006_Positive
thala 60	006_Positive
tha vera	006_Positive
superstar rajinikanth	006_Positive
soldravanga oru	006_Positive
semmaya iruku	006_Positive
remake movie	006_Positive
orutharu mela	006_Positive
more than	006_Positive
mass yuvan	006_Positive
mass padam	006_Positive
mass aa	006_Positive
maranaa mass	006_Positive
last dance	006_Positive
kitta irunthu	006_Positive
iam vijay	006_Positive
hit movie	006_Positive
hindi pink	006_Positive
did you	006_Positive
control panna	006_Positive
bgm sema	006_Positive
back with	006_Positive
like kaithi	006_Negative
da trailer	006_Negative
come back	006_Mixed_feelings
views but	006_Mixed_feelings
darbar motion	005_unknown_state
motion poster	005_unknown_state
telugu lo	005_not-Tamil
yuvan mass	005_Positive
you say	005_Positive
wow thala	005_Positive
words to	005_Positive
well said	005_Positive
wat a	005_Positive
vittu pogala	005_Positive
views varum	005_Positive
vetrimaran dhanush	005_Positive
vegam paththaathu	005_Positive
un style	005_Positive
u ajith	005_Positive
trailer views	005_Positive
trailer thalaivaa	005_Positive
trailer parkura	005_Positive
trailer no	005_Positive
the mass	005_Positive
than pakka	005_Positive
than adichi	005_Positive
thalaivar na	005_Positive
thala oru	005_Positive
thala oda	005_Positive
thala neenga	005_Positive
thala dialogue	005_Positive
super semma	005_Positive
super one	005_Positive
super ji	005_Positive
summa va	005_Positive
style um	005_Positive
semma i	005_Positive
semaya irukku	005_Positive
sema vera	005_Positive
sambavam irukku	005_Positive
real life	005_Positive
rajni is	005_Positive
pudichavanga like	005_Positive
porom vera	005_Positive
petta petta	005_Positive
pathuttu erukinge	005_Positive
paththaathu innum	005_Positive
pakka pakka	005_Positive
paka mass	005_Positive
padam super	005_Positive
pa thala	005_Positive
only super	005_Positive
one super	005_Positive
on thala	005_Positive
of kollywood	005_Positive
nice nice	005_Positive
namba kitta	005_Positive
nala iruku	005_Positive
mela nenga	005_Positive
mattum tha	005_Positive
mass u1	005_Positive
mass u	005_Positive
mass pakka	005_Positive
mass irukku	005_Positive
mass ippo	005_Positive
lying lying	005_Positive
lvl thala	005_Positive
luv luv	005_Positive
likes varumnu	005_Positive
likes thala	005_Positive
like potutu	005_Positive
level semma	005_Positive
level gv	005_Positive
level from	005_Positive
la semma	005_Positive
kumar sir	005_Positive
kku wait	005_Positive
kasu iruntha	005_Positive
kandula iruken	005_Positive
ippo sollava	005_Positive
intha vegam	005_Positive
hero trailer	005_Positive
happy to	005_Positive
gandu la	005_Positive
from telangana	005_Positive
for nkp	005_Positive
fans karnataka	005_Positive
fans ellarum	005_Positive
fan na	005_Positive
enna venum	005_Positive
dialogue sema	005_Positive
dhanush vetrimaaran	005_Positive
dhanush and	005_Positive
da marana	005_Positive
chiyaan sir	005_Positive
but super	005_Positive
bgm yuvan	005_Positive
are great	005_Positive
adichi vanganum	005_Positive
90s rajini	005_Positive
2 trending	005_Positive
2 05	005_Positive
1 day	005_Positive
1 41	005_Positive
da idhu	005_Positive
ha ha	005_Positive
seyal movie	005_Positive
da ithu	005_Positive
kola gaandla	005_Positive
how many	005_Positive
in kannada	005_Positive
solravanga mattum	005_Positive
ka baap	005_Positive
super duper	005_Positive
tha mass	005_Positive
ennada ithu	005_Positive
is best	005_Positive
kola kandula	005_Positive
than mass	005_Positive
like pink	005_Positive
1 in	005_Positive
sambavam iruku	005_Positive
is like	005_Positive
is always	005_Positive
like petta	005_Positive
0 55	005_Positive
sanda potu	005_Positive
release panna	005_Positive
views and	005_Positive
teaser ku	005_Positive
movie in	005_Positive
a r	005_Positive
movie pakka	005_Positive
hindi version	005_Positive
movie super	005_Positive
trailer ra	005_Positive
tamil movie	005_Positive
padam trailer	005_Positive
man of	005_Positive
konda parvai	005_Positive
gandula iruken	005_Positive
dialogue la	005_Positive
is looking	005_Positive
blockbuster movie	005_Positive
oru vela	005_Positive
kola gaandula	005_Positive
ah irukum	005_Positive
full movie	005_Positive
level acting	005_Positive
bgm la	005_Positive
super mass	005_Positive
mass and	005_Positive
m vijay	005_Positive
leval thala	005_Positive
how is	005_Positive
hollywood range	005_Positive
hit aagum	005_Positive
for the	005_Positive
fans kerala	005_Positive
1m views	005_Positive
na thalapathy	005_Positive
trailer i	005_Positive
sir fan	005_Positive
trailer release	005_Positive
version 2	005_Positive
to all	005_Positive
thanks to	005_Positive
semaa mass	005_Positive
fan like	005_Positive
to reach	005_Positive
tharamaana sambavam	005_Positive
suriya anna	005_Positive
super rajini	005_Positive
star rajni	005_Positive
sethu anna	005_Positive
petta marana	005_Positive
padam semma	005_Positive
m big	005_Positive
kollama vidamaten	005_Positive
ivlo mass	005_Positive
i want	005_Positive
gaandu la	005_Positive
fans la	005_Positive
fans ah	005_Positive
0 47	005_Positive
coming soon	005_Positive
petta movie	005_Positive
pandravanga like	005_Positive
of rajni	005_Positive
movie hit	005_Positive
mavane kola	005_Positive
iruku waiting	005_Positive
first show	005_Positive
iruku padam	005_Positive
superstar rajni	005_Positive
sir waiting	005_Positive
oh my	005_Positive
karthik subbaraj	005_Positive
bgm semma	005_Positive
of luck	005_Positive
mass chiyaan	005_Positive
dialogue is	005_Positive
a style	005_Positive
am big	005_Positive
yuvan thala	005_Positive
yoda last	005_Positive
waiting petta	005_Positive
trailer na	005_Positive
trailer da	005_Positive
thalai ku	005_Positive
pawan kalyan	005_Positive
padam mass	005_Positive
pa trailer	005_Positive
of tamil	005_Positive
oda aatatha	005_Positive
nee mattum	005_Positive
matum like	005_Positive
la irunthu	005_Positive
kooda illa	005_Positive
fans lam	005_Positive
as a	005_Positive
and dhanush	005_Positive
1 18	005_Positive
video va	005_Positive
video ku	005_Positive
thalaivar ku	005_Positive
thala in	005_Positive
proud to	005_Positive
of indian	005_Positive
nee va	005_Positive
ne va	005_Positive
nadakathu nadaka	005_Positive
mass thaan	005_Positive
level i	005_Positive
la ye	005_Positive
in 2	005_Positive
trailer vara	005_Positive
this trailer	005_Positive
that bgm	005_Positive
thala u	005_Positive
superstar rajini	005_Positive
sir semma	005_Positive
semmaa mass	005_Positive
pink hindi	005_Positive
padam marana	005_Positive
of dhanush	005_Positive
neenga vera	005_Positive
na thala	005_Positive
movie thala	005_Positive
mela irukura	005_Positive
mass thalaa	005_Positive
mass intha	005_Positive
mass class	005_Positive
ipdi irukanum	005_Positive
in malaysia	005_Positive
better than	005_Positive
all fans	005_Positive
ajith padam	005_Positive
0 movie	005_Positive
0 43	005_Negative
is not	005_Negative
maari irukku	005_Negative
ratham kakki	005_Negative
bgm ah	005_Negative
siva anna	005_Mixed_feelings
mass but	005_Mixed_feelings
dialogue for	005_Mixed_feelings
k views	005_Mixed_feelings
be like	005_Mixed_feelings
put like	004_unknown_state
after darbar	004_unknown_state
in telugu	004_unknown_state
like potu	004_unknown_state
bigil ku	004_unknown_state
sam c	004_unknown_state
c s	004_unknown_state
bigil like	004_unknown_state
44k views	004_unknown_state
utk tahu	004_not-Tamil
nhi aaya	004_not-Tamil
nahi aaya	004_not-Tamil
me bhi	004_not-Tamil
ke baad	004_not-Tamil
rajnikant sir	004_not-Tamil
raha hai	004_not-Tamil
kab aayegi	004_not-Tamil
you kene	004_not-Tamil
sir ka	004_not-Tamil
hindi main	004_not-Tamil
yuvan fans	004_Positive
you virgin	004_Positive
you like	004_Positive
you anna	004_Positive
woww woww	004_Positive
woow woow	004_Positive
we r	004_Positive
waiting this	004_Positive
wait panni	004_Positive
viswasam katurathukaga	004_Positive
vijay twitter	004_Positive
views with	004_Positive
views soon	004_Positive
vetrimaran gv	004_Positive
very nice	004_Positive
verithanam overloaded	004_Positive
verithanam nu	004_Positive
vegama likes	004_Positive
veara level	004_Positive
vayasu analum	004_Positive
vara varaikum	004_Positive
vara vainga	004_Positive
vara dialogue	004_Positive
vanthalum latest	004_Positive
v a	004_Positive
ur great	004_Positive
unna vittu	004_Positive
unga style	004_Positive
u1 combo	004_Positive
u 1	004_Positive
twitter la	004_Positive
tvaivaal aa	004_Positive
trailer parkuravanga	004_Positive
trailer needs	004_Positive
trailer love	004_Positive
to pink	004_Positive
thirunelveli thala	004_Positive
tharamana padam	004_Positive
thaliva semma	004_Positive
thalaivar fan	004_Positive
thalaivaa vaa	004_Positive
thalaivaa pakka	004_Positive
thalaivaa love	004_Positive
thalaiva va	004_Positive
thalaiva super	004_Positive
thalaa marana	004_Positive
thala semaa	004_Positive
thala luv	004_Positive
thala last	004_Positive
thala gethu	004_Positive
thala for	004_Positive
thala fanz	004_Positive
thala combo	004_Positive
tamil remake	004_Positive
super thalaivaa	004_Positive
super marana	004_Positive
style samrat	004_Positive
