id	text	category	newtext	label
ta_sent_38	Ajith fans reaction  Kaithi movie director Next Thalapathy movie yoda director  Nalla irukunu sollalama ila mokkanu sollalama🤔🤔🤔  Billa pandi hitunu soli otikalam	Positive	ajith fans {Positive} fans reaction {XXX} reaction kaithi {XXX} kaithi movie {Negative} movie director {XXX} director next {XXX} next thalapathy {Positive} thalapathy movie {Positive} movie yoda {XXX} yoda director {XXX} director nalla {XXX} nalla irukunu {unknown_state} irukunu sollalama {XXX} sollalama ila {XXX} ila mokkanu {XXX} mokkanu sollalama {XXX} sollalama billa {XXX} billa pandi {Negative} pandi hitunu {XXX} hitunu soli {XXX} 	1
ta_sent_39	complete mass trailer Vera level pantanga	Positive	complete mass {XXX} mass trailer {Positive} trailer vera {Positive} vera level {Positive} 	1
ta_sent_40	Enna NKP theme song maari irruku	Negative	enna nkp {XXX} nkp theme {Negative} theme song {Negative} song maari {Negative} 	0
ta_sent_41	33k dislikes Hiphop aadhi na fans🤣	Positive	k dislikes {Positive} dislikes hiphop {XXX} hiphop aadhi {XXX} aadhi na {XXX} 	1
ta_sent_42	#Nerkondaparvai padam citizen,vidhi  padathirkku piragu oru arumayana  Court scene ah irukkumunnunnu  பட்சிசொல்லுது	Positive	nerkondaparvai padam {Positive} padam citizenvidhi {XXX} citizenvidhi padathirkku {XXX} padathirkku piragu {XXX} piragu oru {XXX} oru arumayana {XXX} arumayana court {XXX} court scene {Positive} scene ah {Positive} 	1
ta_sent_43	hindi me release nehi hogi ka	not-malayalam/tamil	hindi me {not-Tamil} me release {not-Tamil} release nehi {XXX} nehi hogi {XXX} 	4
ta_sent_44	Karthi sir ahhh puthusaaa pakara mathiri iruku	Positive	karthi sir {Negative} sir ahhh {XXX} ahhh puthusaaa {XXX} puthusaaa pakara {XXX} pakara mathiri {XXX} 	1
ta_sent_45	Marana mass karthi broo ninga vera level	Positive	marana mass {Positive} mass karthi {Positive} karthi broo {XXX} broo ninga {XXX} ninga vera {XXX} 	1
ta_sent_46	Ultimate star ajithkumar vera level thala	Positive	ultimate star {Positive} star ajithkumar {Positive} ajithkumar vera {Positive} vera level {Positive} 	1
ta_sent_47	Thalaivar Samma chance sea illa pa	Positive	thalaivar samma {XXX} samma chance {XXX} chance sea {XXX} sea illa {XXX} 	1
ta_sent_48	1:29...Sarkar. Ennana theriyela ellam padathalayum villain thookiye aavanuma?	Positive	sarkar ennana {XXX} ennana theriyela {XXX} theriyela ellam {XXX} ellam padathalayum {XXX} padathalayum villain {XXX} villain thookiye {XXX} 	1
ta_sent_49	Virgin pasanga ellam oru like ah podungo	Positive	virgin pasanga {XXX} pasanga ellam {Positive} ellam oru {unknown_state} oru like {Positive} like ah {Positive} 	1
ta_sent_50	Ulaga varalatru nayagan DHANUSH rasikan da	Positive	ulaga varalatru {XXX} varalatru nayagan {XXX} nayagan dhanush {XXX} dhanush rasikan {XXX} 	1
ta_sent_51	Manju  chechi  ...fans  like adi....	Positive	manju chechi {Positive} chechi fans {Positive} fans like {Positive} 	1
ta_sent_52	Dhanush anna super teejay anna veum super	Positive	dhanush anna {Positive} anna super {Positive} super teejay {XXX} teejay anna {Positive} anna veum {XXX} 	1
ta_sent_53	Padam vera level a irukum pola	Positive	padam vera {Positive} vera level {Positive} level a {Positive} a irukum {XXX} 	1
ta_sent_54	Thala lam oru allu punda  Poda pitta badu	Positive	thala lam {XXX} lam oru {Positive} oru allu {XXX} allu punda {XXX} punda poda {XXX} poda pitta {XXX} 	1
ta_sent_55	2 Million likes and views adikirom nu solra thala veriyargal like eh podunga	Positive	million likes {Positive} likes and {Positive} and views {Positive} views adikirom {XXX} adikirom nu {XXX} nu solra {Positive} solra thala {XXX} thala veriyargal {Mixed_feelings} veriyargal like {XXX} like eh {XXX} 	1
ta_sent_56	Climax dialog vera level ellam fans kum porunthum	Positive	climax dialog {XXX} dialog vera {XXX} vera level {Positive} level ellam {XXX} ellam fans {Positive} fans kum {Positive} 	1
ta_sent_57	30m view varunu solluravinga mattum likes podunga	Positive	m view {XXX} view varunu {XXX} varunu solluravinga {XXX} solluravinga mattum {XXX} mattum likes {XXX} 	1
ta_sent_58	unnam yaar yaar laam thoogama trailer paathutu irukinga like pannuga	Positive	unnam yaar {XXX} yaar yaar {Positive} yaar laam {XXX} laam thoogama {XXX} thoogama trailer {XXX} trailer paathutu {unknown_state} paathutu irukinga {XXX} irukinga like {XXX} 	1
ta_sent_59	Ameedap sir yellam thandi poitinga Thala mirattalana performance.	Positive	ameedap sir {XXX} sir yellam {XXX} yellam thandi {XXX} thandi poitinga {XXX} poitinga thala {XXX} thala mirattalana {XXX} 	1
ta_sent_60	Kaithi vera level Karthi anna Yepovamaa mass	Positive	kaithi vera {Positive} vera level {Positive} level karthi {Positive} karthi anna {Positive} anna yepovamaa {XXX} 	1
ta_sent_61	Arjun Sir Waiting Ungala Screen La Parkuradhukku Rmba Day Aprm HeroVa Pannirukkinga 🤗Vanga Sir Vanga	Positive	arjun sir {Positive} sir waiting {Positive} waiting ungala {XXX} ungala screen {Positive} screen la {Positive} la parkuradhukku {XXX} parkuradhukku rmba {XXX} rmba day {XXX} day aprm {XXX} aprm herova {XXX} herova pannirukkinga {XXX} pannirukkinga vanga {XXX} vanga sir {XXX} 	1
ta_sent_62	# Court la ippudillam kaththa kudathu Mr. vandu #Kaduppethurar my load	Positive	court la {Negative} la ippudillam {XXX} ippudillam kaththa {XXX} kaththa kudathu {unknown_state} kudathu mr {XXX} mr vandu {Negative} vandu kaduppethurar {XXX} kaduppethurar my {XXX} 	1
ta_sent_63	Trailer parthutu verii yethitu irukavaga like pannuga	Positive	trailer parthutu {unknown_state} parthutu verii {XXX} verii yethitu {XXX} yethitu irukavaga {XXX} irukavaga like {XXX} 	1
ta_sent_64	sathyama soldren adichii underware oda oda vittruven mannam pona tirumbi varadhu pongal paraak nanga than rajini than geathu	Positive	sathyama soldren {Positive} soldren adichii {XXX} adichii underware {XXX} underware oda {XXX} oda oda {Positive} oda vittruven {XXX} vittruven mannam {XXX} mannam pona {XXX} pona tirumbi {XXX} tirumbi varadhu {XXX} varadhu pongal {XXX} pongal paraak {Positive} paraak nanga {XXX} nanga than {XXX} than rajini {Positive} rajini than {XXX} 	1
ta_sent_65	Paka thana pora intha Kaali oda aatatha....	Positive	paka thana {Positive} thana pora {Positive} pora intha {Positive} intha kaali {Positive} kaali oda {Positive} 	1
ta_sent_66	Nee vaa...diwaliku unna meet panren...by bigil verithanamana veriyan	Positive	nee vaadiwaliku {XXX} vaadiwaliku unna {XXX} unna meet {XXX} meet panrenby {XXX} panrenby bigil {XXX} bigil verithanamana {XXX} 	1
ta_sent_67	Indha padatha copynu solli evanum case podalaya da	Positive	indha padatha {Positive} padatha copynu {XXX} copynu solli {XXX} solli evanum {XXX} evanum case {XXX} case podalaya {XXX} 	1
ta_sent_68	Vadachennai ku aprom oru come back pa	Positive	vadachennai ku {Positive} ku aprom {Positive} aprom oru {XXX} oru come {Mixed_feelings} come back {Mixed_feelings} 	1
ta_sent_69	Chiyan vikram fanse from kerala	Positive	chiyan vikram {Positive} vikram fanse {XXX} fanse from {XXX} 	1
ta_sent_70	Thalaivar eippavum mass than.. Sirapana pongal eruku.. Am waiting thailavaa.	Positive	thalaivar eippavum {XXX} eippavum mass {XXX} mass than {Positive} than sirapana {XXX} sirapana pongal {XXX} pongal eruku {XXX} eruku am {XXX} am waiting {Positive} 	1
ta_sent_71	O:12sec lifestyle logo in tamil..See  in hindi trailer no logo..	Positive	osec lifestyle {XXX} lifestyle logo {XXX} logo in {XXX} in tamilsee {XXX} tamilsee in {XXX} in hindi {Positive} hindi trailer {unknown_state} trailer no {Positive} 	1
ta_sent_72	Hit like for Vijay Mama Oombu fans  katharals	Positive	hit like {Positive} like for {Positive} for vijay {Positive} vijay mama {XXX} mama oombu {XXX} oombu fans {XXX} 	1
ta_sent_73	Trailer la Rajini illainu feel panravanga Like  Pannunga	Positive	trailer la {Positive} la rajini {Positive} rajini illainu {XXX} illainu feel {XXX} feel panravanga {XXX} panravanga like {Positive} 	1
ta_sent_74	Siva vera level transformation  intriguing trailer	Positive	siva vera {Mixed_feelings} vera level {Positive} level transformation {XXX} transformation intriguing {XXX} 	1
ta_sent_75	Dhanush intha padathula nadikkavae theriyala, vazhlthuru karuya	Positive	dhanush intha {XXX} intha padathula {Positive} padathula nadikkavae {XXX} nadikkavae theriyala {XXX} theriyala vazhlthuru {XXX} 	1
ta_sent_76	Athana haters um odi poidunga , illa adichi underwear oda vitruvom	Positive	athana haters {XXX} haters um {XXX} um odi {XXX} odi poidunga {Positive} poidunga illa {XXX} illa adichi {XXX} adichi underwear {Positive} underwear oda {Positive} 	1
ta_sent_77	Ayya rajini avargale arasiyal ungalukku vendam..	Positive	ayya rajini {XXX} rajini avargale {XXX} avargale arasiyal {XXX} arasiyal ungalukku {XXX} 	1
ta_sent_78	Siva va Rombha scene ah illama iruntha nalla irukkum	Positive	siva va {Positive} va rombha {XXX} rombha scene {XXX} scene ah {Positive} ah illama {Positive} illama iruntha {Positive} iruntha nalla {Positive} 	1
ta_sent_79	Rajini sir semma style ah irukaru... mass ....	Positive	rajini sir {Positive} sir semma {Positive} semma style {Positive} style ah {Positive} ah irukaru {Positive} 	1
ta_sent_80	Any thala fan's here means like panuga pakala  because I am thala fan	Positive	any thala {XXX} thala fans {Positive} fans here {unknown_state} here means {XXX} means like {Positive} like panuga {Positive} panuga pakala {XXX} pakala because {XXX} because i {XXX} i am {Positive} am thala {Positive} 	1
ta_sent_81	irukku diwalikku sarvedi irukku pakka kaithi	Positive	irukku diwalikku {XXX} diwalikku sarvedi {XXX} sarvedi irukku {XXX} irukku pakka {Positive} 	1
ta_sent_82	Hindi me kab aayegi ye movie	not-malayalam/tamil	hindi me {not-Tamil} me kab {not-Tamil} kab aayegi {not-Tamil} aayegi ye {not-Tamil} 	4
ta_sent_83	Innum konjam expect panninen. But not. Bad ajith innum konjam adhikama mass kattalam  Hardcore vj fan from Srilanka	Positive	innum konjam {Positive} konjam expect {XXX} expect panninen {XXX} panninen but {XXX} but not {Positive} not bad {Mixed_feelings} bad ajith {XXX} ajith innum {XXX} innum konjam {Positive} konjam adhikama {XXX} adhikama mass {XXX} mass kattalam {XXX} kattalam hardcore {XXX} hardcore vj {XXX} vj fan {Positive} fan from {Positive} 	1
ta_sent_84	1st trailer ra compare pannala entha trailer la music lack la  erruku nu nanakan......	Positive	st trailer {XXX} trailer ra {Positive} ra compare {XXX} compare pannala {XXX} pannala entha {XXX} entha trailer {Positive} trailer la {Positive} la music {XXX} music lack {XXX} lack la {XXX} la erruku {XXX} erruku nu {XXX} 	1
ta_sent_85	Chiyaan getup mass nu solravanga like podunga	Positive	chiyaan getup {XXX} getup mass {Positive} mass nu {Positive} nu solravanga {Positive} solravanga like {Positive} 	1
ta_sent_86	Thalapathy vijay fans ...here ..hit like ...nanba nanbigal	Positive	thalapathy vijay {Positive} vijay fans {Positive} fans here {unknown_state} here hit {Positive} hit like {Positive} like nanba {XXX} 	1
ta_sent_87	Aowseome fellim super star is king hero in India tala tala dhan da	Positive	aowseome fellim {XXX} fellim super {XXX} super star {Positive} star is {Positive} is king {Positive} king hero {XXX} hero in {Positive} in india {Positive} india tala {XXX} tala tala {Positive} tala dhan {XXX} 	1
ta_sent_88	Bollywood ki pink movie ka remake	Positive	bollywood ki {not-Tamil} ki pink {XXX} pink movie {Positive} movie ka {Positive} 	1
ta_sent_89	Thalaen nenkonta panrvai indian cinemavai thinaraadikum .....	Positive	thalaen nenkonta {XXX} nenkonta panrvai {XXX} panrvai indian {XXX} indian cinemavai {XXX} 	1
ta_sent_90	Vijay sethupathi fans like ah podunga	Positive	vijay sethupathi {Positive} sethupathi fans {unknown_state} fans like {Positive} like ah {Positive} 	1
ta_sent_91	BATMAN 🦇 Fans Hit Like here	Positive	batman fans {XXX} fans hit {Positive} hit like {Positive} 	1
ta_sent_92	102k views 152k likes vera level	Positive	k views {Mixed_feelings} views k {XXX} k likes {Positive} likes vera {XXX} 	1
ta_sent_93	pandey enna naduvula enthiruchu enthiruchu kathittu irukaapla	Positive	pandey enna {Positive} enna naduvula {XXX} naduvula enthiruchu {XXX} enthiruchu enthiruchu {XXX} enthiruchu kathittu {XXX} 	1
ta_sent_94	Ommala Oru pundaium puriyala enna Sunny ithu	Positive	ommala oru {XXX} oru pundaium {XXX} pundaium puriyala {XXX} puriyala enna {XXX} enna sunny {XXX} 	1
ta_sent_95	Marana sambavam iruku... Asuran kandippa blockbuster tha	Positive	marana sambavam {XXX} sambavam iruku {Positive} iruku asuran {XXX} asuran kandippa {XXX} kandippa blockbuster {XXX} 	1
ta_sent_96	Meanwhile Sivakumar to Akshay Kumar: en inam ada nee	Positive	meanwhile sivakumar {XXX} sivakumar to {XXX} to akshay {XXX} akshay kumar {Positive} kumar en {Positive} en inam {XXX} inam ada {XXX} 	1
ta_sent_97	Namba Pullaingo yella Ipo ingatha erupanga. Thalapathy 64 Director la	Positive	namba pullaingo {XXX} pullaingo yella {XXX} yella ipo {XXX} ipo ingatha {XXX} ingatha erupanga {XXX} erupanga thalapathy {XXX} thalapathy director {XXX} 	1
ta_sent_98	Oru Manisana  azhichidalam, avanudaiya sinthanaiyaium sitthanthathaium yaralum azhikka mudiyathu..  Lovely both of   Suyama sinthikka therinjavanga ellarume HERO than.	Positive	oru manisana {XXX} manisana azhichidalam {XXX} azhichidalam avanudaiya {XXX} avanudaiya sinthanaiyaium {XXX} sinthanaiyaium sitthanthathaium {XXX} sitthanthathaium yaralum {XXX} yaralum azhikka {XXX} azhikka mudiyathu {XXX} mudiyathu lovely {XXX} lovely both {XXX} both of {XXX} of suyama {XXX} suyama sinthikka {XXX} sinthikka therinjavanga {XXX} therinjavanga ellarume {XXX} ellarume hero {XXX} 	1
ta_sent_99	Ethana naalaiku Tha #Thala ah Mass ah ve pakurathu.. konjam class ah Vu papom	Positive	ethana naalaiku {XXX} naalaiku tha {XXX} tha thala {Positive} thala ah {Positive} ah mass {XXX} mass ah {Positive} ah ve {Mixed_feelings} ve pakurathu {XXX} pakurathu konjam {XXX} konjam class {XXX} class ah {XXX} ah vu {XXX} 	1
ta_sent_100	Enna gethu enna style super thala da	Positive	enna gethu {XXX} gethu enna {XXX} enna style {Positive} style super {not-Tamil} super thala {Positive} 	1
ta_sent_101	from 1:10...rahman and shankar sir mark..	Positive	from rahman {XXX} rahman and {XXX} and shankar {Positive} shankar sir {Positive} 	1
ta_sent_102	Dei Namma aalu Vijay sethupathi irukkida. Mutheeeeiiiii	Positive	dei namma {XXX} namma aalu {XXX} aalu vijay {XXX} vijay sethupathi {Positive} sethupathi irukkida {XXX} 	1
ta_sent_103	Super aana thala kku set aakale	Positive	super aana {Positive} aana thala {Positive} thala kku {Positive} kku set {XXX} 	1
ta_sent_104	Pakka mass  namba MAKKAL SELVAN VIJAY SETHUPATHY..	Positive	pakka mass {Positive} mass namba {XXX} namba makkal {XXX} makkal selvan {Positive} selvan vijay {Positive} 	1
ta_sent_105	Vijay sethupathi Ku screen time trailer la yen kamiya iruku ? 🤬	Positive	vijay sethupathi {Positive} sethupathi ku {Positive} ku screen {XXX} screen time {XXX} time trailer {XXX} trailer la {Positive} la yen {XXX} yen kamiya {XXX} 	1
ta_sent_106	Marana waiting  for DARBAR pongal	Positive	marana waiting {Positive} waiting for {Positive} for darbar {unknown_state} 	1
ta_sent_107	Trailer to bakvas laga kuch pata nahi chal raha he. Only fighting hi dikhai de rahi he	Positive	trailer to {not-Tamil} to bakvas {XXX} bakvas laga {XXX} laga kuch {XXX} kuch pata {XXX} pata nahi {XXX} nahi chal {XXX} chal raha {XXX} raha he {XXX} he only {XXX} only fighting {XXX} fighting hi {XXX} hi dikhai {XXX} dikhai de {XXX} de rahi {XXX} 	1
ta_sent_108	Aisa Lagta Hai pink ki copy hai ya movie	not-malayalam/tamil	aisa lagta {XXX} lagta hai {not-Tamil} hai pink {XXX} pink ki {not-Tamil} ki copy {not-Tamil} copy hai {not-Tamil} hai ya {not-Tamil} 	4
ta_sent_109	Love you Thalaiva	Positive	love you {Positive} 	1
ta_sent_110	Mass anna dhanush like fans	Positive	mass anna {XXX} anna dhanush {Positive} dhanush like {Positive} 	1
ta_sent_111	Pure bharat ka no.1 hero chiyan Vikram	Positive	pure bharat {XXX} bharat ka {XXX} ka no {XXX} no hero {XXX} hero chiyan {XXX} 	1
ta_sent_112	Osm trailer 🤩 2019 best trailer Bigil🤩 Hero🤩	Positive	osm trailer {not-Tamil} trailer best {Positive} best trailer {Positive} trailer bigil {Positive} 	1
ta_sent_113	2:01 kola kandu la iruken mavaney kollama Vida maaten....semma	Positive	kola kandu {Positive} kandu la {Positive} la iruken {Positive} iruken mavaney {Positive} mavaney kollama {Positive} kollama vida {Positive} 	1
ta_sent_114	Vishvasam trailer pathutu thirumba Itha pakuravanga like pannunga	Positive	vishvasam trailer {XXX} trailer pathutu {Positive} pathutu thirumba {XXX} thirumba itha {XXX} itha pakuravanga {XXX} pakuravanga like {Positive} 	1
ta_sent_115	indha diwali bigil pola. kaidhi dhan.	Positive	indha diwali {Positive} diwali bigil {unknown_state} bigil pola {XXX} pola kaidhi {XXX} 	1
ta_sent_116	Over build up venam venam...kabalai maari	Positive	over build {Negative} build up {Positive} up venam {XXX} venam venamkabalai {XXX} 	1
ta_sent_117	Rajini fans!!! Bobby simhna fans!!! Vijay sethupathi fans!!!! Simran fans!!! Trisha fans!!!! Sasi kumar fans!!!!! Nawazuddin Siddiqui  fans!!!!  Clicklike	Positive	rajini fans {Positive} fans bobby {XXX} bobby simhna {XXX} simhna fans {XXX} fans vijay {Positive} vijay sethupathi {Positive} sethupathi fans {unknown_state} fans simran {XXX} simran fans {XXX} fans trisha {XXX} trisha fans {XXX} fans sasi {XXX} sasi kumar {Positive} kumar fans {Positive} fans nawazuddin {XXX} nawazuddin siddiqui {Positive} siddiqui fans {XXX} 	1
ta_sent_118	Akshay Kumar Sara rock amazing look	Positive	akshay kumar {Positive} kumar sara {XXX} sara rock {XXX} rock amazing {XXX} 	1
ta_sent_119	Kaithi padam paathutu vanthu trailer paakravanga like	Positive	kaithi padam {unknown_state} padam paathutu {Positive} paathutu vanthu {XXX} vanthu trailer {Positive} trailer paakravanga {Positive} 	1
ta_sent_120	No body can replace you sir. ‍	Positive	no body {XXX} body can {XXX} can replace {Positive} replace you {XXX} 	1
ta_sent_121	1:55 - To all THALA - THALAPATHY fanzz   That dialogue !! 🥰🥰🥰🥰	Positive	to all {Positive} all thala {Positive} thala thalapathy {Positive} thalapathy fanzz {Positive} fanzz that {XXX} 	1
ta_sent_122	Oruthar mela viswasam katradhunaala Innoruthara ya asingam paduthringa Hadsoff thala	Positive	oruthar mela {Positive} mela viswasam {Positive} viswasam katradhunaala {XXX} katradhunaala innoruthara {XXX} innoruthara ya {XXX} ya asingam {XXX} asingam paduthringa {XXX} paduthringa hadsoff {XXX} 	1
ta_sent_123	Ellarum attendence podalam how many members eppo trailer pathutu irukenga Hit like ...	Positive	ellarum attendence {XXX} attendence podalam {XXX} podalam how {XXX} how many {Positive} many members {XXX} members eppo {XXX} eppo trailer {XXX} trailer pathutu {Positive} pathutu irukenga {Positive} irukenga hit {Positive} 	1
ta_sent_124	vjs anna samma mass trailer... so cute vjs anna	Positive	vjs anna {Positive} anna samma {XXX} samma mass {XXX} mass trailer {Positive} trailer so {XXX} so cute {Positive} cute vjs {XXX} 	1
