text	category
oruthar mela neenka viswasam kaddurathukkaka innoruthara en asinkapaduthurinka true line for some ajith fans and vijay fans	Positive
netru super star indru super star nalai super star endrum super star	Positive
dhanush vetrimaran gvp yarrukellam intha combo pidikum	Positive
va thala ni va paddaya kilappuram	Positive
haiyya jolly night kulla 15 million views thandidum	Positive
1 30 na indha scene kagave trailer ah marubadiyum marubadiyum pathutu irukan thalaivar oda wow moment	Positive
superb next surprise cinematography romba nala iruku	Positive
pangaaligala intha vegam paththaathu innum vegama likes ah therika vidunka	Positive
ena pangalikala return no 1 trending konduvaralama link ah share panunka 1m likes adichu akanum	Positive
intha yr diwali inum mudiyala nov 29 diwali	Positive
3 hours agidu 1 million varala	Positive
appaddi yellaam nadakaath nadakka koodaath uffthala appadiye vere track	Positive
mass ivara minja yarum illa porakavum illa	Positive
dhanush and vetrimaaran the original asuran	Positive
thlivarku trilar ra vida teaser than semaiya iruku	Positive
if anyone saw teejay in it	Positive
enga thatha irruka varaikum neraya neraya nadakathu da ellam ajith pathupan da	Positive
best makeup getup for rajini after shivaji film	Positive
trailer bangam youv shankar yepaya ni ippadi oru padam rajini vechi yeduka pora yepapar robo gobo ni poya	Positive
thala yuvan vera level ipdi neraya neraya neraya nerayaa	Positive
thala acting vera level neraya neraya neraya neraya neraya dialogue awesome mass class	Positive
ennada bomma padam mathire irukku enna kandravi anim ithu	Positive
appa enna stylish thalaiva marana mass	Positive
0 37 vivek siva mervin solomon magical voice	Positive
400k likes in 5 million views	Positive
semma mass rajini sir love you	Positive
rajini daa rajini chumma athiruthu	Positive
e ka bawasir bana diye ho	Positive
are you virgin scene iruka	Positive
marana waiting for nkp fdfs ku	Positive
king maker thala wonderful hero love u thala love u love u love u	Positive
467k views one hour mela change aagamale iruku something happened	Positive
epo da kondi varuvinga 1 4 million like	Positive
to those who disliked oruthar meala vishwasam katurathukaga inoruthar ah yen asinga paduthuringa	Positive
marana maas thalaiva sooper star	Positive
idhu yenna da batman ku vandha sodhanai	Positive
thalaiva marana waiting super star mass nu katringa	Positive
kola gaandu la irukkan sweet sapadu porom style ah naturally	Positive
ajith h vinod siva h raja	Positive
sema sema sema sema sema sema sema sema sema sema sema	Positive
woww thala ajith kumar is awesome paa	Positive
moodevi nga content paakama dislike podudhunga thevangu trailer end la correct ah iruku	Positive
thalaivar sonna maari sweet sapida poren	Positive
10 million view s kooda varala nu vijay fans kalaaikraanga plz thala fans 10 m views vara vainga inaiku kulla	Positive
naangalaum pakkaathan pooromm engee thalaivar odee aattaathee	Positive
apdiea innum knjm dhn shankar sir avengers ah beat panniralam move on fire	Positive
mass mass maas mass chiyaan vikram	Positive
wow is movie 3million view 175k like best luck bikram sir fan likr here	Positive
u1 thala mass bgm	Positive
cant wait thalaivare thookkudurai alappareyum pakkanum	Positive
thalaiver thalaiver thaa vera pechaa kedaiyathu pettai daa	Positive
super padam rajini sir trailare ippadi athirutunna parameter eppadi irukkum	Positive
kovilpatti pasanga lam like podunga la	Positive
waiting thalaa katta fan from kerala yuvan bgm no rekshaa	Positive
trailer oda last dance than evanoda nejamana character aara mental da evan	Positive
thara ra thara ra thara ra raa 1 37 vera level	Positive
all tamilans fans from keralakerala loves you all tamilan da	Positive
those vijay fans come here to see this like here	Positive
trending ku late ah vanthalum latest varuvom da	Positive
padam kand trailer kannaan vannavar undoo	Positive
2 0 full movie on zee tamil channel	Positive
logesh ah nambalam nammala thalapathy 64 yaematha maataru ninaikira	Positive
tha vera level dialogue last scene	Positive
ellam avan seyal movie ya ithu	Positive
ithu petta pongal paaka thaana pora intha kaali oda aatatha	Positive
kola kuthu marana mass thailavaa vera level mass	Positive
yen dislike pandringa enna pudikala trailer la	Positive
white hair eh irundahlum azhagaai theriyum aanazhagan thala eppavume ultimate dhan	Positive
0 53 thala ooda looka copy adichutan daa	Positive
sama gandula iruken mudinja tomorrow movie release pannunga please	Positive
mass maranam thalaivaa back to 90 s kid rajini sir	Positive
looks promising but release aagi nalla irundha semaya irukkum	Positive
sun tv mela kola kaandula irukkom rajini mela illa	Positive
kaithi thaan intha yr diwali blockbustrr cnfrm	Positive
karthi anna wooda unmayana anbana rasigargal mattum thatra like	Positive
22 00 dhanush look vera level mass	Positive
who r waiting trailer in kannada any kannadiga hit like jai karnataka tamil nadu	Positive
padam kandipa block buster wishes from suriya anna fans	Positive
die hard chiyaan fans like here	Positive
semma thalaiva marana geththa erukinga u always geththu	Positive
ultra ultimate star thala vera level	Positive
ajith rasigargal sarpaka padam vetri pera valthukkal	Positive
padam pathuttu vanthu tralier pakkuravagaa like pannungaa	Positive
theri mass therika vitruvoma	Positive
thalaiva theivame umma sema style sema energy sema marana mass	Positive
90s thalaivaa is back in action	Positive
vera leval dhanudh vetri maran gvp combo	Positive
tha 4 nimishathula 10 k likes thala	Positive
mass means 2 0 waited for this movement also waiting for movie semmamaa	Positive
ultimate star ajith kumar vazhaga	Positive
inu neraiya peru paakala keep sharing	Positive
padam vanthathum 13k dislike pottavaga yellam yea da dislike pannom nu feel pannanum	Positive
orginal view and orginal like	Positive
hit like for vetrimaran dhanush combo	Positive
sivakarthikayen fans hit like button	Positive
izu vijay da trailer aaha irunda 30 millions aahi irukkum ajith vayathu jaasthi aichu adudda padaththilaavazu ilamaya nadichcha nalla irukkum	Positive
enna bgm english song la play agudhu	Positive
vaa thala nee mattum podhum enaku vaa vaa vaa	Positive
likes gonna overtake views dei update pannuga da	Positive
gethu naale thala dhan	Positive
rangaraj pande ipodhan theridhu neenga en thandhi tv la irundhu vandhinga	Positive
epdi national award ipove vangikratha illa aprm neengale kooptu kudupingala	Positive
0 45 vivek kuruka intha kousik vantha thug life kuti moonchi kuti moonchi army	Positive
nice thalaiva petta ya viswasam aa	Positive
thala intha mathiri padam neraya neraya neryaa pannanum	Positive
thala da vera even da	Positive
porukiya rowdya entha mari kati thanda nadu nasama pochi	Positive
400k likes and 10m views soon	Positive
ahaa thalaivar style semma marana mass	Positive
thalaa marana waiting evlo azagha iruku thala nee	Positive
rajini ya ivlo style ah pathu rempla naal achu tnx karthik suppuraj	Positive
enpt pathu inga vanthavaga like poduga	Positive
chiyaan sir vera 11 mass ahh irukuu paaka trailer hollywood trailer	Positive
thala super thala sema mass thala 3 5 m vivewers	Positive
enna yuvan man of steel bgm la vaasam vesuthu	Positive
arjun sir and sk padam yeppadi irukkum	Positive
yentha video vanthaalum likes ah picha yedukura intha digital beggars thola thaanga mudiyila	Positive
8th yaru yailam leave apply pani irukiga oru like poduga	Positive
pengale thadavi nadikaravanukkum pengal urimai kkga nadikaravarukkum niraiya different irukku thala for real hero	Positive
chiyyan sir rombbha nalla irikke rommbha santhosham sir	Positive
supper marana mas i am waiting	Positive
any rajuni fan from andrha like here	Positive
mass hit 2 0 hit like if you like akshay s look	Positive
love u anna unga padam vanthale podhum	Positive
viswasam teaser ku wait panravanga like pannunga	Positive
night data ku dhan neriya peru wait panni irukkanka poola	Positive
naaku eebhasa teleidu vikram sir old looks is awesome and his intro style	Positive
enada ithu thalai ku vantha sothana innum 10 million views aa thandala	Positive
1 45 ennada bigil food ball studiyam varudhu	Positive
1 41 adichu underwear ode ooda vittiduve maanam pona thirumbi varaathu paathukko mass dialogue	Positive
idhan idhan idha paaka than engikittu irundhom trailer eh ippadi appo full movie	Positive
therii starting level directors ellarum vera level la seyuranka	Positive
therikka vidalama thala mass love you thala thala thala thaan yyaa	Positive
rajni vj sethu sasi kumar nawazuddin combo rajni in beard next level	Positive
outstanding vfx output hardwork never fails thalaivaa unga kaal thoosu kooda evanam illai	Positive
thalaiva nee vera level ago cute	Positive
pakkathana poringa pongal annaikku namma kaaliyoda attatha	Positive
padayappa la paartha athe rajini manusan pinraaruya	Positive
my dear thalaivaa you are just rocking	Positive
nadigar ajith i kaanaa we are waiting	Positive
hi thala fans ellarum saptingala	Positive
so many crime scenes still gets u certificate lol	Positive
sankar sir kku thanks solla nu	Positive
ultimate star ajith kumar	Positive
