text	category	text	category
trailer kande oru pidium illatha aralum	Positive	trailer kande oru pidium illatha aralum	unknown_state
feeling sad am studying in punjab ivde release aakuvo	not-malayalam	feeling sad am studying in punjab ivde release aakuvo	Negative
polikkum mammukkante pattalam movie orth poyath njaan maatramaano	Positive	polikkum mammukkante pattalam movie orth poyath njaan maatramaano	unknown_state
tamilnadu thala fans sarpakka movie hit panna valthukal	not-malayalam	tamilnadu thala fans sarpakka movie hit panna valthukal	not-malayalam
padam release cheyunne annu thanne kanumanne urapullavar like adike machanmaree	unknown_state	padam release cheyunne annu thanne kanumanne urapullavar like adike machanmaree	unknown_state
telugu padam pole aavaathirunnal mathiyaayirunnu fight okke ethandu athupole thanne	Positive	telugu padam pole aavaathirunnal mathiyaayirunnu fight okke ethandu athupole thanne	Mixed_feelings
thirunavayile arenkilum undo trailer like cheyan marakanda	unknown_state	thirunavayile arenkilum undo trailer like cheyan marakanda	unknown_state
ini aarum unda enna peril kaliyaakkilla oru adaar trailer	Positive	ini aarum unda enna peril kaliyaakkilla oru adaar trailer	Positive
movie kandathinu shesham onum kudi trailer kanan vanaver like	unknown_state	movie kandathinu shesham onum kudi trailer kanan vanaver like	unknown_state
mammoka fans and laletan fans katta waiting	Positive	mammoka fans and laletan fans katta waiting	unknown_state
eee eid ikka ang edutthu ennu paranjekk	Positive	eee eid ikka ang edutthu ennu paranjekk	Positive
ahaa hahaha ha nte ponnikka muthee	Positive	ahaa hahaha ha nte ponnikka muthee	Positive
fan show set arokke fan showkk pokunnu und	Positive	fan show set arokke fan showkk pokunnu und	unknown_state
pwoolich adhya 3 manikkoor il 30k kku mukalil views	unknown_state	pwoolich adhya 3 manikkoor il 30k kku mukalil views	Positive
ithin dislike addikunavar lokka tholvikallayirkkum	Negative	ithin dislike addikunavar lokka tholvikallayirkkum	Positive
visit on link vov yar so sad made me crying so sad omng very sad must watch osmmosmm	not-malayalam	visit on link vov yar so sad made me crying so sad omng very sad must watch osmmosmm	not-malayalam
ini nammalarenkilum chathale sarkar sradhikku ennano ith porikkum	Positive	ini nammalarenkilum chathale sarkar sradhikku ennano ith porikkum	unknown_state
fdfs locked lalettan rajuettan uff ejathi	Positive	fdfs locked lalettan rajuettan uff ejathi	Positive
feel good movie 2019 le best movie aavum ithu urappu	Positive	feel good movie 2019 le best movie aavum ithu urappu	Positive
1k dislikes ella dislike pannikalkum endhe naduviral namskaram	Negative	1k dislikes ella dislike pannikalkum endhe naduviral namskaram	Negative
mohan lal katy s fans onn like chevu chet daa lal attan	unknown_state	mohan lal katy s fans onn like chevu chet daa lal attan	unknown_state
2million one day poolumaayillaa iragitt great lalettaa	not-malayalam	2million one day poolumaayillaa iragitt great lalettaa	Positive
eante ponnoo romanjam vannu poeonnum parayanilla	Positive	eante ponnoo romanjam vannu poeonnum parayanilla	Positive
eth oru onnonnara padam aavum enn urappullavar like adi	Positive	eth oru onnonnara padam aavum enn urappullavar like adi	Positive
surajettan kunjunni mash ayi abhinayichal powlikku m	Positive	surajettan kunjunni mash ayi abhinayichal powlikku m	Positive
pakka trailer rajuvettan brilliance lalettante all time best character aavum luv u laletta	Positive	pakka trailer rajuvettan brilliance lalettante all time best character aavum luv u laletta	Positive
raaza u do	unknown_state	raaza u do	unknown_state
lucifer kandu eny ethu kananam ohh	Positive	lucifer kandu eny ethu kananam ohh	Positive
lalettan fans full support und makkalee	Positive	lalettan fans full support und makkalee	Positive
keralathinu purathu ninnulla anyaphashakar adi like	unknown_state	keralathinu purathu ninnulla anyaphashakar adi like	unknown_state
all kerala mohanlal fans nte power onnu kanichu kodukk like	unknown_state	all kerala mohanlal fans nte power onnu kanichu kodukk like	unknown_state
adhikam hype venda	Positive	adhikam hype venda	Negative
ithu kidukkum	Positive	ithu kidukkum	Positive
am a lalettan fan but lalettane arum pokendaa director prithviannuu	Positive	am a lalettan fan but lalettane arum pokendaa director prithviannuu	unknown_state
4 3k dislikes what a bullshit man s	not-malayalam	4 3k dislikes what a bullshit man s	not-malayalam
padam 1 st day kaanum athu urappu	Positive	padam 1 st day kaanum athu urappu	Positive
mass effect	Positive	mass effect	Positive
arudeyum kaneer oppan vannadhalla njn pakshe karayikunnavarude thala njn adichu pwolikkum full on full power	Positive	arudeyum kaneer oppan vannadhalla njn pakshe karayikunnavarude thala njn adichu pwolikkum full on full power	Positive
again again rajuvettan theertha ee vismayam kanaan vanne nokkunavarundoo	Positive	again again rajuvettan theertha ee vismayam kanaan vanne nokkunavarundoo	Positive
costumes irshad khan cherukunnuijj poli muthee	Positive	costumes irshad khan cherukunnuijj poli muthee	Positive
ithenkilum oru hit enkilum aayaal mathi padachone adutha padakkam aavalle	Positive	ithenkilum oru hit enkilum aayaal mathi padachone adutha padakkam aavalle	Mixed_feelings
aa last bhakam marana mass mammookka	Positive	aa last bhakam marana mass mammookka	Positive
happy birthday mammookka	Positive	happy birthday mammookka	not-malayalam
mammokka thug life mashup	unknown_state	mammokka thug life mashup	unknown_state
big b 2 pole und	Positive	big b 2 pole und	Mixed_feelings
lalettaa muthee polichu	Positive	lalettaa muthee polichu	Positive
ee pennu evide poyaalum ithaanallo avastha	unknown_state	ee pennu evide poyaalum ithaanallo avastha	unknown_state
edhu kondu prethiraj neruthiyal kollam	Positive	edhu kondu prethiraj neruthiyal kollam	Positive
ithipo kadha muzhuvan undalo ithilu	unknown_state	ithipo kadha muzhuvan undalo ithilu	unknown_state
mammotiyude look divasam kudunthorum kodi varikayannallo	Positive	mammotiyude look divasam kudunthorum kodi varikayannallo	Positive
last black dress sredhichavar ivide like	unknown_state	last black dress sredhichavar ivide like	unknown_state
natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha	Positive	natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha	Negative
padam pottum ennu urapulavarku evide like adikam	unknown_state	padam pottum ennu urapulavarku evide like adikam	unknown_state
malayala sinimakkoru puthiya charithram pirakkatte	Positive	malayala sinimakkoru puthiya charithram pirakkatte	Positive
koora padam	Positive	koora padam	Negative
superb trailer i have ever seen	not-malayalam	superb trailer i have ever seen	not-malayalam
3 millon views 208 k likes	not-malayalam	3 millon views 208 k likes	not-malayalam
ennalum ente idivettu suguna ninne ithilu kandillalo	Positive	ennalum ente idivettu suguna ninne ithilu kandillalo	Negative
which trailer you like more 1 mamangam 2 panipat	Positive	which trailer you like more 1 mamangam 2 panipat	not-malayalam
1 33 1 40 mammuka rock s	Positive	1 33 1 40 mammuka rock s	not-malayalam
oru mikacha thriling movie aavum	Positive	oru mikacha thriling movie aavum	Positive
undakku shesham mammookayude adutha natural movie	Positive	undakku shesham mammookayude adutha natural movie	Positive
jayasurya chyuna a ella characters um pwoliya shaji pappen	Positive	jayasurya chyuna a ella characters um pwoliya shaji pappen	Positive
mammukka ningal bharikkanam malayalam cinema iniyulla kalavum	Positive	mammukka ningal bharikkanam malayalam cinema iniyulla kalavum	Positive
apol ithu payyanmare padam aano rajuettan ikka onnum main ayittu ille	unknown_state	apol ithu payyanmare padam aano rajuettan ikka onnum main ayittu ille	unknown_state
ende ammo aa mundu madakki vechulla aa chavitt laletta	Positive	ende ammo aa mundu madakki vechulla aa chavitt laletta	Positive
youtube struck ayoo views 172 k like 162k unlike 15k laletaa	unknown_state	youtube struck ayoo views 172 k like 162k unlike 15k laletaa	unknown_state
k g f duble	Positive	k g f duble	not-malayalam
trailer i ll tannaayy full story uondu	Positive	trailer i ll tannaayy full story uondu	Positive
oru bigb feel aiivaa pwolichuu	Positive	oru bigb feel aiivaa pwolichuu	Positive
pinneyum pinneyum kaanunnavar like adi lalatten ishtam	unknown_state	pinneyum pinneyum kaanunnavar like adi lalatten ishtam	Positive
rajayude andhya kurbana chollan avan varunuu lucifer	unknown_state	rajayude andhya kurbana chollan avan varunuu lucifer	unknown_state
positive kittiyal pinne parayandallo ettan fan aaya njan thanme kannu thalli poi bookings kandu	Positive	positive kittiyal pinne parayandallo ettan fan aaya njan thanme kannu thalli poi bookings kandu	Positive
annum ennum ennum ikka mass	Positive	annum ennum ennum ikka mass	Positive
vere level trailer and bgm gopi sunder musical	Positive	vere level trailer and bgm gopi sunder musical	Positive
padam irangiyittu parayam mass ano class ano ennu odiyan anubhavam kondu paranjatha	Positive	padam irangiyittu parayam mass ano class ano ennu odiyan anubhavam kondu paranjatha	Mixed_feelings
passing of the crown trailer 1 kgf malayalam ft mohanlal nivin pauly	not-malayalam	passing of the crown trailer 1 kgf malayalam ft mohanlal nivin pauly	not-malayalam
e masathew 28 enna date nalathekakan pattuvoo pattillah allew wait chaiyanmm	Positive	e masathew 28 enna date nalathekakan pattuvoo pattillah allew wait chaiyanmm	Positive
jelli kettinte trailer bgm pole ind	Positive	jelli kettinte trailer bgm pole ind	Positive
50 pathu pravasham kandavar adi like	unknown_state	50 pathu pravasham kandavar adi like	unknown_state
e traileril ntha chekutan undo	unknown_state	e traileril ntha chekutan undo	Positive
any one from nov 2 2k19	not-malayalam	any one from nov 2 2k19	not-malayalam
adh suraj aanenn sound kett maathram kandpidichavar adi like	unknown_state	adh suraj aanenn sound kett maathram kandpidichavar adi like	unknown_state
17 k view 119 k like 12 k dislike	unknown_state	17 k view 119 k like 12 k dislike	not-malayalam
mallu students canada arelum like here	unknown_state	mallu students canada arelum like here	unknown_state
kalakki kalakki onnum parayan illa	Positive	kalakki kalakki onnum parayan illa	Positive
oru saada nalla naatin purathe kada athre ullu aenike ishtta pettu	Positive	oru saada nalla naatin purathe kada athre ullu aenike ishtta pettu	Positive
l u c i f e r	Positive	l u c i f e r	unknown_state
lucifer kaanan povunnathinu munpu trailer kaanan vannavar aarokke	unknown_state	lucifer kaanan povunnathinu munpu trailer kaanan vannavar aarokke	unknown_state
vere level of making nd lalettan was awesome	Positive	vere level of making nd lalettan was awesome	Positive
raja solathu tha saiva saivathu mattumtha dolla ikka fans	not-malayalam	raja solathu tha saiva saivathu mattumtha dolla ikka fans	not-malayalam
m a m a n g a m	Positive	m a m a n g a m	unknown_state
looks like 2017 malyalam movie y and english movie buried	not-malayalam	looks like 2017 malyalam movie y and english movie buried	not-malayalam
next week china povan irikkana njan ithu kandeche njan povathullu	Positive	next week china povan irikkana njan ithu kandeche njan povathullu	Positive
dislike adichavarodu pucham maathram lal fansine uddeshichu maathramanennu thettidarikallu ketto	Negative	dislike adichavarodu pucham maathram lal fansine uddeshichu maathramanennu thettidarikallu ketto	unknown_state
peter hein nte stunt ella cinema il um ore pattern aanallo	unknown_state	peter hein nte stunt ella cinema il um ore pattern aanallo	Mixed_feelings
thuvanathumbikalile jayakrishnane orma vannavar like adi	unknown_state	thuvanathumbikalile jayakrishnane orma vannavar like adi	unknown_state
tovino ishtam tovino fans like adi me	unknown_state	tovino ishtam tovino fans like adi me	unknown_state
ohoo mamooka powlikum ee jati tralier making kiduwee	Positive	ohoo mamooka powlikum ee jati tralier making kiduwee	Positive
kalabahavan shajon laleetane chathikkum athe urappa trailer kandappo manasilayii	unknown_state	kalabahavan shajon laleetane chathikkum athe urappa trailer kandappo manasilayii	unknown_state
chicking ile freezer il poyi nokkiya mathi aale kittum	unknown_state	chicking ile freezer il poyi nokkiya mathi aale kittum	unknown_state
onnum parayanilla vere leval movie ayirikkum	Positive	onnum parayanilla vere leval movie ayirikkum	Positive
cinema kand kazhinjitt trailer kanan vannavarkk ivde like adichittu pokam	unknown_state	cinema kand kazhinjitt trailer kanan vannavarkk ivde like adichittu pokam	unknown_state
lufier trailer kandu odiyan kandavar undo	unknown_state	lufier trailer kandu odiyan kandavar undo	unknown_state
raju ettaa ningal vera level	Positive	raju ettaa ningal vera level	Positive
ithoru onnonnara item avumenn urappullavar like adi	Positive	ithoru onnonnara item avumenn urappullavar like adi	Positive
late aayi vannalum latest aayi varuvenne	Positive	late aayi vannalum latest aayi varuvenne	Positive
woow woww wow	Positive	woow woww wow	not-malayalam
lokal poyi madhura raja teaser kanada	Positive	lokal poyi madhura raja teaser kanada	Negative
oru marana mass chitramaavatte laleeta lucifer	Positive	oru marana mass chitramaavatte laleeta lucifer	Positive
kuru potti olikknna 1k poojappura fans	Negative	kuru potti olikknna 1k poojappura fans	Negative
adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema	Positive	adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema	Positive
17 k views 102 k like 10k dislike	unknown_state	17 k views 102 k like 10k dislike	not-malayalam
mohanlal prithvi fans like adik lucifer bamber hit akum	unknown_state	mohanlal prithvi fans like adik lucifer bamber hit akum	Positive
jayasurya mass after long time podi pooram	Positive	jayasurya mass after long time podi pooram	Positive
mammukka ningalau muthhaa oru rakshayilaa kikiduu	Positive	mammukka ningalau muthhaa oru rakshayilaa kikiduu	Positive
ettante lucifer 100 cr club kadakumm enn parayunnavar like adichee	unknown_state	ettante lucifer 100 cr club kadakumm enn parayunnavar like adichee	unknown_state
laalettan fans only hit likes here	unknown_state	laalettan fans only hit likes here	unknown_state
kure per dislike adich kuru pottikkunnund	Negative	kure per dislike adich kuru pottikkunnund	Negative
dislike adechath alla punnara makkalum anta veral	Negative	dislike adechath alla punnara makkalum anta veral	Negative
jagapathi babu a telugu fan here	not-malayalam	jagapathi babu a telugu fan here	not-malayalam
2n part or kuch related kahani nxt hota acha lagta fans ko	not-malayalam	2n part or kuch related kahani nxt hota acha lagta fans ko	not-malayalam
fight dialoge bgm oru rakshayum illa	Positive	fight dialoge bgm oru rakshayum illa	Positive
3 million ettanum pillerum	unknown_state	3 million ettanum pillerum	unknown_state
ithu rajayude 3 strong alla ettande lucifer	Positive	ithu rajayude 3 strong alla ettande lucifer	Mixed_feelings
e padathinte making ushar aanenu thonunu trailer kanditt padam kandathokem thallipoli aayirnu but trailer pwolichu	Positive	e padathinte making ushar aanenu thonunu trailer kanditt padam kandathokem thallipoli aayirnu but trailer pwolichu	Positive
samyuktha vendayirunnu aishu pwoli ann	Positive	samyuktha vendayirunnu aishu pwoli ann	Negative
trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal	Negative	trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal	Negative
dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu	unknown_state	dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu	Negative
jai lucifer jai lalettan jai prithwi	Positive	jai lucifer jai lalettan jai prithwi	Positive
nalla punch ulla trailer mamooka jai anusree shamna ellarkum bst of luck	Positive	nalla punch ulla trailer mamooka jai anusree shamna ellarkum bst of luck	Positive
mammokkente big b2 bilal veranam ennu agraham ullavar undoo	unknown_state	mammokkente big b2 bilal veranam ennu agraham ullavar undoo	unknown_state
bro support koduthilenkilum dislike adikkathirunoode	Negative	bro support koduthilenkilum dislike adikkathirunoode	Negative
aaa kochu edhaa real fighter kannukalile theepori kidu	Positive	aaa kochu edhaa real fighter kannukalile theepori kidu	unknown_state
you use bots for likes and views	not-malayalam	you use bots for likes and views	not-malayalam
swandam recordukal thanne thiruthunaa nadan pulimuruganekal odane daivame	unknown_state	swandam recordukal thanne thiruthunaa nadan pulimuruganekal odane daivame	unknown_state
suraj ettan fans fans like ivide	unknown_state	suraj ettan fans fans like ivide	Positive
eid usharakkanam ithiri late ayalum nammal polikkum mammukka sa	Positive	eid usharakkanam ithiri late ayalum nammal polikkum mammukka sa	Positive
3 2 strong rajuvettaa u nailed it	Positive	3 2 strong rajuvettaa u nailed it	not-malayalam
e padam hit akum enn urapullavar like adikan ulla sthalam	unknown_state	e padam hit akum enn urapullavar like adikan ulla sthalam	Positive
ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya	Negative	ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya	Negative
ee trailer kandapo kgf ormavanavar adikk	unknown_state	ee trailer kandapo kgf ormavanavar adikk	unknown_state
ith oru onnonnara item aayrikkum	Positive	ith oru onnonnara item aayrikkum	Positive
njan mammoty fan ann pakshe enikk ishtapettu	Positive	njan mammoty fan ann pakshe enikk ishtapettu	Positive
pirates of carbien aarum kanditilananu mone ninte vicharam	Negative	pirates of carbien aarum kanditilananu mone ninte vicharam	Negative
ravananaya avane nerkkuner illathakkan oru maha avatharam thanne vendi varum	unknown_state	ravananaya avane nerkkuner illathakkan oru maha avatharam thanne vendi varum	unknown_state
aa thodakathile august cinemas eenu title card varumbol olla bgm pwoli	Positive	aa thodakathile august cinemas eenu title card varumbol olla bgm pwoli	Positive
ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale	Positive	ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale	Positive
japan ne kali aakan maathram nammal aayitilla suraj ettaa	unknown_state	japan ne kali aakan maathram nammal aayitilla suraj ettaa	unknown_state
im a katta lalettan fan but ithu hit aakanam heavy	Positive	im a katta lalettan fan but ithu hit aakanam heavy	Positive
katta vishayam oru rekshem illa etta fdfs	Positive	katta vishayam oru rekshem illa etta fdfs	Positive
dislike cheyunavanoke ethu naarikal aanenavo chathude kidukachi trailer vanetum dislike 1 1k kashtam preshakare	Negative	dislike cheyunavanoke ethu naarikal aanenavo chathude kidukachi trailer vanetum dislike 1 1k kashtam preshakare	Negative
oru dubbing padathinte trailer pole kidu	Positive	oru dubbing padathinte trailer pole kidu	Positive
myarakam ikka hollywood direction and visuals	Positive	myarakam ikka hollywood direction and visuals	Positive
mommookka mass entry by a lalettan bhakthan	Positive	mommookka mass entry by a lalettan bhakthan	not-malayalam
ini kando adiude ideude vedi pooram	Positive	ini kando adiude ideude vedi pooram	Positive
innu trailer um	Positive	innu trailer um	unknown_state
aa kannukal mathram mathi a character depth mansilkan laletta	Positive	aa kannukal mathram mathi a character depth mansilkan laletta	Positive
trailer oru rakshyum illa adi poli jayettan takarkkum	Positive	trailer oru rakshyum illa adi poli jayettan takarkkum	Positive
dislike adichavarokke ith okke kanditt engane dislike adikkaan saadhikunnu uvve	Negative	dislike adichavarokke ith okke kanditt engane dislike adikkaan saadhikunnu uvve	unknown_state
waiting from die hard rajuvetan fan	not-malayalam	waiting from die hard rajuvetan fan	not-malayalam
ee padam kolamavukayaanengil it will be because of peter hein	Positive	ee padam kolamavukayaanengil it will be because of peter hein	Negative
movide peru kandu dislike adikaan vannatha	Positive	movide peru kandu dislike adikaan vannatha	Positive
avalude name veykkunille avar lead cheyyunna film alle	Positive	avalude name veykkunille avar lead cheyyunna film alle	Negative
600 suscribe ulladhil itt 22k suscribe414kview 91k like aakiyya ikka mass	Positive	600 suscribe ulladhil itt 22k suscribe414kview 91k like aakiyya ikka mass	unknown_state
kidu bgm for ikka kidu movie super	Positive	kidu bgm for ikka kidu movie super	Positive
mammookkaa nighal muthaanu nighal kola maassalla kolaveri maasaanu	Positive	mammookkaa nighal muthaanu nighal kola maassalla kolaveri maasaanu	Positive
ittimani film kandathinu shesham evide vannavar like adikku pinne replyum theru	unknown_state	ittimani film kandathinu shesham evide vannavar like adikku pinne replyum theru	unknown_state
deleep atta padam orappu maga hit	Positive	deleep atta padam orappu maga hit	Positive
ee padam 8 nilayil podannamennju prarthikunnju	Negative	ee padam 8 nilayil podannamennju prarthikunnju	Negative
ikka i lv uu big screen kandolan waitingg	Positive	ikka i lv uu big screen kandolan waitingg	Positive
ee padam hit aakum ennu orappullavar enik oru 100 like taa	unknown_state	ee padam hit aakum ennu orappullavar enik oru 100 like taa	unknown_state
trailer valare cheruthayipoyi mammoottyude mukham enkilum onnu kanikkamayirunnu	Positive	trailer valare cheruthayipoyi mammoottyude mukham enkilum onnu kanikkamayirunnu	Mixed_feelings
ayye poraa lalettan nu role ille	unknown_state	ayye poraa lalettan nu role ille	Negative
vineethangil adu supero super chodikanundo allea vineetheaa	Positive	vineethangil adu supero super chodikanundo allea vineetheaa	Positive
fdfs vare wait cheyyan pattilla ijjathi ittam mamookka	Positive	fdfs vare wait cheyyan pattilla ijjathi ittam mamookka	Positive
owf poli angane oru paad naal kazhinj oru nalla cinima kanaan povnu	Positive	owf poli angane oru paad naal kazhinj oru nalla cinima kanaan povnu	Positive
enta ponno ikka kalakum van trailer	Positive	enta ponno ikka kalakum van trailer	Positive
entammo ikka powli powli heavy item	Positive	entammo ikka powli powli heavy item	Positive
ee trailer vachaanoo luciferinodu muttaan varunnath	Positive	ee trailer vachaanoo luciferinodu muttaan varunnath	Negative
odiyan 2d animated trailer	Positive	odiyan 2d animated trailer	not-malayalam
16 k views 55 k likes	unknown_state	16 k views 55 k likes	unknown_state
11million aayo enn nokaan varunnavarundo	unknown_state	11million aayo enn nokaan varunnavarundo	unknown_state
ini aarkkum onnum parayaanillalloo remember the name laleettan	Positive	ini aarkkum onnum parayaanillalloo remember the name laleettan	Positive
inn ni8 full repeat adich kanan ponavar ivide like adicholu	unknown_state	inn ni8 full repeat adich kanan ponavar ivide like adicholu	Positive
adipolii movie suraj nta acting super ayiittodee anike othiri ishtapatuu super movie	Positive	adipolii movie suraj nta acting super ayiittodee anike othiri ishtapatuu super movie	Positive
edakku oru hollywood movie scene keri vanna pole ennikk mathramano thonniyath	Positive	edakku oru hollywood movie scene keri vanna pole ennikk mathramano thonniyath	unknown_state
just 1min etra per page il und	unknown_state	just 1min etra per page il und	unknown_state
mudi valarthi lalettan pazhya rajashilpi look thannee 0 51 il super	Positive	mudi valarthi lalettan pazhya rajashilpi look thannee 0 51 il super	Positive
mood poyi mood poyi aa sabune kandappol mood poyi	Positive	mood poyi mood poyi aa sabune kandappol mood poyi	Negative
dislike adicha pullanmarude mugathulla adiyavatte oro likum	Negative	dislike adicha pullanmarude mugathulla adiyavatte oro likum	Negative
ekka madhura raja and lalettan lucifer 2 padam iragan pokuvane oru tight competition prethishikkunnu	Positive	ekka madhura raja and lalettan lucifer 2 padam iragan pokuvane oru tight competition prethishikkunnu	unknown_state
02 19 ee scene theatril polikkum laletta 3	Positive	02 19 ee scene theatril polikkum laletta 3	Positive
njaghalu katta waiting aanu nov 21 aavunnillallo ennoru pbm	Positive	njaghalu katta waiting aanu nov 21 aavunnillallo ennoru pbm	Positive
vivek oberoi best villan powli	Positive	vivek oberoi best villan powli	Positive
e trailer 5 il kooduthal kandavar like	unknown_state	e trailer 5 il kooduthal kandavar like	unknown_state
kalathu ezhunnettu ee trailer kanumbol oru unmesham kittunnudu	Positive	kalathu ezhunnettu ee trailer kanumbol oru unmesham kittunnudu	Positive
trailer oru rakshayum illa 3 vattam kandu not the point aarudeyum fan alla	Positive	trailer oru rakshayum illa 3 vattam kandu not the point aarudeyum fan alla	Positive
amboo roman ezunettu epic loading	Positive	amboo roman ezunettu epic loading	Positive
powlii powlii last dialogue comedy anenkilu kidlm tyming	Positive	powlii powlii last dialogue comedy anenkilu kidlm tyming	Positive
oru rakshayum illa ikka ingal yendhon manusyanaa itihasam	Positive	oru rakshayum illa ikka ingal yendhon manusyanaa itihasam	Positive
trailernu katta wait cheythirikkunna ethra aalundu ivide	Positive	trailernu katta wait cheythirikkunna ethra aalundu ivide	Positive
kashttamund paavam chinnane enthina konne rakshapeduthi koodarunno minister rajayil chinnane pratheekshikkunnu chinnaraja fans adi like	unknown_state	kashttamund paavam chinnane enthina konne rakshapeduthi koodarunno minister rajayil chinnane pratheekshikkunnu chinnaraja fans adi like	unknown_state
happy birthday day my mammookka	not-malayalam	happy birthday day my mammookka	not-malayalam
oru rakshayum illa orappicho muruga ninte mukalilekk oru asuravithinte idivettu entry kathninnoo 100 crore club adichaach	Positive	oru rakshayum illa orappicho muruga ninte mukalilekk oru asuravithinte idivettu entry kathninnoo 100 crore club adichaach	Positive
priya kuttoos nte teaser aayinankilu eppaze million views aavateenum	unknown_state	priya kuttoos nte teaser aayinankilu eppaze million views aavateenum	unknown_state
aa last nadatham kanditt best actor orma vanna arelum undo	unknown_state	aa last nadatham kanditt best actor orma vanna arelum undo	unknown_state
ente ichayoo athre parayunnulluu ennu manasil karuthiyavar hit like here	unknown_state	ente ichayoo athre parayunnulluu ennu manasil karuthiyavar hit like here	unknown_state
police ill minimum hight elle aju oke police	unknown_state	police ill minimum hight elle aju oke police	Negative
500k enn paranjitt 410k ullollo real time views	unknown_state	500k enn paranjitt 410k ullollo real time views	unknown_state
lalettane prathheeshich ithuvazhi vannavar like	unknown_state	lalettane prathheeshich ithuvazhi vannavar like	unknown_state
orika kanda veendum veendum kanan thonnum	Positive	orika kanda veendum veendum kanan thonnum	Positive
stars nu pakaram nalla cinema ye support cheyyunavar adi like	unknown_state	stars nu pakaram nalla cinema ye support cheyyunavar adi like	unknown_state
haavu samadaanamaayi editor mahesh narayanan	Positive	haavu samadaanamaayi editor mahesh narayanan	unknown_state
dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn	Negative	dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn	Negative
eyyalu nthu manushana oru rakshayum ella kidu	Positive	eyyalu nthu manushana oru rakshayum ella kidu	Positive
