text	category	text	category
thalaiva ungala screen pakkum pothey ippadii erukinga na nerla partha yappidii erupinga oru murai tharisanam kedaikumaa	Positive	thalaiva ungala screen pakkum pothey ippadii erukinga na nerla partha yappidii erupinga oru murai tharisanam kedaikumaa	Positive
rajini ah vida akshay mass ah irukane	Positive	rajini ah vida akshay mass ah irukane	Negative
thala koda compare panna yarukum thakuthi kidaiyathu mind it	Positive	thala koda compare panna yarukum thakuthi kidaiyathu mind it	Positive
marana mass marana style marna gethu mass trailer rajinified	Positive	marana mass marana style marna gethu mass trailer rajinified	Positive
paruthiveeran karthi back lokesh kangaraj screenplay	Positive	paruthiveeran karthi back lokesh kangaraj screenplay	unknown_state
diwali annante aniyan ullaltha step back bigil	Positive	diwali annante aniyan ullaltha step back bigil	Mixed_feelings
dialogue pundaiye puriyala otha theatre la nacham sound seri pannungada	Positive	dialogue pundaiye puriyala otha theatre la nacham sound seri pannungada	Negative
poda mokka moonji unna pathale siriputhan varuthu super herovaam adutha mugamoodii	Positive	poda mokka moonji unna pathale siriputhan varuthu super herovaam adutha mugamoodii	Negative
dei kelthu kuthi ajith ivanya yaru nadika sona	Positive	dei kelthu kuthi ajith ivanya yaru nadika sona	Negative
yaaru ivanaa indha kosu asoorana dei ennada unga rasana	Positive	yaaru ivanaa indha kosu asoorana dei ennada unga rasana	Negative
namma kitte kaadu iruntha eduthukuvanga namma kitte roopa iruntha pudukiku vaanga padippu mattum namma kitte irundhu eduthukave mudiyathu superb lines	Positive	namma kitte kaadu iruntha eduthukuvanga namma kitte roopa iruntha pudukiku vaanga padippu mattum namma kitte irundhu eduthukave mudiyathu superb lines	Positive
ethukkuda ivlo actors hypo thalaivar padamna avar matumtha irukanum	Positive	ethukkuda ivlo actors hypo thalaivar padamna avar matumtha irukanum	Positive
thlaiavaa thalaivaa thaliava thalaivaa thalaivaa	Positive	thlaiavaa thalaivaa thaliava thalaivaa thalaivaa	Positive
epdi like pottavan eallarum seathupogada	Positive	epdi like pottavan eallarum seathupogada	Mixed_feelings
100 true in the age information abundance and mass distractions	Positive	100 true in the age information abundance and mass distractions	Positive
supper dhanush anna mass waiting asuran	Positive	supper dhanush anna mass waiting asuran	Positive
vera lvl thalaiva u r great	Positive	vera lvl thalaiva u r great	Positive
mobile main mera phek dunga iphone x barna aisa problem hoga	Mixed_feelings	mobile main mera phek dunga iphone x barna aisa problem hoga	Negative
sala kuch smjh nhi aaya pr mja aaya	not-malayalam/tamil	sala kuch smjh nhi aaya pr mja aaya	not-Tamil
ellam avan sayal movie mathiriya irukku	Positive	ellam avan sayal movie mathiriya irukku	Mixed_feelings
boss you looking so handsome nd young kekaa	Positive	boss you looking so handsome nd young kekaa	Positive
pattaya kelapitey siva awesome	Positive	pattaya kelapitey siva awesome	Mixed_feelings
dahaa chitii come back i am waiting get ready to 2 0	Positive	dahaa chitii come back i am waiting get ready to 2 0	Mixed_feelings
boni kapoor sir ini entha update illama ethum release panathinga sir intha chinna pasanga tholla thanga mudiyala	Positive	boni kapoor sir ini entha update illama ethum release panathinga sir intha chinna pasanga tholla thanga mudiyala	Mixed_feelings
looks thrilling thala get up super as lawyer dai pandey neeya da	Positive	looks thrilling thala get up super as lawyer dai pandey neeya da	Positive
neenga enna vena kathukonga aana hollywood padathukku dubbing mattum kathukathinga	Positive	neenga enna vena kathukonga aana hollywood padathukku dubbing mattum kathukathinga	Negative
ena da nadakuthu inga epaa sathiyamaa edir pakatha trailer totally unimaginable trailer thalivar	Positive	ena da nadakuthu inga epaa sathiyamaa edir pakatha trailer totally unimaginable trailer thalivar	Positive
1 43 thala da by thalapathy fan	Positive	1 43 thala da by thalapathy fan	Positive
sun picture best or vijay tv best sp best na dislike pannuga vijay tv best na like pannuga	Positive	sun picture best or vijay tv best sp best na dislike pannuga vijay tv best na like pannuga	Positive
hey makkalay yaaru darbar motion poster announcementku apram vantheenga	unknown_state	hey makkalay yaaru darbar motion poster announcementku apram vantheenga	unknown_state
last dialoge thala fans ungalukkuta iam vijay fan trailer super	Positive	last dialoge thala fans ungalukkuta iam vijay fan trailer super	Positive
hollywood range la iruku padam kandipa blockbuster hit semma story	Positive	hollywood range la iruku padam kandipa blockbuster hit semma story	Mixed_feelings
but ore oru varutham ennana sunday release pannirukkalam yesterday aavathu announcement pannirukkalam	Positive	but ore oru varutham ennana sunday release pannirukkalam yesterday aavathu announcement pannirukkalam	Positive
semma style rajini sir is back	Positive	semma style rajini sir is back	Positive
my dear thala ahh semma gethu	Positive	my dear thala ahh semma gethu	Positive
idduke 500 va tarlam kolla mass	Positive	idduke 500 va tarlam kolla mass	Mixed_feelings
movie savadi vera level poo thalaivar thalaivar thaa mass	Positive	movie savadi vera level poo thalaivar thalaivar thaa mass	Positive
super thalaiva semma mass intha movie blockbuster thaan fdfs poravanga like pannunga	Positive	super thalaiva semma mass intha movie blockbuster thaan fdfs poravanga like pannunga	Positive
92k views 132k likes fraud	Positive	92k views 132k likes fraud	Mixed_feelings
3 minute trailor vida thil irukkaa bollywood la panranga tamila mudiyuma	Positive	3 minute trailor vida thil irukkaa bollywood la panranga tamila mudiyuma	Positive
dai ranjit nee idha parthu film eduka kathuko	Positive	dai ranjit nee idha parthu film eduka kathuko	Positive
trailer fast ah podu ana background la main bgm illaye fyt ku varadhinga da unmaiya tha slura	Positive	trailer fast ah podu ana background la main bgm illaye fyt ku varadhinga da unmaiya tha slura	Positive
superb vivek mervin pinnitinga ponga ungalukagave padam pakanum	Positive	superb vivek mervin pinnitinga ponga ungalukagave padam pakanum	Positive
viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu	Positive	viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu	Positive
1 36 thaa enna look u daa saami that bgm lit	Positive	1 36 thaa enna look u daa saami that bgm lit	Positive
guyzz 1m likes vara varaikum vitraadheenga	Positive	guyzz 1m likes vara varaikum vitraadheenga	Positive
padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya	Positive	padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya	unknown_state
velraj sir thalaivana mass a kamchirukaru vera level u	Positive	velraj sir thalaivana mass a kamchirukaru vera level u	Positive
u1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran u1 kaaga kandipa paakanum	Positive	u1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran u1 kaaga kandipa paakanum	Mixed_feelings
iam vijay fan kerala and iam waiting super star s petta	Positive	iam vijay fan kerala and iam waiting super star s petta	Positive
oh my god it s rajini for you	Positive	oh my god it s rajini for you	Mixed_feelings
0 52 thala looka apdiyae vechurkaru pa without audio la paata thalaikum ivrukkum vityasam teriyathu	Positive	0 52 thala looka apdiyae vechurkaru pa without audio la paata thalaikum ivrukkum vityasam teriyathu	Positive
dai yaaru da antha 36k apadi enna da enga thala mela ungaluku gaandu	Positive	dai yaaru da antha 36k apadi enna da enga thala mela ungaluku gaandu	Positive
love u thalaivaa avangala aarani anastasia s alabama and anastasia s	Positive	love u thalaivaa avangala aarani anastasia s alabama and anastasia s	Mixed_feelings
iam sk fan aanaa trailer semma	Positive	iam sk fan aanaa trailer semma	Positive
wow padam tharu mara iruka poguthu this pongal petta diwali	Positive	wow padam tharu mara iruka poguthu this pongal petta diwali	Positive
sema mass marana mass tha i love rajini	Positive	sema mass marana mass tha i love rajini	Positive
800k likes varavareku nanu thungamatte nenaikiravage like podunge	Positive	800k likes varavareku nanu thungamatte nenaikiravage like podunge	Positive
damn im a proud chiyaan vikram fan	Positive	damn im a proud chiyaan vikram fan	Positive
enna panna porom sweet sapda porom	Positive	enna panna porom sweet sapda porom	Positive
entha kannada naiyai ennum tamilnattil erunthu anupalaiya	Negative	entha kannada naiyai ennum tamilnattil erunthu anupalaiya	Negative
vaa thalaiva via diwali mass ur movie bikil out	Positive	vaa thalaiva via diwali mass ur movie bikil out	Positive
veralevel performer dhanush sir	Positive	veralevel performer dhanush sir	Positive
no means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala	Positive	no means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala	Positive
super akshay sir i love u sir	Positive	super akshay sir i love u sir	Positive
looks like he will set screen on fire	Positive	looks like he will set screen on fire	Positive
ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla	Positive	ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla	unknown_state
it s pink with ajith kumar ka chutiyapa	Positive	it s pink with ajith kumar ka chutiyapa	Positive
rmba sandhosama irukku thala ipdi suspense movie la nadichadhu and rlz kaga waiting	Positive	rmba sandhosama irukku thala ipdi suspense movie la nadichadhu and rlz kaga waiting	Positive
villaina mass aa kattallayea so sad villain mass aa iruntha thaa movie mass aa irukkum	Positive	villaina mass aa kattallayea so sad villain mass aa iruntha thaa movie mass aa irukkum	Positive
trailer vera level athana da aamai kunjugala	Positive	trailer vera level athana da aamai kunjugala	Positive
yenda padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga	Positive	yenda padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga	Mixed_feelings
nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa mattum pudungavey mudiyathu chidambaram	Positive	nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa mattum pudungavey mudiyathu chidambaram	Positive
1 20 to 2 29 marana mass	Positive	1 20 to 2 29 marana mass	Positive
thalapathy 64 villan ku oru like podu	Positive	thalapathy 64 villan ku oru like podu	unknown_state
no 1 trending yellarum idha thana ketutu irundhinga	Positive	no 1 trending yellarum idha thana ketutu irundhinga	Positive
dhanush fans hit like here	Positive	dhanush fans hit like here	Positive
e adicha copy da ithu ellam avan seyal movie	Positive	e adicha copy da ithu ellam avan seyal movie	Negative
like so much thala from ap pawankalyan anna fans	Positive	like so much thala from ap pawankalyan anna fans	Positive
yellaam super but nawazudin voice mattum nalla illa	Positive	yellaam super but nawazudin voice mattum nalla illa	Mixed_feelings
wow i love you thalaivaa	Positive	wow i love you thalaivaa	Positive
thala kola waiting eppo yaa release panna poringa	Positive	thala kola waiting eppo yaa release panna poringa	Positive
vaalum theivam ajith kumar manitha kadavul ajith kumar sokka thangam ajith kumar en uyirai kaakum ajith kumar ulaga uthaman ajith kumar	Positive	vaalum theivam ajith kumar manitha kadavul ajith kumar sokka thangam ajith kumar en uyirai kaakum ajith kumar ulaga uthaman ajith kumar	Positive
ethukku ethellam vvs rajini murugan mari comedy movie pathuttu entha movie pakka mudiuma	Positive	ethukku ethellam vvs rajini murugan mari comedy movie pathuttu entha movie pakka mudiuma	Mixed_feelings
comment box pakka vantha like podunga	Positive	comment box pakka vantha like podunga	Positive
thalaivar varuvaru sure aa adippaaru	Positive	thalaivar varuvaru sure aa adippaaru	Mixed_feelings
who else are here after sarkar movie	Positive	who else are here after sarkar movie	Mixed_feelings
dialogues ah illama mass scenes la pesirukalaam	Positive	dialogues ah illama mass scenes la pesirukalaam	Positive
pongal namalukku super collection ma	Positive	pongal namalukku super collection ma	Positive
ennada pittalatama irruku views 51k but likes 99k va	Positive	ennada pittalatama irruku views 51k but likes 99k va	Mixed_feelings
thalaivaa ippa enna panna porom sweet sapda porom	Positive	thalaivaa ippa enna panna porom sweet sapda porom	Positive
i am thalapathi fan but thalapathi ku apram karthi anna va than pidikum intha diwali enaku double treat	Positive	i am thalapathi fan but thalapathi ku apram karthi anna va than pidikum intha diwali enaku double treat	unknown_state
yuvan bgm kola mass thalaiva marana waiting for valimai	Positive	yuvan bgm kola mass thalaiva marana waiting for valimai	Positive
thalaivar ku ennum vaisae agala sema	Positive	thalaivar ku ennum vaisae agala sema	Positive
kaithi blockbuster movie bigil abhi tak hit bhi nhi huvi	Positive	kaithi blockbuster movie bigil abhi tak hit bhi nhi huvi	Positive
ippa enna panna poram sweet sapada porom super awesome	Positive	ippa enna panna poram sweet sapada porom super awesome	Positive
thala u1 yuvan shankar raja mass	Positive	thala u1 yuvan shankar raja mass	Positive
shakthiman fans kill the like button	Positive	shakthiman fans kill the like button	Positive
1 53 ant man ah pottu hope pottu polakra adhe smack	Positive	1 53 ant man ah pottu hope pottu polakra adhe smack	Mixed_feelings
screen presence la ungala adichukka vera evanum illa thala	Positive	screen presence la ungala adichukka vera evanum illa thala	Mixed_feelings
vera level movie vasool nkp	Positive	vera level movie vasool nkp	Positive
vera level acting thalaivar mass s pakka mass sry petta mass ss	Positive	vera level acting thalaivar mass s pakka mass sry petta mass ss	Mixed_feelings
sahoo 12 million nkp innu 9 million tha	Positive	sahoo 12 million nkp innu 9 million tha	Positive
senseless movie just video game	Positive	senseless movie just video game	Mixed_feelings
thala fans saarbaaga motion poster vendum adhe	Positive	thala fans saarbaaga motion poster vendum adhe	Positive
rajinikanth sir is my favorite hero says arr	Positive	rajinikanth sir is my favorite hero says arr	Negative
kadaram kondan vs saaho i m waiting	Positive	kadaram kondan vs saaho i m waiting	Negative
0 35 0 55 sec woww	Positive	0 35 0 55 sec woww	Positive
last dialogue suit for all fans	Positive	last dialogue suit for all fans	Positive
thala fans hit like me	Positive	thala fans hit like me	Positive
edho sadhi nadakudhu pa inum trending la varala	Positive	edho sadhi nadakudhu pa inum trending la varala	Negative
kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga	Positive	kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga	Positive
shankar sir next film vijay and katrina kaif and perya herova villain ah pana veinga	Positive	shankar sir next film vijay and katrina kaif and perya herova villain ah pana veinga	Mixed_feelings
dai bahubali 1 2 kelambu kelambu	Mixed_feelings	dai bahubali 1 2 kelambu kelambu	Mixed_feelings
pink bollywood but like ajit kumar	Positive	pink bollywood but like ajit kumar	Positive
comedy ya erukku ithukku billa pandi ok	Positive	comedy ya erukku ithukku billa pandi ok	Negative
vs anna semma epavum pola neega vera level	Positive	vs anna semma epavum pola neega vera level	Positive
kk chiyan vikram in kadaram kondan best wishes	Positive	kk chiyan vikram in kadaram kondan best wishes	Positive
1 34 enna paarva da idhu goosebumps guaranteed	Positive	1 34 enna paarva da idhu goosebumps guaranteed	Positive
marana marana marana sirapana tharamaana padam	Positive	marana marana marana sirapana tharamaana padam	Positive
thala look sema mass nu soldravanga mattum oru like podunga	Positive	thala look sema mass nu soldravanga mattum oru like podunga	Positive
vanthathu vanthuteenga thala fans ellarum like potutu ponga	Positive	vanthathu vanthuteenga thala fans ellarum like potutu ponga	Positive
enada pandey news ah vittutu cinema la nadikuran	Positive	enada pandey news ah vittutu cinema la nadikuran	Positive
ena da bgm ithu yuvann rockss	Positive	ena da bgm ithu yuvann rockss	Positive
1st like vijay fanss hit likes	Positive	1st like vijay fanss hit likes	Positive
ex police cop become a prisoner	Mixed_feelings	ex police cop become a prisoner	Mixed_feelings
trailer late ah parthu miss pannavanga ippo happy ah	Positive	trailer late ah parthu miss pannavanga ippo happy ah	Positive
nazawuddin siddiqui in pettai tharamana mudivu	Positive	nazawuddin siddiqui in pettai tharamana mudivu	Positive
oru pakkam bigil bigil anil kunjugalin alaparaikal	Negative	oru pakkam bigil bigil anil kunjugalin alaparaikal	Negative
super yaru nu keta chinna kulandhai um solum maestro of style	Positive	super yaru nu keta chinna kulandhai um solum maestro of style	Positive
dhanush indha padathula ethana pera vetunarunu yarachum therinja solunga	Positive	dhanush indha padathula ethana pera vetunarunu yarachum therinja solunga	Positive
vijay sethupathi fans hit like here	Positive	vijay sethupathi fans hit like here	Positive
aiyo enaku ipave thalaya padathula pakanumnu eruku	Positive	aiyo enaku ipave thalaya padathula pakanumnu eruku	Positive
thalaa u1 again rock	Positive	thalaa u1 again rock	Positive
petta telugu la illea missing in tollywood	Positive	petta telugu la illea missing in tollywood	Positive
story match kaakapoinaa konni konni shots sukumar rangasthalam laaga ne undhi choodataniki	unknown_state	story match kaakapoinaa konni konni shots sukumar rangasthalam laaga ne undhi choodataniki	unknown_state
telugu thala fan s hit likes	Positive	telugu thala fan s hit likes	Positive
ennada 10m views ku 5th day laye ivlo mukkudhu nu solra bot anil p pasangala no bots no visay	Positive	ennada 10m views ku 5th day laye ivlo mukkudhu nu solra bot anil p pasangala no bots no visay	Negative
akshay kumar as shiva kumar	Positive	akshay kumar as shiva kumar	Positive
siripu vantha oru like podunga	Positive	siripu vantha oru like podunga	Mixed_feelings
teaser la iruntha yedho onnu trailer la missing aana ithuvum nalla than irukku	Positive	teaser la iruntha yedho onnu trailer la missing aana ithuvum nalla than irukku	Negative
maran waiting la panavendam poi saavunga ajith fans	Positive	maran waiting la panavendam poi saavunga ajith fans	Positive
dhanush fans sarbaga padam vetri adiya valthukal	Positive	dhanush fans sarbaga padam vetri adiya valthukal	Positive
sweet sappuda porom sweet saputtu apdiye ethavthu karama viswasam sappuduvom	Positive	sweet sappuda porom sweet saputtu apdiye ethavthu karama viswasam sappuduvom	Positive
pazhaya rajinikanth ah paatha feeling pa	Positive	pazhaya rajinikanth ah paatha feeling pa	Positive
maranam mass uh maranam petta athukku avar thaa poranthu varanum thalaivar	Positive	maranam mass uh maranam petta athukku avar thaa poranthu varanum thalaivar	Mixed_feelings
neraya neraya neraya neraya neraya what a performance voice vera level	Positive	neraya neraya neraya neraya neraya what a performance voice vera level	Positive
ithan diwali fight semme kartik story value va hero value r nu	Positive	ithan diwali fight semme kartik story value va hero value r nu	Positive
dhanush fans oru like potutu ponga	Positive	dhanush fans oru like potutu ponga	Positive
pink but like for ajith	Positive	pink but like for ajith	Positive
beginning of satyayuga end of kaliyuga	Positive	beginning of satyayuga end of kaliyuga	Positive
dhanush sir ku ella get up um set aagudhu	Positive	dhanush sir ku ella get up um set aagudhu	Positive
inimal sun networkla petta promo poda start panniduvaanga	Positive	inimal sun networkla petta promo poda start panniduvaanga	Positive
neraya neraya neraya neraya neraya what a powerful voice	Positive	neraya neraya neraya neraya neraya what a powerful voice	Positive
thala dye adikkam irukanaalathan naama nimathiya irukkamudiythu thala takkarudoi	Positive	thala dye adikkam irukanaalathan naama nimathiya irukkamudiythu thala takkarudoi	Positive
krish movie mask mathiri erukku pa	Positive	krish movie mask mathiri erukku pa	Positive
chiyaan vikram sir vera 11	Positive	chiyaan vikram sir vera 11	Positive
ethe maari ennamo padam pathaa maatiye eruke	Positive	ethe maari ennamo padam pathaa maatiye eruke	Positive
thala thanta thalaiya minja evanta	Positive	thala thanta thalaiya minja evanta	Positive
2 0 late a vanthalu latest a vanthurukku	Positive	2 0 late a vanthalu latest a vanthurukku	Positive
thatha ku jodiya paatis padam nalla irrukum pola	Positive	thatha ku jodiya paatis padam nalla irrukum pola	Mixed_feelings
199 padappa vali now 2019 petta viswasam	Positive	199 padappa vali now 2019 petta viswasam	Mixed_feelings
bigil satham ketta ella kaithiyum amaithithan	Positive	bigil satham ketta ella kaithiyum amaithithan	Negative
confirm 1m likes varumnu soldravange like podunge machanzz	Positive	confirm 1m likes varumnu soldravange like podunge machanzz	Positive
happy new year thalaivar padam mass kata pothu	Positive	happy new year thalaivar padam mass kata pothu	Positive
thala vera level maas u1 bgm ultimate	Positive	thala vera level maas u1 bgm ultimate	Positive
yenda thala enga thala ya vada dislike panni irukkenga	Positive	yenda thala enga thala ya vada dislike panni irukkenga	Mixed_feelings
dai youtube trending la podu da	Positive	dai youtube trending la podu da	Negative
sam c s vera level ya un bgm	Positive	sam c s vera level ya un bgm	Positive
thala vera level n yuvan bgm semmee	Positive	thala vera level n yuvan bgm semmee	Positive
thala endru sollada thalai nimirndhu nillada vanthudaruda en thala ippa vangada kena	Positive	thala endru sollada thalai nimirndhu nillada vanthudaruda en thala ippa vangada kena	Positive
are u a virgin girls kani kazhiyama irukingala	Positive	are u a virgin girls kani kazhiyama irukingala	Mixed_feelings
thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa	Positive	thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa	Positive
all the best karthi and lokesh kanakaraaj	Positive	all the best karthi and lokesh kanakaraaj	Negative
romba naaluku aparam thalaivar sema massa pakurom get rajinified	Positive	romba naaluku aparam thalaivar sema massa pakurom get rajinified	Positive
indha aala ennadhan veruthaalum on screenla paakka solla indha aalu style la vilundarom	Positive	indha aala ennadhan veruthaalum on screenla paakka solla indha aalu style la vilundarom	Mixed_feelings
enna mari veetuku theriyama ippa trailer parkuravanga yaravadhu irukeengala	Positive	enna mari veetuku theriyama ippa trailer parkuravanga yaravadhu irukeengala	Positive
mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen	Negative	mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen	Negative
elam girls um trailer ah patha maari movie ya kandipaa parungaa	Positive	elam girls um trailer ah patha maari movie ya kandipaa parungaa	Positive
3ena da 300 spartan s bgm la varuthu	Positive	3ena da 300 spartan s bgm la varuthu	Mixed_feelings
i am kamal sir fanzz but i like 2 0 trailer waiting fr 2 0 movie	Positive	i am kamal sir fanzz but i like 2 0 trailer waiting fr 2 0 movie	Mixed_feelings
vetrimaran ithai thavira vera ethuvum theriyatha ora mathiri padam	Positive	vetrimaran ithai thavira vera ethuvum theriyatha ora mathiri padam	Mixed_feelings
viswasam teaser vartum nama side la irnthu oru sambavam panuvom	Positive	viswasam teaser vartum nama side la irnthu oru sambavam panuvom	Positive
intha padatha pathe aakanum thalaivaa aa	Positive	intha padatha pathe aakanum thalaivaa aa	Positive
kris s movie pola irukkunu yaarukkavadu feel aahircha	Positive	kris s movie pola irukkunu yaarukkavadu feel aahircha	Positive
viswasam trailer 7k like 1 4 m like thala fans like tha trailer	Positive	viswasam trailer 7k like 1 4 m like thala fans like tha trailer	Negative
ada dei nama sambatha da dei	Positive	ada dei nama sambatha da dei	Positive
nvp voda recorda break pannanum solravanga like pannunga	Positive	nvp voda recorda break pannanum solravanga like pannunga	Mixed_feelings
movie pathutan semma mass a irukku music la vera leval	Positive	movie pathutan semma mass a irukku music la vera leval	Positive
marana mass thala i am waiting	Positive	marana mass thala i am waiting	Positive
intha padathula gethu mass kaatra thalaya nadikala intha padathula intha naatoda indraiya unmaiya solra ajith kumar ah nadichirkaaru stopwomenabuse	Positive	intha padathula gethu mass kaatra thalaya nadikala intha padathula intha naatoda indraiya unmaiya solra ajith kumar ah nadichirkaaru stopwomenabuse	Positive
vayase aagala pa ena effort chanceless	Positive	vayase aagala pa ena effort chanceless	Positive
thala yada dialogue delivery sema mass vera level goosebumps overloaded	Positive	thala yada dialogue delivery sema mass vera level goosebumps overloaded	Positive
gommala vararuda ye thalaivar ippavea alluthuparu palapearuku parupuu	Positive	gommala vararuda ye thalaivar ippavea alluthuparu palapearuku parupuu	Positive
vaera level thala summa na podathiga mokka seenu eppa naerkonda parvai is coming soon	Positive	vaera level thala summa na podathiga mokka seenu eppa naerkonda parvai is coming soon	Positive
vayasanalum unga style azhagum innum marala thalaiva roxkzz	Positive	vayasanalum unga style azhagum innum marala thalaiva roxkzz	Positive
matha actor la vera level na nii top level thalaivaa	Positive	matha actor la vera level na nii top level thalaivaa	Positive
enna panna porom sweet sapda porom petta paraak	Positive	enna panna porom sweet sapda porom petta paraak	Positive
dislike pota ealarum lusu p__	Negative	dislike pota ealarum lusu p__	Negative
vena padama release pannathinga pakka mudiyala	Positive	vena padama release pannathinga pakka mudiyala	Positive
thala bloods ellaarum oru like podunga	Positive	thala bloods ellaarum oru like podunga	Positive
real rajnikant or dupe amazingly young	Positive	real rajnikant or dupe amazingly young	Mixed_feelings
deepavali ku vera level padam irukku pakka kaithi deepavali	Positive	deepavali ku vera level padam irukku pakka kaithi deepavali	Positive
aiyo thala marana mass thala love you so much thala	Positive	aiyo thala marana mass thala love you so much thala	Positive
thla da u1 bgm	Positive	thla da u1 bgm	Positive
intha padampothu thalaya asaikka kooda mudiyathu	Positive	intha padampothu thalaya asaikka kooda mudiyathu	Positive
nkp 30 million views varum solravaga thala fans hit like button 2million like	Positive	nkp 30 million views varum solravaga thala fans hit like button 2million like	Positive
subscribe here enjoy gari maya ra sath dinu hola nogen	Positive	subscribe here enjoy gari maya ra sath dinu hola nogen	not-Tamil
inga neraya arivalikalukku teaserkum trailer kum different theriyama vaitherichala koovitu irukkanga	Positive	inga neraya arivalikalukku teaserkum trailer kum different theriyama vaitherichala koovitu irukkanga	Mixed_feelings
super super super super star rajini sri good	Positive	super super super super star rajini sri good	Positive
mind blowing ipo paarunga therikka vitudalam	Positive	mind blowing ipo paarunga therikka vitudalam	Negative
